"","Taxa","Longitude","Latitude","Count"
"1","Foram_plankt_other_identified",-47.4833,28.35,2
"2","Foram_plankt_other_identified",-17.36,34.968,1
"3","Foram_plankt_other_identified",-9.433,-26.58,3
"4","Foram_plankt_other_identified",71,6.233,14
"5","Foram_plankt_other_identified",-42.45,-27.95,1
"6","Foram_plankt_other_identified",-24.68,-13.07,1
"7","Foram_plankt_other_identified",-15.1,-17.67,1
"8","Foram_plankt_other_identified",-11.43,-19.37,2
"9","Foram_plankt_other_identified",-177,28.3,1
"10","Foram_plankt_other_identified",142.37,18.6,7
"11","Foram_plankt_other_identified",-35.65,-11.15,1
