"","Taxa","Longitude","Latitude","Count"
"1","Foram_plankt_other_unidentified",-38.783,28,6
"2","Foram_plankt_other_unidentified",-73.5167,38.1833,6
"3","Foram_plankt_other_unidentified",-41.75,50.9332,6
"4","Foram_plankt_other_unidentified",-67.3333,35.7167,8
"5","Foram_plankt_other_unidentified",-68.9167,36.1333,2
"6","Foram_plankt_other_unidentified",-69.15,36.15,5
"7","Foram_plankt_other_unidentified",-68.9333,35.7833,5
"8","Foram_plankt_other_unidentified",-69.4,36.2167,4
"9","Foram_plankt_other_unidentified",-72.95,37.65,4
"10","Foram_plankt_other_unidentified",-75.35,31.65,12
"11","Foram_plankt_other_unidentified",-76.8,29.7667,6
"12","Foram_plankt_other_unidentified",-75.75,23.9333,4
"13","Foram_plankt_other_unidentified",-75.9333,24.8,1
"14","Foram_plankt_other_unidentified",-67.6667,30.7833,3
"15","Foram_plankt_other_unidentified",-69.0833,35.7667,4
"16","Foram_plankt_other_unidentified",-78.55,19.4,10
"17","Foram_plankt_other_unidentified",-73.833,19.917,6
"18","Foram_plankt_other_unidentified",-42.65,39.1332,12
"19","Foram_plankt_other_unidentified",-36.7,39.267,1
"20","Foram_plankt_other_unidentified",-27.367,33.333,7
"21","Foram_plankt_other_unidentified",-19.2998,25.833,6
"22","Foram_plankt_other_unidentified",-18.3,3.65,1
"23","Foram_plankt_other_unidentified",-21.7833,0.6,6
"24","Foram_plankt_other_unidentified",-26.0333,-0.7667,3
"25","Foram_plankt_other_unidentified",-27.0167,-1.5,3
"26","Foram_plankt_other_unidentified",-57.3167,10.55,3
"27","Foram_plankt_other_unidentified",-59.2,20.7332,2
"28","Foram_plankt_other_unidentified",175.387,36.562,2
"29","Foram_plankt_other_unidentified",178.637,36.433,5
"30","Foram_plankt_other_unidentified",51.9,12,10
"31","Foram_plankt_other_unidentified",53.1667,10.25,4
"32","Foram_plankt_other_unidentified",51.7333,8.9833,1
"33","Foram_plankt_other_unidentified",51.6167,8.9,3
"34","Foram_plankt_other_unidentified",60.2167,9.2167,2
"35","Foram_plankt_other_unidentified",69.433,20.15,3
"36","Foram_plankt_other_unidentified",59.55,21,5
"37","Foram_plankt_other_unidentified",61.017,20.833,1
"38","Foram_plankt_other_unidentified",57.1833,17.4333,6
"39","Foram_plankt_other_unidentified",54.6333,15.2667,1
"40","Foram_plankt_other_unidentified",57.35,14.9333,4
"41","Foram_plankt_other_unidentified",-34.5667,-29.1333,3
"42","Foram_plankt_other_unidentified",71.558,13.583,2
