"","Taxa","Longitude","Latitude","Count"
"1","G_adamsi",-76.8,29.7667,3
"2","G_adamsi",-75.75,23.9333,2
"3","G_adamsi",-75.9333,24.8,1
"4","G_adamsi",-78.55,19.4,1
"5","G_adamsi",-73.833,19.917,10
"6","G_adamsi",51.7333,8.9833,1
"7","G_adamsi",51.6167,8.9,1
"8","G_adamsi",69.433,20.15,2
"9","G_adamsi",-34.5667,-29.1333,3
"10","G_adamsi",130.6167,-2.6333,1
"11","G_adamsi",46.9833,-13.3,1
"12","G_adamsi",41.4,-13.1833,3
"13","G_adamsi",41.8333,-11.5167,2
"14","G_adamsi",119.05,7.916,7
"15","G_adamsi",118.55,8.5,2
"16","G_adamsi",80.867,14.267,5
"17","G_adamsi",89.317,20.333,2
"18","G_adamsi",-130.617,3.333,1
"19","G_adamsi",-115.7167,-26.3,33
"20","G_adamsi",-133.38,-9.98,2
"21","G_adamsi",-39.682,31.178,1
"22","G_adamsi",-34.093,32.417,1
"23","G_adamsi",-30.378,34.653,1
"24","G_adamsi",-44.9333,5.8667,1
"25","G_adamsi",-44.5833,5.8333,1
"26","G_adamsi",-44.5833,5.8333,1
"27","G_adamsi",-44.4667,5.9667,2
"28","G_adamsi",-44.05,5.7167,1
"29","G_adamsi",-43.75,4.7333,1
"30","G_adamsi",-43.4833,4.7833,1
"31","G_adamsi",-43.45,4.7667,2
"32","G_adamsi",-43.1333,4.9,2
"33","G_adamsi",-43.382,4.563,2
"34","G_adamsi",-43.697,4.363,1
"35","G_adamsi",-43.6667,4.3667,1
"36","G_adamsi",-43.4833,4.35,2
"37","G_adamsi",-43.408,4.342,3
"38","G_adamsi",-43.4333,4.3333,2
"39","G_adamsi",-43.4333,4.35,1
"40","G_adamsi",-43.487,4.337,2
"41","G_adamsi",72.783,-5.383,2
"42","G_adamsi",155.933,-14.783,1
"43","G_adamsi",156.85,-13.283,1
"44","G_adamsi",157.217,-12.533,2
"45","G_adamsi",95.09,8.43,1
"46","G_adamsi",93.41,11.09,3
"47","G_adamsi",94.09,11.46,3
"48","G_adamsi",95.56,13.34,3
"49","G_adamsi",93.08,14.31,1
"50","G_adamsi",90.29,17.24,2
"51","G_adamsi",92.04,12.24,3
"52","G_adamsi",118.4833,11,2
"53","G_adamsi",118.71,11.5767,6
"54","G_adamsi",118.6317,11.6283,2
"55","G_adamsi",118.5083,11.7233,4
"56","G_adamsi",118.29,10.6,9
"57","G_adamsi",116.2333,7.85,2
"58","G_adamsi",116.1667,7.8167,1
"59","G_adamsi",118.3833,8.05,9
"60","G_adamsi",118.5667,8.15,7
"61","G_adamsi",118.9,8.3,3
"62","G_adamsi",118.8333,8.3,4
"63","G_adamsi",118.8833,6.75,2
"64","G_adamsi",118.9667,6.8,2
"65","G_adamsi",119.9333,7.4833,1
"66","G_adamsi",119.4833,7.1667,1
"67","G_adamsi",87.85,-18.68,1
"68","G_adamsi",175.3,-11.133,2
"69","G_adamsi",72.8,7.4,2
"70","G_adamsi",60.417,19.083,1
"71","G_adamsi",-91.37,25.283,1
"72","G_adamsi",-94.6833,25.6,1
"73","G_adamsi",-77.22,10.183,1
"74","G_adamsi",-91.6,22.933,3
"75","G_adamsi",-79.53,16.567,3
"76","G_adamsi",-140,-14.82,1
"77","G_adamsi",-110.8,-8.8,1
"78","G_adamsi",-75.32,30.75,1
"79","G_adamsi",-86.25,20.733,5
"80","G_adamsi",41.567,-10.35,4
"81","G_adamsi",67.717,-2.833,1
"82","G_adamsi",69.867,-2.5,17
"83","G_adamsi",90.567,15.167,2
"84","G_adamsi",96.067,12.767,3
"85","G_adamsi",-84.87,25.95,6
"86","G_adamsi",-157.2,-21.46,1
"87","G_adamsi",-75.44,16.708,1
"88","G_adamsi",-79.83,13.178,1
"89","G_adamsi",93.535,6.495,1
"90","G_adamsi",96.262,6.397,2
"91","G_adamsi",-145.12,-16.5,3
"92","G_adamsi",-147.45,-15.6667,2
"93","G_adamsi",-79.92,29.283,13
"94","G_adamsi",-74.4,17,2
"95","G_adamsi",32.867,-29.63,2
"96","G_adamsi",63.533,-20.58,1
"97","G_adamsi",73.25,8.117,2
"98","G_adamsi",39.967,-23.18,1
"99","G_adamsi",69.233,-21.8,1
"100","G_adamsi",47.417,-28.02,1
"101","G_adamsi",-60.52,11.533,1
"102","G_adamsi",-84.65,24.683,1
"103","G_adamsi",-85.28,20.4,5
"104","G_adamsi",155.7,-2.2,2
"105","G_adamsi",146.85,-15.92,3
"106","G_adamsi",148.05,-15.28,5
"107","G_adamsi",146.87,-16.33,4
"108","G_adamsi",145.85,-14.3,2
"109","G_adamsi",146.82,-14.68,2
"110","G_adamsi",148.78,-15.82,4
"111","G_adamsi",146.25,-15.33,1
"112","G_adamsi",-90.1,24.383,2
"113","G_adamsi",-92.13,23.583,2
"114","G_adamsi",-85.7,21.45,12
"115","G_adamsi",-77.95,15.317,1
"116","G_adamsi",-74.45,16.133,1
"117","G_adamsi",-71.23,17.033,1
"118","G_adamsi",177,-11.77,4
"119","G_adamsi",176.43,-14.05,3
"120","G_adamsi",174.53,-11.32,3
"121","G_adamsi",166.75,-5.5,3
"122","G_adamsi",130.23,-9.1,3
"123","G_adamsi",117.95,-17.67,4
"124","G_adamsi",104.9,-6.583,1
"125","G_adamsi",73.8,5.083,3
"126","G_adamsi",69.817,-6,2
"127","G_adamsi",88.35,-6.1,1
