"","Taxa","Longitude","Latitude","Count"
"1","G_aequilateralis",-38.783,28,15
"2","G_aequilateralis",-67.3333,35.7167,6
"3","G_aequilateralis",-68.9167,36.1333,8
"4","G_aequilateralis",-69.15,36.15,10
"5","G_aequilateralis",-68.9333,35.7833,5
"6","G_aequilateralis",-69.4,36.2167,10
"7","G_aequilateralis",-74.35,31.8333,23
"8","G_aequilateralis",-75.35,31.65,30
"9","G_aequilateralis",-76.8,29.7667,20
"10","G_aequilateralis",-75.75,23.9333,25
"11","G_aequilateralis",-75.9333,24.8,24
"12","G_aequilateralis",-67.6667,30.7833,10
"13","G_aequilateralis",-69.0833,35.7667,28
"14","G_aequilateralis",-78.55,19.4,17
"15","G_aequilateralis",-73.833,19.917,51
"16","G_aequilateralis",-42.65,39.1332,2
"17","G_aequilateralis",-36.7,39.267,5
"18","G_aequilateralis",-27.367,33.333,10
"19","G_aequilateralis",-19.2998,25.833,16
"20","G_aequilateralis",-17.0667,5.2833,4
"21","G_aequilateralis",-18.3,3.65,5
"22","G_aequilateralis",-21.7833,0.6,14
"23","G_aequilateralis",-26.0333,-0.7667,5
"24","G_aequilateralis",-27.0167,-1.5,11
"25","G_aequilateralis",-57.3167,10.55,25
"26","G_aequilateralis",-59.2,20.7332,13
"27","G_aequilateralis",175.387,36.562,2
"28","G_aequilateralis",51.9,12,2
"29","G_aequilateralis",53.1667,10.25,3
"30","G_aequilateralis",51.7333,8.9833,3
"31","G_aequilateralis",51.6167,8.9,2
"32","G_aequilateralis",60.2167,9.2167,28
"33","G_aequilateralis",69.433,20.15,5
"34","G_aequilateralis",59.55,21,1
"35","G_aequilateralis",61.017,20.833,5
"36","G_aequilateralis",57.1833,17.4333,6
"37","G_aequilateralis",54.7667,16.2333,3
"38","G_aequilateralis",54.6333,15.2667,2
"39","G_aequilateralis",57.35,14.9333,4
"40","G_aequilateralis",-34.5667,-29.1333,24
"41","G_aequilateralis",71.558,13.583,9
"42","G_aequilateralis",74.1833,9.9,15
"43","G_aequilateralis",73.4,7.0333,9
"44","G_aequilateralis",127.85,-9.1,6
"45","G_aequilateralis",133.8333,-4.8833,3
"46","G_aequilateralis",131.9833,-4.6667,7
"47","G_aequilateralis",130.6167,-2.6333,11
"48","G_aequilateralis",112.6833,-11.8833,5
"49","G_aequilateralis",46.9833,-13.3,38
"50","G_aequilateralis",41.6167,-12.9833,30
"51","G_aequilateralis",41.4,-13.1833,36
"52","G_aequilateralis",41.55,-16.0667,12
"53","G_aequilateralis",41.8333,-11.5167,54
"54","G_aequilateralis",-121.8833,19,7
"55","G_aequilateralis",119.05,7.916,17
"56","G_aequilateralis",118.55,8.5,24
"57","G_aequilateralis",87.783,11.383,15
"58","G_aequilateralis",-11.12,-8.28,25
"59","G_aequilateralis",80.867,14.267,20
"60","G_aequilateralis",87.317,15.3,66
"61","G_aequilateralis",91.233,15.217,31
"62","G_aequilateralis",91.533,19,13
"63","G_aequilateralis",89.317,20.333,19
"64","G_aequilateralis",86.9,13.483,36
"65","G_aequilateralis",89.033,6.917,48
"66","G_aequilateralis",88.583,4.183,24
"67","G_aequilateralis",57.3667,17.7,3
"68","G_aequilateralis",57.3833,17.5667,5
"69","G_aequilateralis",57.3667,13.8667,6
"70","G_aequilateralis",60.6667,16.6167,3
"71","G_aequilateralis",58.3333,19.15,5
"72","G_aequilateralis",58.9833,19.7,5
"73","G_aequilateralis",59.6,21,14
"74","G_aequilateralis",59.7333,21.75,3
"75","G_aequilateralis",60.1833,20.75,4
"76","G_aequilateralis",60.6167,20,2
"77","G_aequilateralis",60.75,19.55,4
"78","G_aequilateralis",61.6833,19.9333,6
"79","G_aequilateralis",60.15,22.6833,2
"80","G_aequilateralis",59.75,22.6833,4
"81","G_aequilateralis",59.6167,22.6167,6
"82","G_aequilateralis",59.7167,22.6333,2
