"","Taxa","Longitude","Latitude","Count"
"1","G_anfracta",69.433,20.15,2
"2","G_anfracta",62.5,-14.033,1
"3","G_anfracta",-44.7333,5.7,1
"4","G_anfracta",-43.4333,4.35,1
"5","G_anfracta",-94.35,26.317,2
"6","G_anfracta",54.217,-34.33,1
"7","G_anfracta",-146.9,-14.78,5
"8","G_anfracta",-140,-14.82,5
"9","G_anfracta",29.183,-33.22,1
"10","G_anfracta",34.033,-30.3,1
"11","G_anfracta",-25.43,1.783,2
"12","G_anfracta",126.35,26.833,2
"13","G_anfracta",-45.47,-29.22,1
"14","G_anfracta",37.653,-31.54,1
"15","G_anfracta",57.5833,17.75,1
"16","G_anfracta",58.3667,19.2333,3
"17","G_anfracta",58.35,19.2833,1
"18","G_anfracta",58.4833,19.5167,3
"19","G_anfracta",58.2333,19.2667,1
"20","G_anfracta",-79.92,29.283,2
"21","G_anfracta",-14.6,-7.75,1
"22","G_anfracta",-23.23,15.017,1
"23","G_anfracta",155.7,-2.2,5
"24","G_anfracta",146.88,-13.52,1
"25","G_anfracta",58.167,-30.92,1
"26","G_anfracta",161.75,-6.267,3
"27","G_anfracta",138.53,11.067,3
