"","Taxa","Longitude","Latitude","Count"
"1","G_bulloides",-38.783,28,12
"2","G_bulloides",-73.5167,38.1833,23
"3","G_bulloides",-41.75,50.9332,149
"4","G_bulloides",-67.3333,35.7167,92
"5","G_bulloides",-68.9167,36.1333,112
"6","G_bulloides",-69.15,36.15,54
"7","G_bulloides",-68.9333,35.7833,64
"8","G_bulloides",-69.4,36.2167,66
"9","G_bulloides",-72.95,37.65,13
"10","G_bulloides",-74.35,31.8333,34
"11","G_bulloides",-75.35,31.65,8
"12","G_bulloides",-76.8,29.7667,3
"13","G_bulloides",-67.6667,30.7833,44
"14","G_bulloides",-69.0833,35.7667,32
"15","G_bulloides",-73.833,19.917,1
"16","G_bulloides",-42.65,39.1332,30
"17","G_bulloides",-36.7,39.267,79
"18","G_bulloides",-27.367,33.333,48
"19","G_bulloides",-19.2998,25.833,9
"20","G_bulloides",-17.0667,5.2833,3
"21","G_bulloides",-27.0167,-1.5,1
"22","G_bulloides",175.387,36.562,27
"23","G_bulloides",178.637,36.433,35
"24","G_bulloides",51.9,12,167
"25","G_bulloides",53.1667,10.25,80
"26","G_bulloides",51.7333,8.9833,34
"27","G_bulloides",51.6167,8.9,66
"28","G_bulloides",60.2167,9.2167,29
"29","G_bulloides",69.433,20.15,25
"30","G_bulloides",67.933,20.125,24
"31","G_bulloides",59.55,21,141
"32","G_bulloides",61.017,20.833,85
"33","G_bulloides",57.1833,17.4333,123
"34","G_bulloides",54.7667,16.2333,96
"35","G_bulloides",54.6333,15.2667,111
"36","G_bulloides",57.35,14.9333,118
"37","G_bulloides",-34.5667,-29.1333,7
"38","G_bulloides",71.558,13.583,39
"39","G_bulloides",74.1833,9.9,68
"40","G_bulloides",73.4,7.0333,71
"41","G_bulloides",127.85,-9.1,15
"42","G_bulloides",133.8333,-4.8833,28
"43","G_bulloides",131.9833,-4.6667,54
"44","G_bulloides",130.6167,-2.6333,64
"45","G_bulloides",112.6833,-11.8833,5
"46","G_bulloides",46.9833,-13.3,8
"47","G_bulloides",41.6167,-12.9833,18
"48","G_bulloides",41.4,-13.1833,16
"49","G_bulloides",41.55,-16.0667,9
"50","G_bulloides",41.8333,-11.5167,17
"51","G_bulloides",-121.8833,19,65
"52","G_bulloides",119.05,7.916,24
"53","G_bulloides",118.55,8.5,33
"54","G_bulloides",87.783,11.383,26
"55","G_bulloides",-11.12,-8.28,1
"56","G_bulloides",80.867,14.267,105
"57","G_bulloides",87.317,15.3,16
"58","G_bulloides",91.233,15.217,6
"59","G_bulloides",91.533,19,52
"60","G_bulloides",89.317,20.333,110
"61","G_bulloides",86.9,13.483,22
"62","G_bulloides",89.033,6.917,56
"63","G_bulloides",88.583,4.183,4
"64","G_bulloides",57.3667,17.7,186
"65","G_bulloides",57.3833,17.5667,172
"66","G_bulloides",57.3667,13.8667,72
"67","G_bulloides",60.6667,16.6167,95
"68","G_bulloides",58.3333,19.15,239
"69","G_bulloides",58.9833,19.7,103
"70","G_bulloides",59.6,21,289
"71","G_bulloides",59.7333,21.75,86
"72","G_bulloides",60.1833,20.75,107
"73","G_bulloides",60.6167,20,66
"74","G_bulloides",60.75,19.55,171
"75","G_bulloides",61.6833,19.9333,52
"76","G_bulloides",60.8333,21.7167,45
"77","G_bulloides",60.15,22.6833,47
"78","G_bulloides",59.75,22.6833,80
"79","G_bulloides",59.6167,22.6167,146
