"","Taxa","Longitude","Latitude","Count"
"1","G_calida",-38.783,28,2
"2","G_calida",-67.3333,35.7167,6
"3","G_calida",-68.9167,36.1333,1
"4","G_calida",-69.15,36.15,4
"5","G_calida",-68.9333,35.7833,5
"6","G_calida",-69.4,36.2167,1
"7","G_calida",-74.35,31.8333,4
"8","G_calida",-75.35,31.65,18
"9","G_calida",-76.8,29.7667,17
"10","G_calida",-75.75,23.9333,5
"11","G_calida",-75.9333,24.8,7
"12","G_calida",-67.6667,30.7833,3
"13","G_calida",-69.0833,35.7667,20
"14","G_calida",-78.55,19.4,8
"15","G_calida",-73.833,19.917,10
"16","G_calida",-42.65,39.1332,3
"17","G_calida",-36.7,39.267,8
"18","G_calida",-27.367,33.333,13
"19","G_calida",-19.2998,25.833,13
"20","G_calida",-17.0667,5.2833,2
"21","G_calida",-21.7833,0.6,4
"22","G_calida",-27.0167,-1.5,3
"23","G_calida",-57.3167,10.55,4
"24","G_calida",-59.2,20.7332,1
"25","G_calida",178.637,36.433,1
"26","G_calida",51.9,12,5
"27","G_calida",53.1667,10.25,3
"28","G_calida",51.7333,8.9833,4
"29","G_calida",51.6167,8.9,1
"30","G_calida",60.2167,9.2167,5
"31","G_calida",69.433,20.15,4
"32","G_calida",67.933,20.125,2
"33","G_calida",59.55,21,6
"34","G_calida",61.017,20.833,5
"35","G_calida",57.1833,17.4333,7
"36","G_calida",54.7667,16.2333,2
"37","G_calida",54.6333,15.2667,2
"38","G_calida",57.35,14.9333,2
"39","G_calida",-34.5667,-29.1333,25
"40","G_calida",71.558,13.583,7
"41","G_calida",74.1833,9.9,7
"42","G_calida",73.4,7.0333,12
"43","G_calida",127.85,-9.1,2
"44","G_calida",133.8333,-4.8833,3
"45","G_calida",131.9833,-4.6667,7
"46","G_calida",130.6167,-2.6333,3
"47","G_calida",112.6833,-11.8833,1
"48","G_calida",46.9833,-13.3,17
"49","G_calida",41.6167,-12.9833,14
"50","G_calida",41.4,-13.1833,27
"51","G_calida",41.55,-16.0667,2
