"","Taxa","Longitude","Latitude","Count"
"1","G_conglobatus",-38.783,28,2
"2","G_conglobatus",-41.75,50.9332,1
"3","G_conglobatus",-67.3333,35.7167,3
"4","G_conglobatus",-68.9167,36.1333,2
"5","G_conglobatus",-69.15,36.15,3
"6","G_conglobatus",-68.9333,35.7833,4
"7","G_conglobatus",-69.4,36.2167,3
"8","G_conglobatus",-72.95,37.65,12
"9","G_conglobatus",-74.35,31.8333,14
"10","G_conglobatus",-75.35,31.65,4
"11","G_conglobatus",-76.8,29.7667,2
"12","G_conglobatus",-75.75,23.9333,9
"13","G_conglobatus",-75.9333,24.8,3
"14","G_conglobatus",-67.6667,30.7833,4
"15","G_conglobatus",-69.0833,35.7667,5
"16","G_conglobatus",-73.833,19.917,4
"17","G_conglobatus",-42.65,39.1332,4
"18","G_conglobatus",-36.7,39.267,1
"19","G_conglobatus",-27.367,33.333,1
"20","G_conglobatus",-18.3,3.65,2
"21","G_conglobatus",-26.0333,-0.7667,1
"22","G_conglobatus",-57.3167,10.55,6
"23","G_conglobatus",-59.2,20.7332,40
"24","G_conglobatus",51.9,12,1
"25","G_conglobatus",53.1667,10.25,1
"26","G_conglobatus",51.7333,8.9833,2
"27","G_conglobatus",60.2167,9.2167,8
"28","G_conglobatus",69.433,20.15,4
"29","G_conglobatus",67.933,20.125,4
"30","G_conglobatus",-34.5667,-29.1333,16
"31","G_conglobatus",71.558,13.583,4
"32","G_conglobatus",74.1833,9.9,2
"33","G_conglobatus",73.4,7.0333,8
"34","G_conglobatus",127.85,-9.1,3
"35","G_conglobatus",133.8333,-4.8833,2
"36","G_conglobatus",130.6167,-2.6333,1
"37","G_conglobatus",112.6833,-11.8833,1
"38","G_conglobatus",46.9833,-13.3,5
"39","G_conglobatus",41.6167,-12.9833,9
"40","G_conglobatus",41.4,-13.1833,11
"41","G_conglobatus",41.55,-16.0667,8
"42","G_conglobatus",41.8333,-11.5167,23
"43","G_conglobatus",119.05,7.916,4
"44","G_conglobatus",118.55,8.5,2
"45","G_conglobatus",87.783,11.383,11
"46","G_conglobatus",-11.12,-8.28,2
"47","G_conglobatus",80.867,14.267,4
"48","G_conglobatus",87.317,15.3,12
"49","G_conglobatus",91.233,15.217,4
"50","G_conglobatus",89.317,20.333,1
"51","G_conglobatus",86.9,13.483,16
"52","G_conglobatus",89.033,6.917,23
"53","G_conglobatus",88.583,4.183,7
"54","G_conglobatus",57.3667,17.7,1
"55","G_conglobatus",58.9833,19.7,2
"56","G_conglobatus",60.75,19.55,1
"57","G_conglobatus",61.6833,19.9333,1
"58","G_conglobatus",60.8333,21.7167,1
"59","G_conglobatus",59.7167,22.6333,1
"60","G_conglobatus",62.067,-18.35,5
"61","G_conglobatus",62.5,-14.033,7
"62","G_conglobatus",62.833,-12.267,14
"63","G_conglobatus",55.5,-8.933,12
"64","G_conglobatus",61.817,-26.933,3
"65","G_conglobatus",70.367,-25.417,9
"66","G_conglobatus",69.017,-8.317,9
"67","G_conglobatus",71.217,-2.45,14
"68","G_conglobatus",70.233,-2.333,6
"69","G_conglobatus",69.25,-2.2,8
"70","G_conglobatus",71.2167,-2.45,8
"71","G_conglobatus",88.85,2.97,5
"72","G_conglobatus",91.05,2.917,5
"73","G_conglobatus",91.683,2.983,4
"74","G_conglobatus",97.883,-0.567,7
"75","G_conglobatus",-115.7167,-26.3,37
