"","Taxa","Longitude","Latitude","Count"
"1","G_crassaformis",-38.783,28,6
"2","G_crassaformis",-68.9167,36.1333,1
"3","G_crassaformis",-69.4,36.2167,1
"4","G_crassaformis",-75.35,31.65,1
"5","G_crassaformis",-78.55,19.4,2
"6","G_crassaformis",-42.65,39.1332,1
"7","G_crassaformis",-19.2998,25.833,5
"8","G_crassaformis",-17.0667,5.2833,6
"9","G_crassaformis",-18.3,3.65,11
"10","G_crassaformis",-21.7833,0.6,2
"11","G_crassaformis",-26.0333,-0.7667,3
"12","G_crassaformis",-27.0167,-1.5,5
"13","G_crassaformis",-57.3167,10.55,4
"14","G_crassaformis",-59.2,20.7332,2
"15","G_crassaformis",53.1667,10.25,2
"16","G_crassaformis",51.7333,8.9833,2
"17","G_crassaformis",133.8333,-4.8833,14
"18","G_crassaformis",119.05,7.916,1
"19","G_crassaformis",-11.12,-8.28,2
"20","G_crassaformis",62.833,-12.267,1
"21","G_crassaformis",70.233,-2.333,1
"22","G_crassaformis",69.25,-2.2,1
"23","G_crassaformis",71.2167,-2.45,4
"24","G_crassaformis",-130.617,3.333,7
"25","G_crassaformis",-115.7167,-26.3,1
"26","G_crassaformis",-112.1,-14.7333,1
"27","G_crassaformis",-110.68,-9.88,2
"28","G_crassaformis",-133.38,-9.98,1
"29","G_crassaformis",-116.217,1.45,1
"30","G_crassaformis",-148.4833,-16.7833,2
"31","G_crassaformis",-143.6667,-28.5667,37
"32","G_crassaformis",-127.333,-44.217,2
"33","G_crassaformis",-127.233,-44.35,15
"34","G_crassaformis",-97.083,-42.9,1
"35","G_crassaformis",-79.5,-34.5,6
"36","G_crassaformis",-106.5,-28.4833,10
"37","G_crassaformis",-118.2333,-23.6167,2
"38","G_crassaformis",-39.682,31.178,1
"39","G_crassaformis",-34.093,32.417,1
"40","G_crassaformis",-29.9798,34.6198,1
"41","G_crassaformis",-21.668,34.95,3
"42","G_crassaformis",-12.618,35.18,1
"43","G_crassaformis",-46.127,16.653,1
"44","G_crassaformis",-42.947,15.527,2
"45","G_crassaformis",-34.173,10.993,26
"46","G_crassaformis",-16.95,24.5,1
"47","G_crassaformis",-42.7333,5.15,1
"48","G_crassaformis",-44.9667,5.9833,1
"49","G_crassaformis",-44.9333,5.8667,1
"50","G_crassaformis",-44.7167,5.7,1
"51","G_crassaformis",-44.5833,5.8333,2
"52","G_crassaformis",-44.5,5.8833,1
"53","G_crassaformis",-44.3833,6.0167,1
"54","G_crassaformis",-44.2167,6.2167,1
"55","G_crassaformis",-44.0833,6.3167,1
"56","G_crassaformis",-44.0833,6.1167,1
"57","G_crassaformis",-44.0667,5.3833,1
"58","G_crassaformis",-43.65,4.7167,1
"59","G_crassaformis",-43.205,4.865,1
"60","G_crassaformis",-42.9167,4.95,1
"61","G_crassaformis",-42.892,4.948,2
"62","G_crassaformis",-42.7833,5,2
"63","G_crassaformis",-42.7333,5.0333,1
"64","G_crassaformis",-43.038,4.792,1
"65","G_crassaformis",-43.15,4.7,3
"66","G_crassaformis",-43.4333,4.35,1
"67","G_crassaformis",-43.307,4.76,1
"68","G_crassaformis",-43.15,4.85,1
"69","G_crassaformis",63.717,-5.567,4
"70","G_crassaformis",59.25,-5.433,1
"71","G_crassaformis",59.683,-13.683,1
"72","G_crassaformis",65.9667,5.7167,4
"73","G_crassaformis",100.333,-32.1,2
"74","G_crassaformis",148.7,-14.5,1
"75","G_crassaformis",154.733,-15.717,2
"76","G_crassaformis",155,-16.05,3
"77","G_crassaformis",157.217,-12.533,2
"78","G_crassaformis",170.033,-3.383,2
"79","G_crassaformis",118.29,10.6,1
"80","G_crassaformis",-139.9667,4.5833,1
"81","G_crassaformis",-174.3167,17.8667,1
"82","G_crassaformis",87.85,-18.68,1
"83","G_crassaformis",73.883,-23.933,1
"84","G_crassaformis",-154.75,-24.683,31
"85","G_crassaformis",-150.583,-13.883,1
"86","G_crassaformis",-148.75,-1.9,1
"87","G_crassaformis",-147.567,-0.25,1
"88","G_crassaformis",167.567,-20.583,6
"89","G_crassaformis",176.6,-14.6,1
"90","G_crassaformis",175.417,-10.75,1
"91","G_crassaformis",175.3,-11.133,1
"92","G_crassaformis",172.483,-2.067,1
"93","G_crassaformis",171.4,-2.1,1
"94","G_crassaformis",-165.383,-4.067,3
"95","G_crassaformis",-165.383,-4.75,1
"96","G_crassaformis",-168.867,8.567,1
"97","G_crassaformis",-75.58,14.267,3
"98","G_crassaformis",-74.88,14,1
"99","G_crassaformis",-16.53,-23.35,1
"100","G_crassaformis",-15.12,-24.07,2
"101","G_crassaformis",-13.27,-24.97,1
"102","G_crassaformis",-12.77,-25.15,1
