"","Taxa","Longitude","Latitude","Count"
"1","G_crassula",131.9833,-4.6667,2
"2","G_crassula",46.9833,-13.3,2
"3","G_crassula",55.5,-8.933,1
"4","G_crassula",70.367,-25.417,2
"5","G_crassula",-118.2333,-23.6167,3
"6","G_crassula",-12.618,35.18,1
"7","G_crassula",114.383,-31.5,1
"8","G_crassula",148.7,-14.5,1
"9","G_crassula",155,-16.05,1
"10","G_crassula",155.933,-14.783,1
"11","G_crassula",156.85,-13.283,1
"12","G_crassula",158.05,-11.317,1
"13","G_crassula",87.85,-18.68,4
"14","G_crassula",73.883,-23.933,4
"15","G_crassula",-157.3833,21.55,1
"16","G_crassula",167.567,-20.583,1
"17","G_crassula",175.417,-10.75,1
"18","G_crassula",175.3,-11.133,2
"19","G_crassula",170.3,-2.267,1
"20","G_crassula",-166.1,-5.483,2
"21","G_crassula",-123.4,-27.43,1
"22","G_crassula",-179.7,-24.77,2
"23","G_crassula",143.78,-44.08,1
"24","G_crassula",113.37,-29.33,3
"25","G_crassula",114.55,-31.28,1
"26","G_crassula",110.02,-25.48,3
"27","G_crassula",112.8,-21.42,1
"28","G_crassula",157.87,-25.88,1
"29","G_crassula",163.52,-24.88,1
"30","G_crassula",65.2,-2.983,1
"31","G_crassula",-157.2,-21.46,2
"32","G_crassula",88.57,-9.025,1
"33","G_crassula",90.137,-2.287,1
"34","G_crassula",102.45,-5.967,1
"35","G_crassula",124.52,-8.517,1
"36","G_crassula",44.815,-29.92,1
"37","G_crassula",69.48,-25.34,1
"38","G_crassula",68.475,-20.62,1
"39","G_crassula",57.627,18.277,1
"40","G_crassula",-85.983,-0.15,1
"41","G_crassula",-113.4833,-14.6833,4
"42","G_crassula",157.07,0.8667,1
"43","G_crassula",43.783,-28.43,2
"44","G_crassula",91.717,-30.2,1
"45","G_crassula",46.567,-32.43,3
"46","G_crassula",63.533,-20.58,1
"47","G_crassula",114.45,-30.57,2
"48","G_crassula",118.78,-36.12,1
"49","G_crassula",-174.4,-20.97,1
"50","G_crassula",-114.2,-17,1
"51","G_crassula",69.233,-21.8,1
"52","G_crassula",68.483,-21.98,4
"53","G_crassula",66.283,-22.7,1
"54","G_crassula",32.15,-33.6,1
"55","G_crassula",28.1,-34.6,1
"56","G_crassula",-133.3,-12.03,2
"57","G_crassula",155.7,-2.2,1
"58","G_crassula",147.92,-14.95,1
"59","G_crassula",146.85,-15.92,1
"60","G_crassula",148.05,-15.28,3
"61","G_crassula",146.87,-16.33,1
"62","G_crassula",146.88,-13.52,1
"63","G_crassula",146.82,-14.68,4
"64","G_crassula",45.65,-36.22,1
"65","G_crassula",-3.4833,-34.2,1
"66","G_crassula",-178,27.667,2
"67","G_crassula",176.43,-14.05,3
"68","G_crassula",168.68,-10.67,2
"69","G_crassula",160.48,-5.45,1
"70","G_crassula",142.72,14.367,1
"71","G_crassula",142.45,20.1,4
"72","G_crassula",130.23,-9.1,4
"73","G_crassula",72.383,-10.25,3
"74","G_crassula",-17.67,23.183,1
"75","G_crassula",-19.1,24.117,1
"76","G_crassula",-15.15,26.6,1
"77","G_crassula",88.35,-6.1,4
"78","G_crassula",89.017,-6.417,3
"79","G_crassula",88.958,-6.35,1
"80","G_crassula",88.633,-6.1,1
