"","Taxa","Longitude","Latitude","Count"
"1","G_digitata",-69.15,36.15,2
"2","G_digitata",-68.9333,35.7833,2
"3","G_digitata",-69.4,36.2167,2
"4","G_digitata",-74.35,31.8333,1
"5","G_digitata",-76.8,29.7667,1
"6","G_digitata",-67.6667,30.7833,1
"7","G_digitata",-69.0833,35.7667,2
"8","G_digitata",-36.7,39.267,2
"9","G_digitata",-27.367,33.333,1
"10","G_digitata",-19.2998,25.833,4
"11","G_digitata",-17.0667,5.2833,2
"12","G_digitata",-18.3,3.65,4
"13","G_digitata",-26.0333,-0.7667,1
"14","G_digitata",-27.0167,-1.5,1
"15","G_digitata",-57.3167,10.55,3
"16","G_digitata",175.387,36.562,8
"17","G_digitata",178.637,36.433,3
"18","G_digitata",60.2167,9.2167,9
"19","G_digitata",69.433,20.15,1
"20","G_digitata",67.933,20.125,2
"21","G_digitata",54.6333,15.2667,1
"22","G_digitata",57.35,14.9333,1
"23","G_digitata",-34.5667,-29.1333,10
"24","G_digitata",71.558,13.583,6
"25","G_digitata",74.1833,9.9,4
"26","G_digitata",127.85,-9.1,1
"27","G_digitata",112.6833,-11.8833,2
"28","G_digitata",41.8333,-11.5167,3
"29","G_digitata",119.05,7.916,1
"30","G_digitata",118.55,8.5,2
"31","G_digitata",87.783,11.383,4
"32","G_digitata",-11.12,-8.28,2
"33","G_digitata",80.867,14.267,5
"34","G_digitata",87.317,15.3,55
"35","G_digitata",91.233,15.217,64
"36","G_digitata",91.533,19,16
"37","G_digitata",89.317,20.333,3
"38","G_digitata",86.9,13.483,12
"39","G_digitata",89.033,6.917,14
"40","G_digitata",88.583,4.183,12
"41","G_digitata",57.3667,13.8667,6
"42","G_digitata",58.9833,19.7,1
"43","G_digitata",60.6167,20,1
"44","G_digitata",60.75,19.55,2
"45","G_digitata",61.6833,19.9333,5
"46","G_digitata",60.8333,21.7167,1
"47","G_digitata",59.75,22.6833,1
"48","G_digitata",62.067,-18.35,2
"49","G_digitata",62.5,-14.033,1
"50","G_digitata",62.833,-12.267,5
"51","G_digitata",55.5,-8.933,4
"52","G_digitata",61.817,-26.933,1
"53","G_digitata",70.367,-25.417,15
"54","G_digitata",69.017,-8.317,3
"55","G_digitata",71.217,-2.45,2
"56","G_digitata",70.233,-2.333,4
"57","G_digitata",69.25,-2.2,2
"58","G_digitata",71.2167,-2.45,5
"59","G_digitata",88.85,2.97,1
"60","G_digitata",91.05,2.917,1
"61","G_digitata",91.683,2.983,3
"62","G_digitata",97.883,-0.567,2
"63","G_digitata",-130.617,3.333,2
"64","G_digitata",-115.7167,-26.3,3
"65","G_digitata",-133.38,-9.98,3
"66","G_digitata",-116.217,1.45,3
"67","G_digitata",-115.767,4.133,2
"68","G_digitata",-148.4833,-16.7833,2
"69","G_digitata",-143.6667,-28.5667,4
"70","G_digitata",-127.333,-44.217,2
"71","G_digitata",-127.233,-44.35,1
"72","G_digitata",-102,-42,1
"73","G_digitata",-97.083,-42.9,3
"74","G_digitata",-79.5,-34.5,3
"75","G_digitata",-106.5,-28.4833,2
"76","G_digitata",-115.2,-22.0833,1
"77","G_digitata",-113.3,-4.033,1
"78","G_digitata",-159.983,-54.017,1
"79","G_digitata",-136.9667,-59.9667,1
"80","G_digitata",156.058,4.85,5
"81","G_digitata",156.998,-2.225,2
"82","G_digitata",161.318,-3.605,1
"83","G_digitata",160.8,-1.747,2
"84","G_digitata",159.235,-1.625,4
"85","G_digitata",158.693,-0.017,1
"86","G_digitata",160.998,-0.003,1
"87","G_digitata",161.427,-0.005,3
"88","G_digitata",161.975,-0.007,3
"89","G_digitata",162.702,-0.027,1
"90","G_digitata",160.993,0.875,1
"91","G_digitata",161.605,1.1,4
