"","Taxa","Longitude","Latitude","Count"
"1","G_falconensis",-38.783,28,37
"2","G_falconensis",-73.5167,38.1833,4
"3","G_falconensis",-41.75,50.9332,4
"4","G_falconensis",-67.3333,35.7167,18
"5","G_falconensis",-68.9167,36.1333,14
"6","G_falconensis",-69.15,36.15,29
"7","G_falconensis",-68.9333,35.7833,16
"8","G_falconensis",-69.4,36.2167,17
"9","G_falconensis",-72.95,37.65,2
"10","G_falconensis",-74.35,31.8333,16
"11","G_falconensis",-75.35,31.65,27
"12","G_falconensis",-76.8,29.7667,4
"13","G_falconensis",-75.75,23.9333,2
"14","G_falconensis",-67.6667,30.7833,13
"15","G_falconensis",-69.0833,35.7667,6
"16","G_falconensis",-78.55,19.4,2
"17","G_falconensis",-73.833,19.917,1
"18","G_falconensis",-42.65,39.1332,2
"19","G_falconensis",-36.7,39.267,61
"20","G_falconensis",-27.367,33.333,81
"21","G_falconensis",-19.2998,25.833,37
"22","G_falconensis",-21.7833,0.6,15
"23","G_falconensis",-26.0333,-0.7667,6
"24","G_falconensis",-27.0167,-1.5,2
"25","G_falconensis",175.387,36.562,10
"26","G_falconensis",178.637,36.433,10
"27","G_falconensis",51.9,12,14
"28","G_falconensis",53.1667,10.25,12
"29","G_falconensis",51.7333,8.9833,7
"30","G_falconensis",51.6167,8.9,1
"31","G_falconensis",69.433,20.15,58
"32","G_falconensis",67.933,20.125,65
"33","G_falconensis",59.55,21,26
"34","G_falconensis",61.017,20.833,21
"35","G_falconensis",57.1833,17.4333,19
"36","G_falconensis",54.7667,16.2333,7
"37","G_falconensis",54.6333,15.2667,13
"38","G_falconensis",57.35,14.9333,6
"39","G_falconensis",-34.5667,-29.1333,64
"40","G_falconensis",71.558,13.583,8
"41","G_falconensis",74.1833,9.9,9
"42","G_falconensis",73.4,7.0333,3
"43","G_falconensis",127.85,-9.1,6
"44","G_falconensis",133.8333,-4.8833,1
"45","G_falconensis",131.9833,-4.6667,5
"46","G_falconensis",46.9833,-13.3,4
"47","G_falconensis",41.6167,-12.9833,2
