"","Taxa","Longitude","Latitude","Count"
"1","G_glutinata",-38.783,28,43
"2","G_glutinata",-73.5167,38.1833,32
"3","G_glutinata",-41.75,50.9332,13
"4","G_glutinata",-67.3333,35.7167,7
"5","G_glutinata",-69.15,36.15,33
"6","G_glutinata",-68.9333,35.7833,7
"7","G_glutinata",-69.4,36.2167,20
"8","G_glutinata",-72.95,37.65,10
"9","G_glutinata",-74.35,31.8333,21
"10","G_glutinata",-75.35,31.65,30
"11","G_glutinata",-76.8,29.7667,92
"12","G_glutinata",-75.75,23.9333,34
"13","G_glutinata",-75.9333,24.8,41
"14","G_glutinata",-67.6667,30.7833,9
"15","G_glutinata",-69.0833,35.7667,43
"16","G_glutinata",-78.55,19.4,20
"17","G_glutinata",-73.833,19.917,81
"18","G_glutinata",-42.65,39.1332,19
"19","G_glutinata",-36.7,39.267,36
"20","G_glutinata",-27.367,33.333,36
"21","G_glutinata",-19.2998,25.833,31
"22","G_glutinata",-17.0667,5.2833,3
"23","G_glutinata",-18.3,3.65,2
"24","G_glutinata",-21.7833,0.6,44
"25","G_glutinata",-26.0333,-0.7667,33
"26","G_glutinata",-27.0167,-1.5,10
"27","G_glutinata",-57.3167,10.55,19
"28","G_glutinata",175.387,36.562,5
"29","G_glutinata",178.637,36.433,2
"30","G_glutinata",51.9,12,48
"31","G_glutinata",53.1667,10.25,60
"32","G_glutinata",51.7333,8.9833,74
"33","G_glutinata",51.6167,8.9,144
"34","G_glutinata",60.2167,9.2167,16
"35","G_glutinata",69.433,20.15,70
"36","G_glutinata",67.933,20.125,122
"37","G_glutinata",59.55,21,64
"38","G_glutinata",61.017,20.833,58
"39","G_glutinata",57.1833,17.4333,78
"40","G_glutinata",54.7667,16.2333,111
"41","G_glutinata",54.6333,15.2667,123
"42","G_glutinata",57.35,14.9333,90
"43","G_glutinata",-34.5667,-29.1333,78
"44","G_glutinata",71.558,13.583,75
"45","G_glutinata",74.1833,9.9,69
"46","G_glutinata",73.4,7.0333,55
"47","G_glutinata",127.85,-9.1,53
"48","G_glutinata",133.8333,-4.8833,9
"49","G_glutinata",131.9833,-4.6667,60
"50","G_glutinata",130.6167,-2.6333,63
"51","G_glutinata",112.6833,-11.8833,7
"52","G_glutinata",46.9833,-13.3,18
"53","G_glutinata",41.6167,-12.9833,38
"54","G_glutinata",41.4,-13.1833,42
"55","G_glutinata",41.55,-16.0667,11
"56","G_glutinata",41.8333,-11.5167,87
"57","G_glutinata",-121.8833,19,31
"58","G_glutinata",119.05,7.916,36
"59","G_glutinata",118.55,8.5,37
"60","G_glutinata",87.783,11.383,44
"61","G_glutinata",-11.12,-8.28,38
"62","G_glutinata",80.867,14.267,150
"63","G_glutinata",87.317,15.3,16
"64","G_glutinata",91.233,15.217,4
"65","G_glutinata",91.533,19,110
"66","G_glutinata",89.317,20.333,119
"67","G_glutinata",86.9,13.483,11
"68","G_glutinata",89.033,6.917,42
"69","G_glutinata",88.583,4.183,8
"70","G_glutinata",57.3667,17.7,88
"71","G_glutinata",57.3833,17.5667,71
"72","G_glutinata",57.3667,13.8667,103
"73","G_glutinata",60.6667,16.6167,152
"74","G_glutinata",58.3333,19.15,39
"75","G_glutinata",58.9833,19.7,90
"76","G_glutinata",59.6,21,118
"77","G_glutinata",59.7333,21.75,54
"78","G_glutinata",60.1833,20.75,88
"79","G_glutinata",60.6167,20,62
"80","G_glutinata",60.75,19.55,115
"81","G_glutinata",61.6833,19.9333,146
"82","G_glutinata",60.8333,21.7167,95
"83","G_glutinata",60.15,22.6833,117
"84","G_glutinata",59.75,22.6833,191
