"","Taxa","Longitude","Latitude","Count"
"1","G_hexagona",51.9,12,3
"2","G_hexagona",53.1667,10.25,6
"3","G_hexagona",51.7333,8.9833,1
"4","G_hexagona",60.2167,9.2167,2
"5","G_hexagona",69.433,20.15,1
"6","G_hexagona",59.55,21,1
"7","G_hexagona",57.1833,17.4333,1
"8","G_hexagona",54.7667,16.2333,4
"9","G_hexagona",57.35,14.9333,2
"10","G_hexagona",-34.5667,-29.1333,1
"11","G_hexagona",71.558,13.583,8
"12","G_hexagona",74.1833,9.9,13
"13","G_hexagona",73.4,7.0333,10
"14","G_hexagona",46.9833,-13.3,5
"15","G_hexagona",41.6167,-12.9833,10
"16","G_hexagona",41.4,-13.1833,3
"17","G_hexagona",41.55,-16.0667,2
"18","G_hexagona",41.8333,-11.5167,2
"19","G_hexagona",87.783,11.383,4
"20","G_hexagona",80.867,14.267,3
"21","G_hexagona",87.317,15.3,5
"22","G_hexagona",91.233,15.217,1
"23","G_hexagona",91.533,19,13
"24","G_hexagona",89.317,20.333,5
"25","G_hexagona",86.9,13.483,8
"26","G_hexagona",89.033,6.917,6
"27","G_hexagona",57.3667,13.8667,3
"28","G_hexagona",60.6667,16.6167,5
"29","G_hexagona",58.3333,19.15,2
"30","G_hexagona",58.9833,19.7,1
"31","G_hexagona",59.6,21,4
"32","G_hexagona",60.6167,20,2
"33","G_hexagona",60.75,19.55,4
"34","G_hexagona",61.6833,19.9333,1
"35","G_hexagona",60.8333,21.7167,1
"36","G_hexagona",60.15,22.6833,1
"37","G_hexagona",59.75,22.6833,7
"38","G_hexagona",59.7167,22.6333,4
"39","G_hexagona",63.15,22.1833,3
"40","G_hexagona",58.7833,24.0667,1
"41","G_hexagona",62.067,-18.35,2
"42","G_hexagona",62.5,-14.033,5
"43","G_hexagona",62.833,-12.267,1
"44","G_hexagona",55.5,-8.933,7
"45","G_hexagona",69.017,-8.317,1
"46","G_hexagona",71.217,-2.45,12
"47","G_hexagona",70.233,-2.333,4
"48","G_hexagona",69.25,-2.2,8
"49","G_hexagona",71.2167,-2.45,9
"50","G_hexagona",88.85,2.97,7
"51","G_hexagona",91.05,2.917,5
"52","G_hexagona",97.883,-0.567,6
"53","G_hexagona",-115.7167,-26.3,1
"54","G_hexagona",-112.1,-14.7333,2
"55","G_hexagona",-109.7167,-11.7,5
"56","G_hexagona",-110.68,-9.88,6
"57","G_hexagona",-79.5,-34.5,1
"58","G_hexagona",156.058,4.85,2
"59","G_hexagona",160.8,-1.747,1
"60","G_hexagona",160.993,0.875,1
"61","G_hexagona",-46.127,16.653,1
"62","G_hexagona",-42.947,15.527,1
"63","G_hexagona",72.783,-5.383,7
"64","G_hexagona",59.25,-5.433,3
"65","G_hexagona",58.517,-10.35,5
"66","G_hexagona",59.683,-13.683,2
"67","G_hexagona",78.433,-37.317,1
"68","G_hexagona",73.117,9.05,30
"69","G_hexagona",65.9667,5.7167,1
"70","G_hexagona",170.033,-3.383,1
"71","G_hexagona",71.5133,16.99,3
"72","G_hexagona",50.5183,14.4333,2
"73","G_hexagona",95.09,8.43,11
"74","G_hexagona",95.03,10.13,10
"75","G_hexagona",93.41,11.09,8
"76","G_hexagona",94.09,11.46,8
"77","G_hexagona",95.56,13.34,10
"78","G_hexagona",93.08,14.31,7
"79","G_hexagona",91.01,18.22,11
"80","G_hexagona",90.29,17.24,8
"81","G_hexagona",92.04,12.24,8
"82","G_hexagona",76.43,7.3,7
"83","G_hexagona",73.59,12.19,34
"84","G_hexagona",71.53,13.59,8
"85","G_hexagona",58.26,19.18,1
"86","G_hexagona",118.7167,8.2167,2
"87","G_hexagona",62.667,-17.8,1
"88","G_hexagona",-149.4,-4.433,1
"89","G_hexagona",-147.567,-0.25,2
"90","G_hexagona",175.417,-10.75,2
"91","G_hexagona",171.4,-2.1,1
"92","G_hexagona",-165.383,-4.067,1
"93","G_hexagona",-166.1,-5.483,1
"94","G_hexagona",-165.383,-4.75,1
"95","G_hexagona",-165.55,10.5,2
"96","G_hexagona",-164.983,10.017,6
"97","G_hexagona",-171.183,10.167,4
"98","G_hexagona",-111.9,-33.42,1
"99","G_hexagona",105.2,-29.37,2
"100","G_hexagona",-123.4,-27.43,1
"101","G_hexagona",72.8,7.4,13
"102","G_hexagona",60.417,19.083,2
"103","G_hexagona",58.083,17.883,2
"104","G_hexagona",-84.18,20.533,1
"105","G_hexagona",-79.15,-18,9
"106","G_hexagona",149.2,1.267,2
"107","G_hexagona",-84.32,6.283,5
"108","G_hexagona",-87.82,4.683,1
"109","G_hexagona",-88.53,4.517,4
"110","G_hexagona",110.02,-25.48,1
"111","G_hexagona",145.83,16.517,1
"112","G_hexagona",-139.7,-1.983,3
"113","G_hexagona",-146.9,-14.78,1
"114","G_hexagona",-110.8,-8.8,5
"115","G_hexagona",168.38,-3.733,3
"116","G_hexagona",-157.9,20.783,1
"117","G_hexagona",29.183,-33.22,2
"118","G_hexagona",34.033,-30.3,2
"119","G_hexagona",41.567,-10.35,6
"120","G_hexagona",65.2,-2.983,7
"121","G_hexagona",67.717,-2.833,16
"122","G_hexagona",69.867,-2.5,2
"123","G_hexagona",74.6,0.783,6
"124","G_hexagona",76.167,0.8,1
"125","G_hexagona",71,6.233,4
"126","G_hexagona",90.017,12.7,14
"127","G_hexagona",89.583,13.05,9
"128","G_hexagona",88.633,15.05,7
"129","G_hexagona",90.567,15.167,19
"130","G_hexagona",96.067,12.767,7
"131","G_hexagona",93.333,9.333,5
"132","G_hexagona",-157.2,-21.46,1
"133","G_hexagona",-89.42,-3.12,1
"134","G_hexagona",-103.6,-1.652,5
"135","G_hexagona",-90.93,4.748,1
"136","G_hexagona",-170.1,19.087,3
"137","G_hexagona",88.57,-9.025,4
"138","G_hexagona",90.015,-2.38,10
"139","G_hexagona",90.137,-2.287,6
"140","G_hexagona",89.95,-0.8333,6
"141","G_hexagona",89.995,0.465,8
"142","G_hexagona",90.167,-1.467,5
"143","G_hexagona",90.52,-5.857,9
"144","G_hexagona",102.45,-5.967,2
"145","G_hexagona",119.45,-15.2,4
"146","G_hexagona",123.68,26.1,1
"147","G_hexagona",56.633,-13.15,1
"148","G_hexagona",57.72,-10.51,1
"149","G_hexagona",66.097,15.033,2
"150","G_hexagona",85.325,7.432,5
"151","G_hexagona",93.535,6.495,9
"152","G_hexagona",96.262,6.397,9
"153","G_hexagona",158.77,3.747,4
"154","G_hexagona",159.4,1.743,2
"155","G_hexagona",163.81,1.643,1
"156","G_hexagona",165.58,0.19,1
"157","G_hexagona",69.683,-23.69,1
"158","G_hexagona",66.123,-16.36,1
"159","G_hexagona",64.735,-12.3,2
"160","G_hexagona",57.575,17.763,1
"161","G_hexagona",57.655,18.253,1
"162","G_hexagona",57.877,17.693,2
"163","G_hexagona",57.53,18.11,2
"164","G_hexagona",57.565,18.07,2
"165","G_hexagona",57.82,17.718,1
"166","G_hexagona",57.665,17.678,3
"167","G_hexagona",57.592,17.908,2
"168","G_hexagona",57.59,17.903,4
"169","G_hexagona",57.683,18.217,2
"170","G_hexagona",57.685,18.213,2
"171","G_hexagona",57.647,18.225,1
"172","G_hexagona",59.87,16.62,1
"173","G_hexagona",59.868,16.62,7
"174","G_hexagona",59.788,16.528,1
"175","G_hexagona",59.783,16.518,4
"176","G_hexagona",59.768,16.603,4
"177","G_hexagona",59.7667,16.5333,4
"178","G_hexagona",59.293,16.6,4
"179","G_hexagona",59.7167,16.65,2
"180","G_hexagona",59.6833,16.6333,5
"181","G_hexagona",59.658,16.652,3
"182","G_hexagona",59.6667,16.6667,3
"183","G_hexagona",59.6,16.6833,1
"184","G_hexagona",59.455,16.538,2
"185","G_hexagona",59.45,16.5333,1
"186","G_hexagona",59.353,16.477,1
"187","G_hexagona",59.293,16.348,1
"188","G_hexagona",59.1833,16.3667,2
"189","G_hexagona",57.717,17.628,1
"190","G_hexagona",59.858,16.613,4
"191","G_hexagona",59.8617,16.625,2
"192","G_hexagona",60.6833,16.1667,4
"193","G_hexagona",-118.05,3.95,3
"194","G_hexagona",-99.933,5.65,1
"195","G_hexagona",-89.45,2.3,3
"196","G_hexagona",-85.983,-0.15,1
"197","G_hexagona",-85.467,-2.767,3
"198","G_hexagona",-97.8,-13.533,12
"199","G_hexagona",-107.9833,-12.8,10
"200","G_hexagona",-111.2,-12.55,3
"201","G_hexagona",-112.6167,-12.5,1
"202","G_hexagona",-113.4833,-14.6833,2
"203","G_hexagona",-119.6,-14,12
"204","G_hexagona",-122.4667,-14.0167,3
"205","G_hexagona",-125.35,-13.9,4
"206","G_hexagona",-128.4833,-14.0333,3
"207","G_hexagona",-139.5833,-14.05,1
"208","G_hexagona",-145.8,-15.85,1
"209","G_hexagona",-86.25,0.1,2
"210","G_hexagona",-113.867,1.483,1
"211","G_hexagona",-166.583,-8.017,1
"212","G_hexagona",-137.067,-2.517,4
"213","G_hexagona",59.6,17.2167,1
"214","G_hexagona",59.95,17.2,3
"215","G_hexagona",58.4667,19.5,3
"216","G_hexagona",57.8333,17.7,1
"217","G_hexagona",57.5,17.8167,1
"218","G_hexagona",57.5833,17.75,2
"219","G_hexagona",57.4833,17.75,1
"220","G_hexagona",61.4833,15.9833,2
"221","G_hexagona",58.3667,19.2333,3
"222","G_hexagona",58.2333,19.2667,1
"223","G_hexagona",58.6167,19.65,1
"224","G_hexagona",59.8,16.6167,3
"225","G_hexagona",58.8,17.3833,2
"226","G_hexagona",8.1,-36.5,1
"227","G_hexagona",65.517,3.867,3
"228","G_hexagona",57.183,10.25,1
"229","G_hexagona",56.233,11.433,2
"230","G_hexagona",51,14.3,3
"231","G_hexagona",46.75,11.85,5
"232","G_hexagona",45.633,12.617,1
"233","G_hexagona",-40.52,15.483,1
"234","G_hexagona",13.5,-39.2,1
"235","G_hexagona",32.867,-29.63,1
"236","G_hexagona",66.983,-2.433,14
"237","G_hexagona",-34.4,-9.75,1
"238","G_hexagona",-85.28,6.35,8
"239","G_hexagona",-8.95,-21.33,1
"240","G_hexagona",10.75,-32.13,1
"241","G_hexagona",99.25,-31.53,1
"242","G_hexagona",41.85,-36.12,1
"243","G_hexagona",140.05,11.85,2
"244","G_hexagona",76.55,7.117,6
"245","G_hexagona",74.217,7.583,8
"246","G_hexagona",73.25,8.117,11
