"","Taxa","Longitude","Latitude","Count"
"1","G_hirsuta",-38.783,28,2
"2","G_hirsuta",-73.5167,38.1833,1
"3","G_hirsuta",-41.75,50.9332,15
"4","G_hirsuta",-67.3333,35.7167,26
"5","G_hirsuta",-68.9167,36.1333,9
"6","G_hirsuta",-69.15,36.15,17
"7","G_hirsuta",-68.9333,35.7833,22
"8","G_hirsuta",-69.4,36.2167,31
"9","G_hirsuta",-72.95,37.65,3
"10","G_hirsuta",-74.35,31.8333,23
"11","G_hirsuta",-75.35,31.65,6
"12","G_hirsuta",-76.8,29.7667,2
"13","G_hirsuta",-75.9333,24.8,1
"14","G_hirsuta",-67.6667,30.7833,15
"15","G_hirsuta",-69.0833,35.7667,20
"16","G_hirsuta",-42.65,39.1332,43
"17","G_hirsuta",-36.7,39.267,23
"18","G_hirsuta",-27.367,33.333,15
"19","G_hirsuta",-19.2998,25.833,1
"20","G_hirsuta",-17.0667,5.2833,1
"21","G_hirsuta",175.387,36.562,8
"22","G_hirsuta",-34.5667,-29.1333,21
"23","G_hirsuta",133.8333,-4.8833,1
"24","G_hirsuta",41.8333,-11.5167,1
"25","G_hirsuta",-11.12,-8.28,2
"26","G_hirsuta",60.6667,16.6167,1
"27","G_hirsuta",59.6,21,1
"28","G_hirsuta",62.067,-18.35,1
"29","G_hirsuta",70.367,-25.417,1
"30","G_hirsuta",71.217,-2.45,1
"31","G_hirsuta",71.2167,-2.45,3
"32","G_hirsuta",-112.1,-14.7333,2
"33","G_hirsuta",-109.7167,-11.7,1
"34","G_hirsuta",-97.083,-42.9,1
"35","G_hirsuta",-106.5,-28.4833,2
"36","G_hirsuta",-115.2,-22.0833,1
"37","G_hirsuta",94.832,-49.378,1
"38","G_hirsuta",156.998,-2.225,1
"39","G_hirsuta",-47.4833,28.35,9
"40","G_hirsuta",-46.357,28.573,9
"41","G_hirsuta",-43.222,29.813,6
"42","G_hirsuta",-39.682,31.178,20
"43","G_hirsuta",-37.85,31.653,14
"44","G_hirsuta",-34.093,32.417,12
"45","G_hirsuta",-34.073,32.457,23
"46","G_hirsuta",-30.378,34.653,9
"47","G_hirsuta",-29.9798,34.6198,16
"48","G_hirsuta",-28.78,34.82,7
"49","G_hirsuta",-28.358,34.805,2
"50","G_hirsuta",-26.195,34.813,5
"51","G_hirsuta",-24.3167,35,11
"52","G_hirsuta",-21.668,34.95,9
"53","G_hirsuta",-17.36,34.968,9
"54","G_hirsuta",-12.618,35.18,9
"55","G_hirsuta",-16.95,24.5,1
"56","G_hirsuta",-44.9333,5.8667,1
"57","G_hirsuta",-44.6333,5.7833,1
"58","G_hirsuta",-44.5833,5.8333,2
"59","G_hirsuta",-44.0833,6.3167,1
"60","G_hirsuta",-44.0833,6.1167,1
"61","G_hirsuta",-44.05,5.4333,1
"62","G_hirsuta",-43.65,4.7167,2
"63","G_hirsuta",-43.4833,4.7833,1
"64","G_hirsuta",-43.05,4.9167,1
"65","G_hirsuta",-42.7833,5,1
"66","G_hirsuta",-43.038,4.792,1
"67","G_hirsuta",-43.15,4.7,2
"68","G_hirsuta",-43.408,4.342,1
"69","G_hirsuta",-43.4333,4.35,1
