"","Taxa","Longitude","Latitude","Count"
"1","G_inflata",-38.783,28,39
"2","G_inflata",-73.5167,38.1833,57
"3","G_inflata",-41.75,50.9332,159
"4","G_inflata",-67.3333,35.7167,45
"5","G_inflata",-68.9167,36.1333,63
"6","G_inflata",-69.15,36.15,31
"7","G_inflata",-68.9333,35.7833,61
"8","G_inflata",-69.4,36.2167,42
"9","G_inflata",-72.95,37.65,125
"10","G_inflata",-74.35,31.8333,33
"11","G_inflata",-75.35,31.65,7
"12","G_inflata",-76.8,29.7667,1
"13","G_inflata",-67.6667,30.7833,28
"14","G_inflata",-69.0833,35.7667,85
"15","G_inflata",-78.55,19.4,1
"16","G_inflata",-42.65,39.1332,133
"17","G_inflata",-36.7,39.267,46
"18","G_inflata",-27.367,33.333,42
"19","G_inflata",-19.2998,25.833,45
"20","G_inflata",-17.0667,5.2833,2
"21","G_inflata",175.387,36.562,397
"22","G_inflata",178.637,36.433,296
"23","G_inflata",60.2167,9.2167,1
"24","G_inflata",-34.5667,-29.1333,26
"25","G_inflata",87.783,11.383,1
"26","G_inflata",-11.12,-8.28,2
"27","G_inflata",61.817,-26.933,153
"28","G_inflata",70.367,-25.417,21
"29","G_inflata",70.233,-2.333,1
"30","G_inflata",-130.617,3.333,1
"31","G_inflata",-115.7167,-26.3,1
"32","G_inflata",-143.6667,-28.5667,80
"33","G_inflata",-127.333,-44.217,62
"34","G_inflata",-127.233,-44.35,25
"35","G_inflata",-119.833,-45.5,17
"36","G_inflata",-102,-42,81
"37","G_inflata",-97.083,-42.9,30
"38","G_inflata",-79.5,-34.5,49
"39","G_inflata",-106.5,-28.4833,6
"40","G_inflata",-118.2333,-23.6167,2
"41","G_inflata",-115.2,-22.0833,1
"42","G_inflata",-89.75,-59.65,10
"43","G_inflata",-130.117,-58,23
"44","G_inflata",-159.983,-54.017,55
"45","G_inflata",95.082,-45.022,63
"46","G_inflata",95.08,-47.128,55
"47","G_inflata",95.037,-47.988,29
"48","G_inflata",94.832,-49.378,54
"49","G_inflata",-47.4833,28.35,22
"50","G_inflata",-46.357,28.573,10
"51","G_inflata",-43.222,29.813,24
"52","G_inflata",-39.682,31.178,74
"53","G_inflata",-37.85,31.653,24
"54","G_inflata",-34.093,32.417,41
"55","G_inflata",-34.073,32.457,35
"56","G_inflata",-30.378,34.653,35
"57","G_inflata",-29.9798,34.6198,22
"58","G_inflata",-28.78,34.82,35
"59","G_inflata",-28.358,34.805,28
"60","G_inflata",-26.195,34.813,54
"61","G_inflata",-24.3167,35,66
"62","G_inflata",-21.668,34.95,81
"63","G_inflata",-17.36,34.968,40
"64","G_inflata",-12.618,35.18,41
"65","G_inflata",-46.127,16.653,1
"66","G_inflata",-42.947,15.527,3
"67","G_inflata",-34.173,10.993,9
"68","G_inflata",-16.95,24.5,89
"69","G_inflata",-44.6333,5.7833,1
"70","G_inflata",-44.0833,5.5667,2
"71","G_inflata",-44.05,5.4333,1
"72","G_inflata",-44.0667,5.3833,1
"73","G_inflata",70.967,-44.633,56
"74","G_inflata",73.6,-35.783,161
"75","G_inflata",78.433,-37.317,41
"76","G_inflata",98.867,-32,84
"77","G_inflata",114.383,-31.5,60
"78","G_inflata",67.883,-39.733,79
"79","G_inflata",100.333,-32.1,92
"80","G_inflata",113.933,-32.267,183
"81","G_inflata",154.733,-15.717,2
"82","G_inflata",155,-16.05,5
"83","G_inflata",117.9267,12.65,1
"84","G_inflata",117.9167,12.3167,3
"85","G_inflata",118.065,12.1517,1
"86","G_inflata",118.4833,11,2
"87","G_inflata",118.29,10.6,1
"88","G_inflata",87.85,-18.68,1
"89","G_inflata",62.667,-17.8,1
"90","G_inflata",73.883,-23.933,13
"91","G_inflata",71,-42,141
"92","G_inflata",178.483,-63.067,3
"93","G_inflata",-171.533,-60.2,47
"94","G_inflata",175.233,-46.35,47
"95","G_inflata",-154.75,-24.683,36
"96","G_inflata",-147.567,-0.25,1
"97","G_inflata",-157.8167,21.7,1
"98","G_inflata",167.567,-20.583,10
"99","G_inflata",-74.88,14,1
"100","G_inflata",-16.53,-23.35,37
"101","G_inflata",-15.12,-24.07,11
"102","G_inflata",-13.27,-24.97,32
"103","G_inflata",-12.77,-25.15,15
"104","G_inflata",-10.62,-26.23,51
"105","G_inflata",-9.433,-26.58,38
"106","G_inflata",42.35,-42.88,41
"107","G_inflata",46.2,-43.78,26
"108","G_inflata",51.267,-43.63,71
"109","G_inflata",65.467,-55.33,1
"110","G_inflata",92.417,-44.77,59
"111","G_inflata",93.883,-44.03,46
"112","G_inflata",101.42,-41.1,86
"113","G_inflata",104.37,-39.38,50
"114","G_inflata",120.9,-36.75,36
"115","G_inflata",125.57,-46.53,78
"116","G_inflata",127.12,-49.33,27
"117","G_inflata",129.97,-51.08,37
"118","G_inflata",135.85,-51.5,38
"119","G_inflata",-111.9,-33.42,43
"120","G_inflata",105.2,-29.37,14
"121","G_inflata",-123.4,-27.43,14
"122","G_inflata",-179.7,-24.77,15
"123","G_inflata",172.6,-28.75,54
"124","G_inflata",170.22,-31.45,124
"125","G_inflata",168.73,-33.23,140
"126","G_inflata",148.37,-45.75,89
"127","G_inflata",143.78,-44.08,22
"128","G_inflata",123.1,-47.77,73
"129","G_inflata",121.12,-45.42,55
"130","G_inflata",114.13,-41.37,79
"131","G_inflata",111.38,-39.78,90
"132","G_inflata",113.37,-29.33,50
"133","G_inflata",114.55,-31.28,33
"134","G_inflata",-14.9,44.2,66
"135","G_inflata",-10.57,45.1,62
"136","G_inflata",-15.4,54.983,21
"137","G_inflata",-76.68,29.967,12
"138","G_inflata",-79.15,-18,63
"139","G_inflata",150.38,6.767,1
"140","G_inflata",158,33.083,244
"141","G_inflata",158.8,31.417,551
"142","G_inflata",154.63,32.133,577
"143","G_inflata",159.17,34.583,455
"144","G_inflata",-69.67,21.3,2
"145","G_inflata",-86.3,23.433,1
"146","G_inflata",-84.75,25.183,6
"147","G_inflata",57.35,-43.03,144
"148","G_inflata",54.217,-34.33,184
"149","G_inflata",57.633,-22.4,37
"150","G_inflata",67.583,-34.92,135
"151","G_inflata",69.55,-36.48,76
