"","Taxa","Longitude","Latitude","Count"
"1","G_iota",175.387,36.562,2
"2","G_iota",80.867,14.267,2
"3","G_iota",57.3833,17.5667,1
"4","G_iota",62.5,-14.033,1
"5","G_iota",-106.5,-28.4833,1
"6","G_iota",-34.073,32.457,1
"7","G_iota",-28.358,34.805,1
"8","G_iota",50.5183,14.4333,3
"9","G_iota",120.9,-36.75,1
"10","G_iota",-111.9,-33.42,1
"11","G_iota",172.6,-28.75,2
"12","G_iota",-14.9,44.2,1
"13","G_iota",-79.15,-18,2
"14","G_iota",54.217,-34.33,1
"15","G_iota",163.33,3.6,1
"16","G_iota",133.28,29.767,4
"17","G_iota",-28.87,-37.87,1
"18","G_iota",126.18,23.95,3
"19","G_iota",90.015,-2.38,3
"20","G_iota",58.678,-28.81,1
"21","G_iota",69.683,-23.69,2
"22","G_iota",64.735,-12.3,1
"23","G_iota",57.717,17.628,1
"24","G_iota",-107.9833,-12.8,1
"25","G_iota",159.98,0.5667,1
"26","G_iota",152.62,1.6667,1
"27","G_iota",-4.767,-24.73,1
"28","G_iota",89.133,-33.38,1
"29","G_iota",-20.17,-32.17,1
"30","G_iota",87.117,-25.63,4
"31","G_iota",118.78,-36.12,1
"32","G_iota",140.62,-38.57,1
"33","G_iota",10.8,-21.83,1
"34","G_iota",-10.9,-46.13,1
"35","G_iota",-10.6,-34.45,1
"36","G_iota",-178,27.667,2
"37","G_iota",127.38,2.95,1
