"","Taxa","Longitude","Latitude","Count"
"1","G_menardii",-73.5167,38.1833,1
"2","G_menardii",-41.75,50.9332,1
"3","G_menardii",-67.3333,35.7167,16
"4","G_menardii",-68.9167,36.1333,19
"5","G_menardii",-69.15,36.15,3
"6","G_menardii",-68.9333,35.7833,15
"7","G_menardii",-69.4,36.2167,8
"8","G_menardii",-72.95,37.65,29
"9","G_menardii",-74.35,31.8333,17
"10","G_menardii",-75.35,31.65,9
"11","G_menardii",-76.8,29.7667,5
"12","G_menardii",-75.9333,24.8,1
"13","G_menardii",-69.0833,35.7667,13
"14","G_menardii",-78.55,19.4,14
"15","G_menardii",-73.833,19.917,21
"16","G_menardii",-42.65,39.1332,9
"17","G_menardii",-36.7,39.267,1
"18","G_menardii",-27.367,33.333,1
"19","G_menardii",-19.2998,25.833,9
"20","G_menardii",-17.0667,5.2833,5
"21","G_menardii",-18.3,3.65,56
"22","G_menardii",-21.7833,0.6,14
"23","G_menardii",-26.0333,-0.7667,19
"24","G_menardii",-27.0167,-1.5,61
"25","G_menardii",-57.3167,10.55,11
"26","G_menardii",-59.2,20.7332,5
"27","G_menardii",178.637,36.433,1
"28","G_menardii",51.9,12,17
"29","G_menardii",53.1667,10.25,18
"30","G_menardii",51.7333,8.9833,40
"31","G_menardii",51.6167,8.9,37
"32","G_menardii",60.2167,9.2167,70
"33","G_menardii",69.433,20.15,2
"34","G_menardii",67.933,20.125,6
"35","G_menardii",59.55,21,7
"36","G_menardii",61.017,20.833,24
"37","G_menardii",57.1833,17.4333,12
"38","G_menardii",54.7667,16.2333,21
"39","G_menardii",54.6333,15.2667,19
"40","G_menardii",57.35,14.9333,28
"41","G_menardii",-34.5667,-29.1333,13
"42","G_menardii",71.558,13.583,29
"43","G_menardii",74.1833,9.9,34
"44","G_menardii",73.4,7.0333,27
"45","G_menardii",127.85,-9.1,46
"46","G_menardii",133.8333,-4.8833,27
"47","G_menardii",131.9833,-4.6667,2
"48","G_menardii",130.6167,-2.6333,25
"49","G_menardii",112.6833,-11.8833,74
"50","G_menardii",46.9833,-13.3,2
"51","G_menardii",41.6167,-12.9833,2
"52","G_menardii",41.4,-13.1833,3
"53","G_menardii",41.55,-16.0667,3
"54","G_menardii",41.8333,-11.5167,11
"55","G_menardii",-121.8833,19,5
"56","G_menardii",119.05,7.916,16
"57","G_menardii",118.55,8.5,23
"58","G_menardii",87.783,11.383,17
"59","G_menardii",-11.12,-8.28,30
"60","G_menardii",80.867,14.267,19
"61","G_menardii",87.317,15.3,242
"62","G_menardii",91.233,15.217,210
"63","G_menardii",91.533,19,37
