"","Taxa","Longitude","Latitude","Count"
"1","G_menardii_flexuosa",-78.55,19.4,1
"2","G_menardii_flexuosa",51.6167,8.9,1
"3","G_menardii_flexuosa",60.2167,9.2167,2
"4","G_menardii_flexuosa",69.433,20.15,2
"5","G_menardii_flexuosa",67.933,20.125,1
"6","G_menardii_flexuosa",54.7667,16.2333,1
"7","G_menardii_flexuosa",71.558,13.583,3
"8","G_menardii_flexuosa",74.1833,9.9,1
"9","G_menardii_flexuosa",73.4,7.0333,3
"10","G_menardii_flexuosa",112.6833,-11.8833,2
"11","G_menardii_flexuosa",80.867,14.267,9
"12","G_menardii_flexuosa",87.317,15.3,40
"13","G_menardii_flexuosa",91.233,15.217,11
"14","G_menardii_flexuosa",91.533,19,6
"15","G_menardii_flexuosa",89.317,20.333,1
"16","G_menardii_flexuosa",86.9,13.483,9
"17","G_menardii_flexuosa",89.033,6.917,35
"18","G_menardii_flexuosa",88.583,4.183,1
"19","G_menardii_flexuosa",57.3667,13.8667,2
"20","G_menardii_flexuosa",58.3333,19.15,1
"21","G_menardii_flexuosa",58.9833,19.7,2
"22","G_menardii_flexuosa",59.6,21,1
"23","G_menardii_flexuosa",60.1833,20.75,3
"24","G_menardii_flexuosa",60.6167,20,2
"25","G_menardii_flexuosa",61.6833,19.9333,6
"26","G_menardii_flexuosa",60.8333,21.7167,1
"27","G_menardii_flexuosa",59.75,22.6833,1
"28","G_menardii_flexuosa",59.6167,22.6167,4
"29","G_menardii_flexuosa",59.7167,22.6333,1
"30","G_menardii_flexuosa",58.7833,24.0667,1
"31","G_menardii_flexuosa",71.217,-2.45,2
"32","G_menardii_flexuosa",70.233,-2.333,2
"33","G_menardii_flexuosa",97.883,-0.567,1
"34","G_menardii_flexuosa",162.393,1.362,1
"35","G_menardii_flexuosa",-42.9833,4.8667,1
"36","G_menardii_flexuosa",63.717,-5.567,1
"37","G_menardii_flexuosa",155,-16.05,1
"38","G_menardii_flexuosa",71.5133,16.99,2
"39","G_menardii_flexuosa",50.5183,14.4333,26
"40","G_menardii_flexuosa",93.41,11.09,3
"41","G_menardii_flexuosa",94.09,11.46,3
"42","G_menardii_flexuosa",93.08,14.31,2
"43","G_menardii_flexuosa",91.01,18.22,4
"44","G_menardii_flexuosa",90.29,17.24,4
"45","G_menardii_flexuosa",92.04,12.24,1
"46","G_menardii_flexuosa",76.43,7.3,1
"47","G_menardii_flexuosa",73.59,12.19,3
"48","G_menardii_flexuosa",71.53,13.59,8
"49","G_menardii_flexuosa",117.9167,12.3167,1
"50","G_menardii_flexuosa",118.065,12.1517,11
"51","G_menardii_flexuosa",118.6317,11.6283,3
"52","G_menardii_flexuosa",118.5083,11.7233,1
"53","G_menardii_flexuosa",118.2133,11.9317,2
"54","G_menardii_flexuosa",118.8833,6.75,1
"55","G_menardii_flexuosa",-157.8167,21.7,2
"56","G_menardii_flexuosa",-157.3833,21.55,1
"57","G_menardii_flexuosa",175.417,-10.75,2
"58","G_menardii_flexuosa",113.37,-29.33,2
"59","G_menardii_flexuosa",72.8,7.4,2
"60","G_menardii_flexuosa",-79.15,-18,2
"61","G_menardii_flexuosa",153.85,-12.42,2
"62","G_menardii_flexuosa",156.43,-3.033,1
"63","G_menardii_flexuosa",153.98,-0.333,2
"64","G_menardii_flexuosa",149.2,1.267,1
"65","G_menardii_flexuosa",110.02,-25.48,1
"66","G_menardii_flexuosa",-35.97,-17.27,3
"67","G_menardii_flexuosa",-75.32,30.75,1
"68","G_menardii_flexuosa",41.567,-10.35,1
"69","G_menardii_flexuosa",89.583,13.05,5
"70","G_menardii_flexuosa",88.633,15.05,6
"71","G_menardii_flexuosa",90.567,15.167,12
"72","G_menardii_flexuosa",-157.2,-21.46,2
"73","G_menardii_flexuosa",-10.61,-9.142,2
"74","G_menardii_flexuosa",71.877,-12.47,3
"75","G_menardii_flexuosa",88.57,-9.025,1
"76","G_menardii_flexuosa",90.015,-2.38,1
"77","G_menardii_flexuosa",89.95,-0.8333,2
"78","G_menardii_flexuosa",119.95,4.417,1
"79","G_menardii_flexuosa",66.097,15.033,1
"80","G_menardii_flexuosa",85.325,7.432,3
"81","G_menardii_flexuosa",93.535,6.495,1
"82","G_menardii_flexuosa",163.81,1.643,1
"83","G_menardii_flexuosa",57.575,17.763,2
"84","G_menardii_flexuosa",57.58,17.895,2
"85","G_menardii_flexuosa",57.655,18.253,1
"86","G_menardii_flexuosa",57.557,18.268,1
"87","G_menardii_flexuosa",57.82,17.718,1
"88","G_menardii_flexuosa",57.592,17.908,1
"89","G_menardii_flexuosa",57.683,18.217,3
"90","G_menardii_flexuosa",57.647,18.225,1
"91","G_menardii_flexuosa",57.602,18.233,1
"92","G_menardii_flexuosa",59.783,16.518,1
"93","G_menardii_flexuosa",59.293,16.6,2
"94","G_menardii_flexuosa",59.6833,16.6333,4
"95","G_menardii_flexuosa",59.658,16.652,2
"96","G_menardii_flexuosa",59.6,16.703,9
"97","G_menardii_flexuosa",59.6,16.6833,1
"98","G_menardii_flexuosa",59.45,16.5333,1
"99","G_menardii_flexuosa",59.293,16.348,4
"100","G_menardii_flexuosa",59.1833,16.3667,1
"101","G_menardii_flexuosa",57.717,17.628,1
"102","G_menardii_flexuosa",57.583,17.778,1
"103","G_menardii_flexuosa",-128.4833,-14.0333,12
"104","G_menardii_flexuosa",-155,5.063,1
"105","G_menardii_flexuosa",159.98,0.5667,1
"106","G_menardii_flexuosa",65.0833,10.0333,9
"107","G_menardii_flexuosa",59.95,17.2,2
"108","G_menardii_flexuosa",57.4833,17.75,1
"109","G_menardii_flexuosa",57.35,17.8167,1
"110","G_menardii_flexuosa",61.4833,15.9833,4
"111","G_menardii_flexuosa",58.2667,19.2167,1
"112","G_menardii_flexuosa",58.4833,19.5167,3
"113","G_menardii_flexuosa",58.6167,19.65,3
"114","G_menardii_flexuosa",-16.05,1.75,1
