"","Taxa","Longitude","Latitude","Count"
"1","G_quinqueloba",-73.5167,38.1833,6
"2","G_quinqueloba",-41.75,50.9332,3
"3","G_quinqueloba",-76.8,29.7667,1
"4","G_quinqueloba",-36.7,39.267,2
"5","G_quinqueloba",-27.367,33.333,1
"6","G_quinqueloba",-18.3,3.65,1
"7","G_quinqueloba",-59.2,20.7332,1
"8","G_quinqueloba",51.9,12,4
"9","G_quinqueloba",69.433,20.15,2
"10","G_quinqueloba",59.55,21,2
"11","G_quinqueloba",61.017,20.833,3
"12","G_quinqueloba",57.1833,17.4333,1
"13","G_quinqueloba",54.7667,16.2333,1
"14","G_quinqueloba",131.9833,-4.6667,2
"15","G_quinqueloba",46.9833,-13.3,1
"16","G_quinqueloba",87.783,11.383,1
"17","G_quinqueloba",-11.12,-8.28,1
"18","G_quinqueloba",91.533,19,1
"19","G_quinqueloba",57.3667,17.7,1
"20","G_quinqueloba",57.3833,17.5667,1
"21","G_quinqueloba",59.6167,22.6167,1
"22","G_quinqueloba",59.7167,22.6333,1
"23","G_quinqueloba",71.2167,-2.45,2
"24","G_quinqueloba",-110.68,-9.88,1
"25","G_quinqueloba",-133.38,-9.98,1
"26","G_quinqueloba",-127.333,-44.217,3
"27","G_quinqueloba",-127.233,-44.35,1
"28","G_quinqueloba",-119.833,-45.5,27
"29","G_quinqueloba",-102,-42,8
"30","G_quinqueloba",-159.983,-54.017,30
"31","G_quinqueloba",95.082,-45.022,18
"32","G_quinqueloba",95.08,-47.128,15
"33","G_quinqueloba",95.037,-47.988,7
"34","G_quinqueloba",-43.222,29.813,1
"35","G_quinqueloba",-37.85,31.653,1
"36","G_quinqueloba",-30.378,34.653,3
"37","G_quinqueloba",-28.358,34.805,2
"38","G_quinqueloba",-12.618,35.18,4
"39","G_quinqueloba",-51.5833,16.7167,1
"40","G_quinqueloba",-16.95,24.5,1
"41","G_quinqueloba",-43.205,4.865,1
"42","G_quinqueloba",-43.05,4.9167,1
"43","G_quinqueloba",70.967,-44.633,3
"44","G_quinqueloba",78.433,-37.317,8
"45","G_quinqueloba",98.867,-32,3
"46","G_quinqueloba",100.333,-32.1,4
"47","G_quinqueloba",155.933,-14.783,2
"48","G_quinqueloba",156.85,-13.283,1
"49","G_quinqueloba",157.217,-12.533,1
"50","G_quinqueloba",163.217,-6.667,1
"51","G_quinqueloba",71.5133,16.99,11
"52","G_quinqueloba",50.5183,14.4333,12
"53","G_quinqueloba",93.41,11.09,1
"54","G_quinqueloba",93.08,14.31,2
"55","G_quinqueloba",91.01,18.22,2
"56","G_quinqueloba",92.04,12.24,1
"57","G_quinqueloba",76.43,7.3,2
"58","G_quinqueloba",118.29,10.6,1
"59","G_quinqueloba",118.9,8.3,1
"60","G_quinqueloba",71,-42,4
"61","G_quinqueloba",178.483,-63.067,1
"62","G_quinqueloba",175.233,-46.35,59
"63","G_quinqueloba",-148.75,-1.9,1
"64","G_quinqueloba",-147.8333,50.85,1
"65","G_quinqueloba",-164.983,10.017,1
"66","G_quinqueloba",42.35,-42.88,14
"67","G_quinqueloba",46.2,-43.78,1
"68","G_quinqueloba",65.467,-55.33,1
"69","G_quinqueloba",92.417,-44.77,15
"70","G_quinqueloba",93.883,-44.03,109
"71","G_quinqueloba",101.42,-41.1,58
"72","G_quinqueloba",104.37,-39.38,4
"73","G_quinqueloba",120.9,-36.75,10
"74","G_quinqueloba",125.57,-46.53,6
"75","G_quinqueloba",127.12,-49.33,7
"76","G_quinqueloba",129.97,-51.08,22
"77","G_quinqueloba",135.85,-51.5,10
"78","G_quinqueloba",-111.9,-33.42,3
"79","G_quinqueloba",143.78,-44.08,37
"80","G_quinqueloba",123.1,-47.77,4
"81","G_quinqueloba",121.12,-45.42,5
"82","G_quinqueloba",111.38,-39.78,4
"83","G_quinqueloba",113.37,-29.33,2
"84","G_quinqueloba",59.6,19.567,2
"85","G_quinqueloba",58.083,17.883,4
"86","G_quinqueloba",-88.98,28,3
"87","G_quinqueloba",-14.9,44.2,2
"88","G_quinqueloba",-15.4,54.983,23
"89","G_quinqueloba",-90.73,25.683,1
"90","G_quinqueloba",-91.45,24.783,4
"91","G_quinqueloba",-76.68,29.967,21
"92","G_quinqueloba",-79.15,-18,7
"93","G_quinqueloba",159.17,34.583,4
"94","G_quinqueloba",-86.3,23.433,1
"95","G_quinqueloba",-91.6,22.933,1
"96","G_quinqueloba",-94.83,22.083,2
"97","G_quinqueloba",-95.83,21.717,2
