"","Taxa","Longitude","Latitude","Count"
"1","G_ruber_p",-38.783,28,8
"2","G_ruber_p",-67.3333,35.7167,2
"3","G_ruber_p",-69.15,36.15,2
"4","G_ruber_p",-68.9333,35.7833,4
"5","G_ruber_p",-69.4,36.2167,4
"6","G_ruber_p",-75.35,31.65,13
"7","G_ruber_p",-76.8,29.7667,12
"8","G_ruber_p",-75.75,23.9333,18
"9","G_ruber_p",-75.9333,24.8,10
"10","G_ruber_p",-67.6667,30.7833,1
"11","G_ruber_p",-69.0833,35.7667,4
"12","G_ruber_p",-78.55,19.4,20
"13","G_ruber_p",-73.833,19.917,32
"14","G_ruber_p",-42.65,39.1332,2
"15","G_ruber_p",-36.7,39.267,4
"16","G_ruber_p",-27.367,33.333,2
"17","G_ruber_p",-19.2998,25.833,14
"18","G_ruber_p",-21.7833,0.6,14
"19","G_ruber_p",-26.0333,-0.7667,20
"20","G_ruber_p",-57.3167,10.55,110
"21","G_ruber_p",-59.2,20.7332,7
"22","G_ruber_p",-34.5667,-29.1333,29
"23","G_ruber_p",131.9833,-4.6667,1
"24","G_ruber_p",46.9833,-13.3,1
"25","G_ruber_p",-11.12,-8.28,36
"26","G_ruber_p",59.7167,22.6333,1
"27","G_ruber_p",-47.4833,28.35,8
"28","G_ruber_p",-46.357,28.573,6
"29","G_ruber_p",-43.222,29.813,3
"30","G_ruber_p",-39.682,31.178,9
"31","G_ruber_p",-37.85,31.653,1
"32","G_ruber_p",-34.093,32.417,1
"33","G_ruber_p",-34.073,32.457,5
"34","G_ruber_p",-30.378,34.653,1
"35","G_ruber_p",-29.9798,34.6198,5
"36","G_ruber_p",-28.78,34.82,5
"37","G_ruber_p",-28.358,34.805,2
"38","G_ruber_p",-26.195,34.813,3
"39","G_ruber_p",-21.668,34.95,4
"40","G_ruber_p",-17.36,34.968,2
"41","G_ruber_p",-12.618,35.18,2
"42","G_ruber_p",-51.5833,16.7167,28
"43","G_ruber_p",-46.127,16.653,14
"44","G_ruber_p",-42.947,15.527,35
"45","G_ruber_p",-34.173,10.993,2
"46","G_ruber_p",-16.95,24.5,12
"47","G_ruber_p",-42.9833,4.8667,14
"48","G_ruber_p",-42.7333,5.15,2
"49","G_ruber_p",-44.9667,5.9833,37
"50","G_ruber_p",-44.9333,5.8667,33
"51","G_ruber_p",-44.7667,5.6667,34
"52","G_ruber_p",-44.7167,5.7,31
"53","G_ruber_p",-44.7333,5.7,29
"54","G_ruber_p",-44.6333,5.7833,29
"55","G_ruber_p",-44.5833,5.8333,30
"56","G_ruber_p",-44.5833,5.8333,29
"57","G_ruber_p",-44.5,5.8833,41
"58","G_ruber_p",-44.4667,5.9667,26
"59","G_ruber_p",-44.3833,6.0167,21
"60","G_ruber_p",-44.3,6.5,25
"61","G_ruber_p",-44.3,6.1167,21
"62","G_ruber_p",-44.2167,6.2167,19
"63","G_ruber_p",-44.0833,6.2167,28
"64","G_ruber_p",-44.0833,6.1167,36
"65","G_ruber_p",-44.0833,6.0333,23
"66","G_ruber_p",-44.0833,6,14
"67","G_ruber_p",-44.05,5.7167,17
"68","G_ruber_p",-44.0833,5.6,23
"69","G_ruber_p",-44.0833,5.5667,29
"70","G_ruber_p",-44.0667,5.4667,21
"71","G_ruber_p",-44.05,5.4333,32
"72","G_ruber_p",-44.0667,5.3833,35
"73","G_ruber_p",-43.75,4.7333,14
"74","G_ruber_p",-43.65,4.7167,26
"75","G_ruber_p",-43.4833,4.7833,14
"76","G_ruber_p",-43.45,4.7667,18
"77","G_ruber_p",-43.205,4.865,19
"78","G_ruber_p",-43.1333,4.9,18
"79","G_ruber_p",-43.05,4.9167,15
"80","G_ruber_p",-42.9167,4.95,17
"81","G_ruber_p",-42.892,4.948,13
"82","G_ruber_p",-42.7833,5,15
"83","G_ruber_p",-42.7333,5.0333,5
