"","Taxa","Longitude","Latitude","Count"
"1","G_ruber_w",-38.783,28,167
"2","G_ruber_w",-41.75,50.9332,4
"3","G_ruber_w",-67.3333,35.7167,74
"4","G_ruber_w",-68.9167,36.1333,53
"5","G_ruber_w",-69.15,36.15,104
"6","G_ruber_w",-68.9333,35.7833,65
"7","G_ruber_w",-69.4,36.2167,79
"8","G_ruber_w",-72.95,37.65,5
"9","G_ruber_w",-74.35,31.8333,167
"10","G_ruber_w",-75.35,31.65,100
"11","G_ruber_w",-76.8,29.7667,87
"12","G_ruber_w",-75.75,23.9333,179
"13","G_ruber_w",-75.9333,24.8,165
"14","G_ruber_w",-67.6667,30.7833,203
"15","G_ruber_w",-69.0833,35.7667,88
"16","G_ruber_w",-78.55,19.4,157
"17","G_ruber_w",-73.833,19.917,106
"18","G_ruber_w",-42.65,39.1332,50
"19","G_ruber_w",-36.7,39.267,65
"20","G_ruber_w",-27.367,33.333,111
"21","G_ruber_w",-19.2998,25.833,99
"22","G_ruber_w",-17.0667,5.2833,7
"23","G_ruber_w",-18.3,3.65,10
"24","G_ruber_w",-21.7833,0.6,109
"25","G_ruber_w",-26.0333,-0.7667,128
"26","G_ruber_w",-27.0167,-1.5,51
"27","G_ruber_w",-57.3167,10.55,170
"28","G_ruber_w",-59.2,20.7332,209
"29","G_ruber_w",175.387,36.562,9
"30","G_ruber_w",178.637,36.433,7
"31","G_ruber_w",51.9,12,40
"32","G_ruber_w",53.1667,10.25,17
"33","G_ruber_w",51.7333,8.9833,35
"34","G_ruber_w",51.6167,8.9,83
"35","G_ruber_w",60.2167,9.2167,17
"36","G_ruber_w",69.433,20.15,81
"37","G_ruber_w",67.933,20.125,82
"38","G_ruber_w",59.55,21,44
"39","G_ruber_w",61.017,20.833,33
"40","G_ruber_w",57.1833,17.4333,56
"41","G_ruber_w",54.7667,16.2333,48
"42","G_ruber_w",54.6333,15.2667,39
"43","G_ruber_w",57.35,14.9333,29
"44","G_ruber_w",-34.5667,-29.1333,369
"45","G_ruber_w",71.558,13.583,85
"46","G_ruber_w",74.1833,9.9,65
"47","G_ruber_w",73.4,7.0333,85
"48","G_ruber_w",127.85,-9.1,70
"49","G_ruber_w",133.8333,-4.8833,38
"50","G_ruber_w",131.9833,-4.6667,22
"51","G_ruber_w",130.6167,-2.6333,69
"52","G_ruber_w",112.6833,-11.8833,5
"53","G_ruber_w",46.9833,-13.3,109
"54","G_ruber_w",41.6167,-12.9833,149
"55","G_ruber_w",41.4,-13.1833,154
"56","G_ruber_w",41.55,-16.0667,188
"57","G_ruber_w",41.8333,-11.5167,222
"58","G_ruber_w",-121.8833,19,44
"59","G_ruber_w",119.05,7.916,107
"60","G_ruber_w",118.55,8.5,109
"61","G_ruber_w",87.783,11.383,129
"62","G_ruber_w",-11.12,-8.28,134
"63","G_ruber_w",80.867,14.267,71
"64","G_ruber_w",87.317,15.3,4
"65","G_ruber_w",91.233,15.217,12
"66","G_ruber_w",91.533,19,75
"67","G_ruber_w",89.317,20.333,148
"68","G_ruber_w",86.9,13.483,11
"69","G_ruber_w",89.033,6.917,41
"70","G_ruber_w",88.583,4.183,9
"71","G_ruber_w",57.3667,17.7,33
"72","G_ruber_w",57.3833,17.5667,39
"73","G_ruber_w",57.3667,13.8667,20
"74","G_ruber_w",60.6667,16.6167,29
"75","G_ruber_w",58.3333,19.15,103
"76","G_ruber_w",58.9833,19.7,30
"77","G_ruber_w",59.6,21,152
"78","G_ruber_w",59.7333,21.75,35
"79","G_ruber_w",60.1833,20.75,52
"80","G_ruber_w",60.6167,20,18
"81","G_ruber_w",60.75,19.55,56
"82","G_ruber_w",61.6833,19.9333,11
"83","G_ruber_w",60.8333,21.7167,14
"84","G_ruber_w",60.15,22.6833,17
"85","G_ruber_w",59.75,22.6833,41
"86","G_ruber_w",59.6167,22.6167,58
"87","G_ruber_w",59.7167,22.6333,31
"88","G_ruber_w",63.15,22.1833,43
"89","G_ruber_w",58.7833,24.0667,36
"90","G_ruber_w",62.067,-18.35,132
"91","G_ruber_w",62.5,-14.033,112
"92","G_ruber_w",62.833,-12.267,59
"93","G_ruber_w",55.5,-8.933,62
"94","G_ruber_w",61.817,-26.933,74
"95","G_ruber_w",70.367,-25.417,135
"96","G_ruber_w",69.017,-8.317,25
"97","G_ruber_w",71.217,-2.45,128
"98","G_ruber_w",70.233,-2.333,21
"99","G_ruber_w",69.25,-2.2,91
"100","G_ruber_w",71.2167,-2.45,89
"101","G_ruber_w",88.85,2.97,43
"102","G_ruber_w",91.05,2.917,93
"103","G_ruber_w",91.683,2.983,8
"104","G_ruber_w",97.883,-0.567,51
"105","G_ruber_w",-130.617,3.333,15
"106","G_ruber_w",-115.7167,-26.3,262
"107","G_ruber_w",-112.1,-14.7333,118
"108","G_ruber_w",-109.7167,-11.7,87
"109","G_ruber_w",-110.68,-9.88,193
"110","G_ruber_w",-133.38,-9.98,44
"111","G_ruber_w",-148.4833,-16.7833,335
"112","G_ruber_w",-143.6667,-28.5667,124
"113","G_ruber_w",-127.333,-44.217,1
"114","G_ruber_w",-102,-42,8
"115","G_ruber_w",-79.5,-34.5,5
"116","G_ruber_w",-106.5,-28.4833,262
"117","G_ruber_w",-118.2333,-23.6167,361
"118","G_ruber_w",-115.2,-22.0833,234
"119","G_ruber_w",-113.3,-4.033,1
"120","G_ruber_w",156.058,4.85,23
"121","G_ruber_w",156.23,2.785,120
"122","G_ruber_w",156.998,-2.225,199
"123","G_ruber_w",161.318,-3.605,159
