"","Taxa","Longitude","Latitude","Count"
"1","G_rubescens",-38.783,28,7
"2","G_rubescens",-69.4,36.2167,1
"3","G_rubescens",-75.35,31.65,1
"4","G_rubescens",-76.8,29.7667,5
"5","G_rubescens",-75.75,23.9333,12
"6","G_rubescens",-75.9333,24.8,23
"7","G_rubescens",-78.55,19.4,3
"8","G_rubescens",-73.833,19.917,6
"9","G_rubescens",-27.367,33.333,1
"10","G_rubescens",-19.2998,25.833,8
"11","G_rubescens",-17.0667,5.2833,1
"12","G_rubescens",-21.7833,0.6,5
"13","G_rubescens",-26.0333,-0.7667,3
"14","G_rubescens",-27.0167,-1.5,1
"15","G_rubescens",51.9,12,7
"16","G_rubescens",51.7333,8.9833,4
"17","G_rubescens",51.6167,8.9,4
"18","G_rubescens",69.433,20.15,15
"19","G_rubescens",67.933,20.125,4
"20","G_rubescens",59.55,21,3
"21","G_rubescens",57.1833,17.4333,7
"22","G_rubescens",54.7667,16.2333,3
"23","G_rubescens",54.6333,15.2667,3
"24","G_rubescens",57.35,14.9333,2
"25","G_rubescens",-34.5667,-29.1333,6
"26","G_rubescens",71.558,13.583,3
"27","G_rubescens",73.4,7.0333,6
"28","G_rubescens",131.9833,-4.6667,11
"29","G_rubescens",130.6167,-2.6333,1
"30","G_rubescens",41.4,-13.1833,2
"31","G_rubescens",41.55,-16.0667,1
"32","G_rubescens",41.8333,-11.5167,15
"33","G_rubescens",-121.8833,19,1
"34","G_rubescens",119.05,7.916,8
"35","G_rubescens",118.55,8.5,8
"36","G_rubescens",-11.12,-8.28,3
"37","G_rubescens",80.867,14.267,7
"38","G_rubescens",91.533,19,1
"39","G_rubescens",89.317,20.333,1
"40","G_rubescens",57.3667,17.7,11
"41","G_rubescens",57.3833,17.5667,11
"42","G_rubescens",60.6667,16.6167,2
"43","G_rubescens",58.3333,19.15,3
"44","G_rubescens",59.6,21,6
"45","G_rubescens",59.7333,21.75,2
"46","G_rubescens",60.1833,20.75,4
"47","G_rubescens",60.6167,20,1
"48","G_rubescens",60.75,19.55,3
"49","G_rubescens",60.15,22.6833,3
"50","G_rubescens",59.75,22.6833,4
"51","G_rubescens",59.6167,22.6167,1
"52","G_rubescens",59.7167,22.6333,6
"53","G_rubescens",63.15,22.1833,3
"54","G_rubescens",58.7833,24.0667,1
"55","G_rubescens",62.067,-18.35,3
"56","G_rubescens",62.5,-14.033,1
"57","G_rubescens",70.367,-25.417,3
"58","G_rubescens",69.017,-8.317,1
"59","G_rubescens",69.25,-2.2,1
"60","G_rubescens",71.2167,-2.45,3
"61","G_rubescens",91.05,2.917,1
"62","G_rubescens",-115.7167,-26.3,1
"63","G_rubescens",-112.1,-14.7333,1
"64","G_rubescens",-109.7167,-11.7,1
"65","G_rubescens",-110.68,-9.88,10
"66","G_rubescens",-148.4833,-16.7833,1
"67","G_rubescens",156.23,2.785,1
"68","G_rubescens",156.998,-2.225,17
"69","G_rubescens",161.318,-3.605,12
"70","G_rubescens",160.8,-1.747,1
"71","G_rubescens",159.235,-1.625,34
"72","G_rubescens",158.693,-0.017,2
"73","G_rubescens",160.415,-0.022,1
"74","G_rubescens",-47.4833,28.35,7
"75","G_rubescens",-46.357,28.573,5
"76","G_rubescens",-43.222,29.813,4
"77","G_rubescens",-39.682,31.178,8
"78","G_rubescens",-37.85,31.653,2
"79","G_rubescens",-34.093,32.417,8
"80","G_rubescens",-34.073,32.457,5
"81","G_rubescens",-30.378,34.653,6
"82","G_rubescens",-29.9798,34.6198,7
"83","G_rubescens",-28.78,34.82,6
"84","G_rubescens",-28.358,34.805,6
"85","G_rubescens",-26.195,34.813,2
"86","G_rubescens",-24.3167,35,2
"87","G_rubescens",-17.36,34.968,5
"88","G_rubescens",-51.5833,16.7167,5
"89","G_rubescens",-46.127,16.653,8
"90","G_rubescens",-42.947,15.527,3
"91","G_rubescens",-16.95,24.5,1
"92","G_rubescens",-44.9667,5.9833,6
"93","G_rubescens",-44.9333,5.8667,3
"94","G_rubescens",-44.7667,5.6667,4
"95","G_rubescens",-44.7167,5.7,5
"96","G_rubescens",-44.7333,5.7,5
"97","G_rubescens",-44.6333,5.7833,3
"98","G_rubescens",-44.5833,5.8333,2
"99","G_rubescens",-44.5833,5.8333,1
"100","G_rubescens",-44.5,5.8833,1
"101","G_rubescens",-44.4667,5.9667,4
"102","G_rubescens",-44.3833,6.0167,2
"103","G_rubescens",-44.3,6.5,1
"104","G_rubescens",-44.2167,6.2167,1
"105","G_rubescens",-44.0833,6,3
"106","G_rubescens",-44.05,5.7167,4
"107","G_rubescens",-44.0833,5.6,1
"108","G_rubescens",-44.0833,5.5667,2
