"","Taxa","Longitude","Latitude","Count"
"1","G_sacculifer_no_sac",-38.783,28,2
"2","G_sacculifer_no_sac",-41.75,50.9332,1
"3","G_sacculifer_no_sac",-67.3333,35.7167,27
"4","G_sacculifer_no_sac",-68.9167,36.1333,9
"5","G_sacculifer_no_sac",-69.15,36.15,25
"6","G_sacculifer_no_sac",-68.9333,35.7833,18
"7","G_sacculifer_no_sac",-69.4,36.2167,20
"8","G_sacculifer_no_sac",-72.95,37.65,3
"9","G_sacculifer_no_sac",-74.35,31.8333,15
"10","G_sacculifer_no_sac",-75.35,31.65,13
"11","G_sacculifer_no_sac",-76.8,29.7667,15
"12","G_sacculifer_no_sac",-75.75,23.9333,8
"13","G_sacculifer_no_sac",-75.9333,24.8,12
"14","G_sacculifer_no_sac",-67.6667,30.7833,6
"15","G_sacculifer_no_sac",-69.0833,35.7667,39
"16","G_sacculifer_no_sac",-78.55,19.4,35
"17","G_sacculifer_no_sac",-73.833,19.917,25
"18","G_sacculifer_no_sac",-42.65,39.1332,8
"19","G_sacculifer_no_sac",-36.7,39.267,4
"20","G_sacculifer_no_sac",-27.367,33.333,8
"21","G_sacculifer_no_sac",-19.2998,25.833,40
"22","G_sacculifer_no_sac",-17.0667,5.2833,1
"23","G_sacculifer_no_sac",-18.3,3.65,19
"24","G_sacculifer_no_sac",-21.7833,0.6,19
"25","G_sacculifer_no_sac",-26.0333,-0.7667,59
"26","G_sacculifer_no_sac",-27.0167,-1.5,43
"27","G_sacculifer_no_sac",-57.3167,10.55,53
"28","G_sacculifer_no_sac",-59.2,20.7332,37
"29","G_sacculifer_no_sac",51.9,12,7
"30","G_sacculifer_no_sac",53.1667,10.25,5
"31","G_sacculifer_no_sac",51.7333,8.9833,9
"32","G_sacculifer_no_sac",51.6167,8.9,4
"33","G_sacculifer_no_sac",60.2167,9.2167,17
"34","G_sacculifer_no_sac",69.433,20.15,5
"35","G_sacculifer_no_sac",67.933,20.125,6
"36","G_sacculifer_no_sac",59.55,21,1
"37","G_sacculifer_no_sac",61.017,20.833,6
"38","G_sacculifer_no_sac",57.1833,17.4333,6
"39","G_sacculifer_no_sac",54.7667,16.2333,5
"40","G_sacculifer_no_sac",54.6333,15.2667,8
"41","G_sacculifer_no_sac",57.35,14.9333,5
"42","G_sacculifer_no_sac",-34.5667,-29.1333,20
"43","G_sacculifer_no_sac",71.558,13.583,21
"44","G_sacculifer_no_sac",74.1833,9.9,10
"45","G_sacculifer_no_sac",73.4,7.0333,19
"46","G_sacculifer_no_sac",127.85,-9.1,2
"47","G_sacculifer_no_sac",133.8333,-4.8833,5
"48","G_sacculifer_no_sac",131.9833,-4.6667,4
"49","G_sacculifer_no_sac",130.6167,-2.6333,11
"50","G_sacculifer_no_sac",112.6833,-11.8833,2
"51","G_sacculifer_no_sac",46.9833,-13.3,39
"52","G_sacculifer_no_sac",41.6167,-12.9833,33
"53","G_sacculifer_no_sac",41.4,-13.1833,44
"54","G_sacculifer_no_sac",41.55,-16.0667,37
"55","G_sacculifer_no_sac",41.8333,-11.5167,44
"56","G_sacculifer_no_sac",-121.8833,19,5
"57","G_sacculifer_no_sac",119.05,7.916,16
"58","G_sacculifer_no_sac",118.55,8.5,22
"59","G_sacculifer_no_sac",87.783,11.383,29
"60","G_sacculifer_no_sac",-11.12,-8.28,51
"61","G_sacculifer_no_sac",80.867,14.267,13
"62","G_sacculifer_no_sac",87.317,15.3,22
"63","G_sacculifer_no_sac",91.233,15.217,9
"64","G_sacculifer_no_sac",91.533,19,15
"65","G_sacculifer_no_sac",89.317,20.333,35
"66","G_sacculifer_no_sac",86.9,13.483,39
"67","G_sacculifer_no_sac",89.033,6.917,49
"68","G_sacculifer_no_sac",88.583,4.183,7
"69","G_sacculifer_no_sac",57.3667,17.7,3
"70","G_sacculifer_no_sac",57.3833,17.5667,2
"71","G_sacculifer_no_sac",57.3667,13.8667,6
"72","G_sacculifer_no_sac",60.6667,16.6167,4
"73","G_sacculifer_no_sac",58.3333,19.15,9
"74","G_sacculifer_no_sac",59.6,21,54
"75","G_sacculifer_no_sac",59.7333,21.75,2
"76","G_sacculifer_no_sac",60.1833,20.75,4
"77","G_sacculifer_no_sac",60.6167,20,2
"78","G_sacculifer_no_sac",60.75,19.55,3
"79","G_sacculifer_no_sac",61.6833,19.9333,1
"80","G_sacculifer_no_sac",60.8333,21.7167,3
"81","G_sacculifer_no_sac",60.15,22.6833,3
"82","G_sacculifer_no_sac",59.75,22.6833,3
"83","G_sacculifer_no_sac",59.6167,22.6167,9
"84","G_sacculifer_no_sac",59.7167,22.6333,1
"85","G_sacculifer_no_sac",63.15,22.1833,43
"86","G_sacculifer_no_sac",62.067,-18.35,23
"87","G_sacculifer_no_sac",62.5,-14.033,21
"88","G_sacculifer_no_sac",62.833,-12.267,32
"89","G_sacculifer_no_sac",55.5,-8.933,19
"90","G_sacculifer_no_sac",61.817,-26.933,1
"91","G_sacculifer_no_sac",70.367,-25.417,11
"92","G_sacculifer_no_sac",69.017,-8.317,17
"93","G_sacculifer_no_sac",71.217,-2.45,39
"94","G_sacculifer_no_sac",70.233,-2.333,19
"95","G_sacculifer_no_sac",69.25,-2.2,20
"96","G_sacculifer_no_sac",71.2167,-2.45,41
"97","G_sacculifer_no_sac",88.85,2.97,15
"98","G_sacculifer_no_sac",91.05,2.917,21
"99","G_sacculifer_no_sac",91.683,2.983,14
"100","G_sacculifer_no_sac",97.883,-0.567,29
"101","G_sacculifer_no_sac",-130.617,3.333,1
"102","G_sacculifer_no_sac",-115.7167,-26.3,7
"103","G_sacculifer_no_sac",-112.1,-14.7333,21
"104","G_sacculifer_no_sac",-109.7167,-11.7,13
"105","G_sacculifer_no_sac",-110.68,-9.88,45
"106","G_sacculifer_no_sac",-133.38,-9.98,17
"107","G_sacculifer_no_sac",-148.4833,-16.7833,18
"108","G_sacculifer_no_sac",-143.6667,-28.5667,9
"109","G_sacculifer_no_sac",-106.5,-28.4833,14
"110","G_sacculifer_no_sac",-118.2333,-23.6167,13
"111","G_sacculifer_no_sac",-115.2,-22.0833,10
"112","G_sacculifer_no_sac",156.058,4.85,30
"113","G_sacculifer_no_sac",156.23,2.785,25
"114","G_sacculifer_no_sac",156.998,-2.225,32
"115","G_sacculifer_no_sac",161.318,-3.605,15
"116","G_sacculifer_no_sac",160.8,-1.747,36
"117","G_sacculifer_no_sac",159.235,-1.625,30
"118","G_sacculifer_no_sac",158.693,-0.017,18
"119","G_sacculifer_no_sac",160.415,-0.022,16
"120","G_sacculifer_no_sac",160.998,-0.003,21
"121","G_sacculifer_no_sac",161.427,-0.005,5
"122","G_sacculifer_no_sac",161.975,-0.007,4
"123","G_sacculifer_no_sac",162.702,-0.027,1
"124","G_sacculifer_no_sac",160.993,0.875,22
"125","G_sacculifer_no_sac",161.605,1.1,8
"126","G_sacculifer_no_sac",162.393,1.362,4
"127","G_sacculifer_no_sac",163.707,2.362,6
"128","G_sacculifer_no_sac",-47.4833,28.35,4
"129","G_sacculifer_no_sac",-46.357,28.573,3
"130","G_sacculifer_no_sac",-43.222,29.813,1
"131","G_sacculifer_no_sac",-39.682,31.178,5
"132","G_sacculifer_no_sac",-37.85,31.653,6
"133","G_sacculifer_no_sac",-34.093,32.417,3
"134","G_sacculifer_no_sac",-34.073,32.457,9
"135","G_sacculifer_no_sac",-30.378,34.653,1
"136","G_sacculifer_no_sac",-29.9798,34.6198,6
"137","G_sacculifer_no_sac",-28.78,34.82,7
"138","G_sacculifer_no_sac",-28.358,34.805,2
"139","G_sacculifer_no_sac",-26.195,34.813,6
"140","G_sacculifer_no_sac",-24.3167,35,11
"141","G_sacculifer_no_sac",-21.668,34.95,9
"142","G_sacculifer_no_sac",-17.36,34.968,20
"143","G_sacculifer_no_sac",-12.618,35.18,14
"144","G_sacculifer_no_sac",-51.5833,16.7167,33
"145","G_sacculifer_no_sac",-46.127,16.653,39
"146","G_sacculifer_no_sac",-42.947,15.527,48
"147","G_sacculifer_no_sac",-34.173,10.993,4
"148","G_sacculifer_no_sac",-16.95,24.5,18
"149","G_sacculifer_no_sac",-42.9833,4.8667,64
"150","G_sacculifer_no_sac",-42.7333,5.15,110
"151","G_sacculifer_no_sac",-44.9667,5.9833,43
"152","G_sacculifer_no_sac",-44.9333,5.8667,46
"153","G_sacculifer_no_sac",-44.7667,5.6667,43
"154","G_sacculifer_no_sac",-44.7167,5.7,42
"155","G_sacculifer_no_sac",-44.7333,5.7,55
"156","G_sacculifer_no_sac",-44.6333,5.7833,45
"157","G_sacculifer_no_sac",-44.5833,5.8333,38
"158","G_sacculifer_no_sac",-44.5833,5.8333,48
"159","G_sacculifer_no_sac",-44.5,5.8833,52
"160","G_sacculifer_no_sac",-44.4667,5.9667,61
"161","G_sacculifer_no_sac",-44.3833,6.0167,42
"162","G_sacculifer_no_sac",-44.3,6.5,48
"163","G_sacculifer_no_sac",-44.3,6.1167,45
"164","G_sacculifer_no_sac",-44.2167,6.2167,81
"165","G_sacculifer_no_sac",-44.0833,6.3167,68
"166","G_sacculifer_no_sac",-44.0833,6.2167,64
"167","G_sacculifer_no_sac",-44.0833,6.1167,65
"168","G_sacculifer_no_sac",-44.0833,6.0333,42
"169","G_sacculifer_no_sac",-44.0833,6,48
"170","G_sacculifer_no_sac",-44.05,5.7167,42
"171","G_sacculifer_no_sac",-44.0833,5.6,60
"172","G_sacculifer_no_sac",-44.0833,5.5667,35
"173","G_sacculifer_no_sac",-44.0667,5.4667,43
"174","G_sacculifer_no_sac",-44.05,5.4333,45
"175","G_sacculifer_no_sac",-44.0667,5.3833,39
