"","Taxa","Longitude","Latitude","Count"
"1","G_sacculifer_sac",-38.783,28,2
"2","G_sacculifer_sac",-73.5167,38.1833,2
"3","G_sacculifer_sac",-67.3333,35.7167,9
"4","G_sacculifer_sac",-68.9167,36.1333,6
"5","G_sacculifer_sac",-69.15,36.15,17
"6","G_sacculifer_sac",-68.9333,35.7833,7
"7","G_sacculifer_sac",-69.4,36.2167,16
"8","G_sacculifer_sac",-72.95,37.65,3
"9","G_sacculifer_sac",-74.35,31.8333,4
"10","G_sacculifer_sac",-75.35,31.65,13
"11","G_sacculifer_sac",-76.8,29.7667,4
"12","G_sacculifer_sac",-75.75,23.9333,4
"13","G_sacculifer_sac",-75.9333,24.8,5
"14","G_sacculifer_sac",-67.6667,30.7833,1
"15","G_sacculifer_sac",-69.0833,35.7667,19
"16","G_sacculifer_sac",-78.55,19.4,16
"17","G_sacculifer_sac",-73.833,19.917,3
"18","G_sacculifer_sac",-42.65,39.1332,7
"19","G_sacculifer_sac",-36.7,39.267,3
"20","G_sacculifer_sac",-27.367,33.333,6
"21","G_sacculifer_sac",-19.2998,25.833,27
"22","G_sacculifer_sac",-17.0667,5.2833,4
"23","G_sacculifer_sac",-18.3,3.65,10
"24","G_sacculifer_sac",-21.7833,0.6,31
"25","G_sacculifer_sac",-26.0333,-0.7667,21
"26","G_sacculifer_sac",-27.0167,-1.5,35
"27","G_sacculifer_sac",-57.3167,10.55,39
"28","G_sacculifer_sac",-59.2,20.7332,22
"29","G_sacculifer_sac",51.9,12,3
"30","G_sacculifer_sac",53.1667,10.25,3
"31","G_sacculifer_sac",51.6167,8.9,1
"32","G_sacculifer_sac",60.2167,9.2167,12
"33","G_sacculifer_sac",69.433,20.15,8
"34","G_sacculifer_sac",67.933,20.125,2
"35","G_sacculifer_sac",59.55,21,2
"36","G_sacculifer_sac",61.017,20.833,9
"37","G_sacculifer_sac",57.1833,17.4333,3
"38","G_sacculifer_sac",54.7667,16.2333,1
"39","G_sacculifer_sac",54.6333,15.2667,1
"40","G_sacculifer_sac",57.35,14.9333,5
"41","G_sacculifer_sac",-34.5667,-29.1333,17
"42","G_sacculifer_sac",71.558,13.583,18
"43","G_sacculifer_sac",74.1833,9.9,14
"44","G_sacculifer_sac",73.4,7.0333,13
"45","G_sacculifer_sac",127.85,-9.1,2
"46","G_sacculifer_sac",131.9833,-4.6667,2
"47","G_sacculifer_sac",130.6167,-2.6333,7
"48","G_sacculifer_sac",112.6833,-11.8833,1
"49","G_sacculifer_sac",46.9833,-13.3,12
"50","G_sacculifer_sac",41.6167,-12.9833,32
"51","G_sacculifer_sac",41.4,-13.1833,14
"52","G_sacculifer_sac",41.55,-16.0667,15
"53","G_sacculifer_sac",41.8333,-11.5167,26
"54","G_sacculifer_sac",-121.8833,19,3
"55","G_sacculifer_sac",119.05,7.916,14
"56","G_sacculifer_sac",118.55,8.5,17
"57","G_sacculifer_sac",87.783,11.383,29
"58","G_sacculifer_sac",-11.12,-8.28,25
"59","G_sacculifer_sac",80.867,14.267,26
"60","G_sacculifer_sac",87.317,15.3,14
"61","G_sacculifer_sac",91.233,15.217,2
"62","G_sacculifer_sac",91.533,19,17
"63","G_sacculifer_sac",89.317,20.333,22
"64","G_sacculifer_sac",86.9,13.483,17
"65","G_sacculifer_sac",89.033,6.917,32
"66","G_sacculifer_sac",88.583,4.183,2
"67","G_sacculifer_sac",57.3667,13.8667,2
"68","G_sacculifer_sac",60.6667,16.6167,4
"69","G_sacculifer_sac",58.3333,19.15,2
"70","G_sacculifer_sac",58.9833,19.7,1
"71","G_sacculifer_sac",59.6,21,21
"72","G_sacculifer_sac",59.7333,21.75,3
"73","G_sacculifer_sac",60.1833,20.75,1
"74","G_sacculifer_sac",60.6167,20,3
"75","G_sacculifer_sac",60.75,19.55,2
"76","G_sacculifer_sac",61.6833,19.9333,1
"77","G_sacculifer_sac",60.15,22.6833,1
"78","G_sacculifer_sac",59.75,22.6833,5
"79","G_sacculifer_sac",59.7167,22.6333,1
"80","G_sacculifer_sac",63.15,22.1833,25
"81","G_sacculifer_sac",62.067,-18.35,18
"82","G_sacculifer_sac",62.5,-14.033,22
"83","G_sacculifer_sac",62.833,-12.267,20
"84","G_sacculifer_sac",55.5,-8.933,18
"85","G_sacculifer_sac",70.367,-25.417,10
"86","G_sacculifer_sac",69.017,-8.317,19
"87","G_sacculifer_sac",71.217,-2.45,29
"88","G_sacculifer_sac",70.233,-2.333,16
"89","G_sacculifer_sac",69.25,-2.2,25
"90","G_sacculifer_sac",71.2167,-2.45,30
"91","G_sacculifer_sac",88.85,2.97,18
"92","G_sacculifer_sac",91.05,2.917,17
"93","G_sacculifer_sac",91.683,2.983,12
"94","G_sacculifer_sac",97.883,-0.567,14
"95","G_sacculifer_sac",-130.617,3.333,5
"96","G_sacculifer_sac",-115.7167,-26.3,6
"97","G_sacculifer_sac",-112.1,-14.7333,11
"98","G_sacculifer_sac",-109.7167,-11.7,18
"99","G_sacculifer_sac",-110.68,-9.88,32
"100","G_sacculifer_sac",-133.38,-9.98,33
"101","G_sacculifer_sac",-116.217,1.45,2
"102","G_sacculifer_sac",-148.4833,-16.7833,10
"103","G_sacculifer_sac",-143.6667,-28.5667,7
"104","G_sacculifer_sac",-106.5,-28.4833,7
"105","G_sacculifer_sac",-118.2333,-23.6167,7
"106","G_sacculifer_sac",-115.2,-22.0833,5
"107","G_sacculifer_sac",-113.3,-4.033,3
"108","G_sacculifer_sac",156.058,4.85,24
"109","G_sacculifer_sac",156.23,2.785,15
"110","G_sacculifer_sac",156.998,-2.225,25
