"","Taxa","Longitude","Latitude","Count"
"1","G_scitula",-38.783,28,4
"2","G_scitula",-75.35,31.65,1
"3","G_scitula",-76.8,29.7667,3
"4","G_scitula",-75.75,23.9333,1
"5","G_scitula",-78.55,19.4,2
"6","G_scitula",-73.833,19.917,2
"7","G_scitula",-36.7,39.267,16
"8","G_scitula",-27.367,33.333,21
"9","G_scitula",-19.2998,25.833,1
"10","G_scitula",-17.0667,5.2833,1
"11","G_scitula",-21.7833,0.6,5
"12","G_scitula",-26.0333,-0.7667,1
"13","G_scitula",-57.3167,10.55,1
"14","G_scitula",175.387,36.562,3
"15","G_scitula",178.637,36.433,1
"16","G_scitula",51.9,12,3
"17","G_scitula",53.1667,10.25,2
"18","G_scitula",69.433,20.15,5
"19","G_scitula",59.55,21,3
"20","G_scitula",57.1833,17.4333,1
"21","G_scitula",54.6333,15.2667,1
"22","G_scitula",-34.5667,-29.1333,26
"23","G_scitula",74.1833,9.9,1
"24","G_scitula",73.4,7.0333,2
"25","G_scitula",130.6167,-2.6333,1
"26","G_scitula",46.9833,-13.3,1
"27","G_scitula",41.6167,-12.9833,10
"28","G_scitula",41.4,-13.1833,7
"29","G_scitula",41.55,-16.0667,3
"30","G_scitula",41.8333,-11.5167,7
"31","G_scitula",119.05,7.916,3
"32","G_scitula",118.55,8.5,7
"33","G_scitula",-11.12,-8.28,1
"34","G_scitula",86.9,13.483,1
"35","G_scitula",89.033,6.917,1
"36","G_scitula",88.583,4.183,1
"37","G_scitula",57.3667,17.7,2
"38","G_scitula",57.3667,13.8667,1
"39","G_scitula",59.6,21,1
"40","G_scitula",59.6167,22.6167,2
"41","G_scitula",62.067,-18.35,1
"42","G_scitula",70.367,-25.417,2
"43","G_scitula",71.217,-2.45,2
"44","G_scitula",70.233,-2.333,2
"45","G_scitula",69.25,-2.2,3
"46","G_scitula",71.2167,-2.45,1
"47","G_scitula",88.85,2.97,4
"48","G_scitula",91.05,2.917,1
"49","G_scitula",-110.68,-9.88,1
"50","G_scitula",-143.6667,-28.5667,2
"51","G_scitula",-127.233,-44.35,1
"52","G_scitula",-119.833,-45.5,1
"53","G_scitula",-115.2,-22.0833,1
"54","G_scitula",95.082,-45.022,1
"55","G_scitula",156.23,2.785,1
"56","G_scitula",156.998,-2.225,2
"57","G_scitula",160.8,-1.747,1
"58","G_scitula",-46.357,28.573,2
"59","G_scitula",-43.222,29.813,7
"60","G_scitula",-39.682,31.178,11
"61","G_scitula",-37.85,31.653,9
"62","G_scitula",-34.093,32.417,7
"63","G_scitula",-34.073,32.457,10
"64","G_scitula",-30.378,34.653,11
"65","G_scitula",-29.9798,34.6198,12
"66","G_scitula",-28.78,34.82,14
"67","G_scitula",-28.358,34.805,19
"68","G_scitula",-26.195,34.813,9
"69","G_scitula",-24.3167,35,1
"70","G_scitula",-17.36,34.968,15
"71","G_scitula",-12.618,35.18,4
"72","G_scitula",-51.5833,16.7167,1
"73","G_scitula",-42.947,15.527,1
"74","G_scitula",-44.9667,5.9833,3
"75","G_scitula",-44.9333,5.8667,2
"76","G_scitula",-44.7667,5.6667,3
"77","G_scitula",-44.7167,5.7,2
"78","G_scitula",-44.7333,5.7,1
"79","G_scitula",-44.6333,5.7833,9
"80","G_scitula",-44.5833,5.8333,4
"81","G_scitula",-44.5833,5.8333,4
"82","G_scitula",-44.4667,5.9667,1
"83","G_scitula",-44.3,6.1167,1
"84","G_scitula",-44.2167,6.2167,1
"85","G_scitula",-44.0833,6.3167,1
"86","G_scitula",-44.0833,6.0333,1
"87","G_scitula",-44.05,5.7167,1
"88","G_scitula",-44.0833,5.6,2
"89","G_scitula",-44.0833,5.5667,1
"90","G_scitula",-44.0667,5.4667,4
"91","G_scitula",-44.05,5.4333,4
"92","G_scitula",-44.0667,5.3833,3
"93","G_scitula",-43.75,4.7333,5
"94","G_scitula",-43.65,4.7167,1
"95","G_scitula",-43.4833,4.7833,2
"96","G_scitula",-43.45,4.7667,6
"97","G_scitula",-43.205,4.865,2
"98","G_scitula",-43.1333,4.9,4
"99","G_scitula",-43.05,4.9167,2
"100","G_scitula",-42.9167,4.95,1
"101","G_scitula",-43.0667,4.75,3
"102","G_scitula",-43.05,4.75,1
"103","G_scitula",-43.15,4.7,1
"104","G_scitula",-43.6667,4.3667,2
"105","G_scitula",-43.4833,4.35,6
"106","G_scitula",-43.408,4.342,3
"107","G_scitula",-43.4333,4.3333,1
"108","G_scitula",-43.4333,4.35,6
"109","G_scitula",-43.487,4.337,2
"110","G_scitula",-43.4833,4.7,3
"111","G_scitula",-43.307,4.76,1
"112","G_scitula",-43.15,4.85,1
"113","G_scitula",58.517,-10.35,2
"114","G_scitula",59.683,-13.683,1
