"","Taxa","Longitude","Latitude","Count"
"1","G_tenellus",-38.783,28,21
"2","G_tenellus",-75.35,31.65,5
"3","G_tenellus",-76.8,29.7667,9
"4","G_tenellus",-75.75,23.9333,33
"5","G_tenellus",-75.9333,24.8,39
"6","G_tenellus",-67.6667,30.7833,1
"7","G_tenellus",-78.55,19.4,1
"8","G_tenellus",-73.833,19.917,9
"9","G_tenellus",-42.65,39.1332,1
"10","G_tenellus",-36.7,39.267,2
"11","G_tenellus",-27.367,33.333,12
"12","G_tenellus",-19.2998,25.833,9
"13","G_tenellus",-17.0667,5.2833,2
"14","G_tenellus",-18.3,3.65,1
"15","G_tenellus",-21.7833,0.6,2
"16","G_tenellus",-26.0333,-0.7667,1
"17","G_tenellus",-57.3167,10.55,1
"18","G_tenellus",175.387,36.562,1
"19","G_tenellus",51.9,12,1
"20","G_tenellus",53.1667,10.25,1
"21","G_tenellus",51.7333,8.9833,1
"22","G_tenellus",51.6167,8.9,2
"23","G_tenellus",69.433,20.15,11
"24","G_tenellus",67.933,20.125,5
"25","G_tenellus",59.55,21,10
"26","G_tenellus",61.017,20.833,2
"27","G_tenellus",57.1833,17.4333,4
"28","G_tenellus",54.7667,16.2333,6
"29","G_tenellus",54.6333,15.2667,2
"30","G_tenellus",57.35,14.9333,5
"31","G_tenellus",-34.5667,-29.1333,25
"32","G_tenellus",71.558,13.583,7
"33","G_tenellus",74.1833,9.9,1
"34","G_tenellus",73.4,7.0333,17
"35","G_tenellus",127.85,-9.1,1
"36","G_tenellus",133.8333,-4.8833,1
"37","G_tenellus",130.6167,-2.6333,1
"38","G_tenellus",46.9833,-13.3,3
"39","G_tenellus",41.6167,-12.9833,1
"40","G_tenellus",41.4,-13.1833,7
"41","G_tenellus",41.55,-16.0667,2
"42","G_tenellus",41.8333,-11.5167,11
"43","G_tenellus",-121.8833,19,3
"44","G_tenellus",119.05,7.916,7
"45","G_tenellus",118.55,8.5,4
"46","G_tenellus",-11.12,-8.28,1
"47","G_tenellus",80.867,14.267,12
"48","G_tenellus",91.233,15.217,3
"49","G_tenellus",91.533,19,4
"50","G_tenellus",89.317,20.333,13
"51","G_tenellus",57.3667,17.7,10
"52","G_tenellus",57.3833,17.5667,7
"53","G_tenellus",57.3667,13.8667,1
"54","G_tenellus",58.3333,19.15,6
"55","G_tenellus",58.9833,19.7,4
"56","G_tenellus",59.6,21,17
"57","G_tenellus",59.7333,21.75,7
"58","G_tenellus",60.1833,20.75,4
"59","G_tenellus",60.6167,20,4
"60","G_tenellus",60.75,19.55,5
"61","G_tenellus",60.8333,21.7167,3
"62","G_tenellus",60.15,22.6833,5
"63","G_tenellus",59.75,22.6833,9
"64","G_tenellus",59.6167,22.6167,16
"65","G_tenellus",59.7167,22.6333,10
"66","G_tenellus",63.15,22.1833,5
"67","G_tenellus",58.7833,24.0667,10
"68","G_tenellus",62.067,-18.35,2
"69","G_tenellus",62.5,-14.033,5
"70","G_tenellus",62.833,-12.267,1
"71","G_tenellus",55.5,-8.933,1
"72","G_tenellus",70.367,-25.417,7
"73","G_tenellus",71.217,-2.45,2
"74","G_tenellus",71.2167,-2.45,4
"75","G_tenellus",91.05,2.917,1
"76","G_tenellus",-115.7167,-26.3,5
"77","G_tenellus",-112.1,-14.7333,5
"78","G_tenellus",-109.7167,-11.7,3
"79","G_tenellus",-110.68,-9.88,12
"80","G_tenellus",-106.5,-28.4833,8
"81","G_tenellus",-118.2333,-23.6167,3
"82","G_tenellus",-115.2,-22.0833,9
"83","G_tenellus",156.23,2.785,2
"84","G_tenellus",156.998,-2.225,11
"85","G_tenellus",161.318,-3.605,13
"86","G_tenellus",159.235,-1.625,4
"87","G_tenellus",158.693,-0.017,5
"88","G_tenellus",-47.4833,28.35,17
"89","G_tenellus",-46.357,28.573,23
"90","G_tenellus",-43.222,29.813,20
"91","G_tenellus",-39.682,31.178,7
"92","G_tenellus",-37.85,31.653,8
"93","G_tenellus",-34.093,32.417,5
"94","G_tenellus",-34.073,32.457,11
"95","G_tenellus",-30.378,34.653,9
"96","G_tenellus",-29.9798,34.6198,10
"97","G_tenellus",-28.78,34.82,9
"98","G_tenellus",-28.358,34.805,8
"99","G_tenellus",-26.195,34.813,3
"100","G_tenellus",-17.36,34.968,7
"101","G_tenellus",-12.618,35.18,6
"102","G_tenellus",-51.5833,16.7167,2
"103","G_tenellus",-46.127,16.653,4
"104","G_tenellus",-42.947,15.527,2
"105","G_tenellus",-16.95,24.5,1
"106","G_tenellus",-42.9833,4.8667,2
"107","G_tenellus",-44.9667,5.9833,1
"108","G_tenellus",-44.9333,5.8667,1
"109","G_tenellus",-44.7667,5.6667,1
"110","G_tenellus",-44.7333,5.7,2
"111","G_tenellus",-44.6333,5.7833,3
"112","G_tenellus",-44.5833,5.8333,1
"113","G_tenellus",-44.5,5.8833,3
"114","G_tenellus",-44.4667,5.9667,2
"115","G_tenellus",-44.3833,6.0167,2
"116","G_tenellus",-44.3,6.5,2
"117","G_tenellus",-44.3,6.1167,2
"118","G_tenellus",-44.2167,6.2167,2
"119","G_tenellus",-44.0833,6.2167,3
"120","G_tenellus",-44.0833,6.1167,3
"121","G_tenellus",-44.0833,6.0333,1
"122","G_tenellus",-44.05,5.7167,2
"123","G_tenellus",-44.0833,5.6,1
"124","G_tenellus",-44.0833,5.5667,2
"125","G_tenellus",-44.05,5.4333,1
"126","G_tenellus",-44.0667,5.3833,1
"127","G_tenellus",-43.4833,4.7833,3
"128","G_tenellus",-43.205,4.865,4
"129","G_tenellus",-43.1333,4.9,2
"130","G_tenellus",-42.9167,4.95,4
"131","G_tenellus",-42.7833,5,1
"132","G_tenellus",-43.0667,4.75,3
"133","G_tenellus",-43.3167,4.85,1
"134","G_tenellus",-43.15,4.7,1
"135","G_tenellus",-43.382,4.563,3
"136","G_tenellus",-43.6667,4.3667,5
"137","G_tenellus",-43.4833,4.35,2
"138","G_tenellus",-43.408,4.342,2
"139","G_tenellus",-43.4333,4.3333,6
"140","G_tenellus",-43.4333,4.35,2
"141","G_tenellus",-43.487,4.337,2
"142","G_tenellus",-43.307,4.76,2
"143","G_tenellus",-43.15,4.85,1
"144","G_tenellus",72.783,-5.383,7
"145","G_tenellus",59.25,-5.433,1
"146","G_tenellus",78.433,-37.317,1
"147","G_tenellus",98.867,-32,1
"148","G_tenellus",114.383,-31.5,2
"149","G_tenellus",73.117,9.05,33
"150","G_tenellus",100.333,-32.1,4
"151","G_tenellus",113.933,-32.267,1
