"","Taxa","Longitude","Latitude","Count"
"1","G_theyeri",-21.7833,0.6,1
"2","G_theyeri",51.9,12,2
"3","G_theyeri",59.55,21,1
"4","G_theyeri",61.017,20.833,2
"5","G_theyeri",57.1833,17.4333,5
"6","G_theyeri",54.7667,16.2333,4
"7","G_theyeri",54.6333,15.2667,3
"8","G_theyeri",57.35,14.9333,2
"9","G_theyeri",71.558,13.583,1
"10","G_theyeri",74.1833,9.9,1
"11","G_theyeri",73.4,7.0333,6
"12","G_theyeri",86.9,13.483,1
"13","G_theyeri",57.3667,17.7,6
"14","G_theyeri",57.3833,17.5667,5
"15","G_theyeri",57.3667,13.8667,2
"16","G_theyeri",58.3333,19.15,5
"17","G_theyeri",58.9833,19.7,1
"18","G_theyeri",59.6,21,3
"19","G_theyeri",60.1833,20.75,1
"20","G_theyeri",60.6167,20,1
"21","G_theyeri",60.75,19.55,2
"22","G_theyeri",60.8333,21.7167,1
"23","G_theyeri",59.75,22.6833,1
"24","G_theyeri",59.6167,22.6167,1
"25","G_theyeri",163.707,2.362,1
"26","G_theyeri",73.117,9.05,6
"27","G_theyeri",50.5183,14.4333,4
"28","G_theyeri",95.03,10.13,1
"29","G_theyeri",76.43,7.3,1
"30","G_theyeri",58.26,19.18,1
"31","G_theyeri",120.9,-36.75,1
"32","G_theyeri",72.8,7.4,6
"33","G_theyeri",59.6,19.567,1
"34","G_theyeri",60.417,19.083,1
"35","G_theyeri",58.083,17.883,1
"36","G_theyeri",-79.15,-18,5
"37","G_theyeri",-89.4,26.3,1
"38","G_theyeri",-84.75,25.183,1
"39","G_theyeri",-88.53,4.517,2
"40","G_theyeri",-110.8,-8.8,2
"41","G_theyeri",133.28,29.767,2
"42","G_theyeri",89.583,13.05,1
"43","G_theyeri",-8.222,-8.197,2
"44","G_theyeri",90.015,-2.38,1
"45","G_theyeri",90.52,-5.857,1
"46","G_theyeri",119.45,-15.2,1
"47","G_theyeri",125.02,-8.45,1
"48","G_theyeri",93.535,6.495,2
"49","G_theyeri",57.575,17.763,3
"50","G_theyeri",57.58,17.895,2
"51","G_theyeri",57.617,18.063,1
"52","G_theyeri",57.683,18.243,3
"53","G_theyeri",57.627,18.277,2
"54","G_theyeri",57.643,18.29,1
"55","G_theyeri",57.877,17.693,6
"56","G_theyeri",57.53,18.11,2
"57","G_theyeri",57.565,18.07,1
"58","G_theyeri",57.82,17.718,2
"59","G_theyeri",57.772,17.627,3
"60","G_theyeri",57.665,17.678,1
"61","G_theyeri",57.592,17.908,2
"62","G_theyeri",57.59,17.903,1
"63","G_theyeri",57.685,18.213,4
"64","G_theyeri",57.647,18.225,5
"65","G_theyeri",57.602,18.233,1
"66","G_theyeri",59.87,16.62,2
"67","G_theyeri",57.732,17.643,3
"68","G_theyeri",59.868,16.62,2
"69","G_theyeri",59.768,16.603,2
"70","G_theyeri",59.7667,16.5333,1
"71","G_theyeri",59.293,16.6,1
"72","G_theyeri",59.7167,16.65,2
"73","G_theyeri",59.6833,16.6333,2
"74","G_theyeri",59.6667,16.6667,1
"75","G_theyeri",59.6,16.703,2
"76","G_theyeri",59.35,16.4833,1
"77","G_theyeri",59.293,16.348,1
"78","G_theyeri",59.1833,16.3667,1
"79","G_theyeri",57.717,17.628,3
"80","G_theyeri",59.858,16.613,1
"81","G_theyeri",59.8617,16.625,1
"82","G_theyeri",57.627,17.715,5
"83","G_theyeri",57.583,17.778,5
"84","G_theyeri",-113.4833,-14.6833,1
"85","G_theyeri",59.6,17.2167,1
"86","G_theyeri",57.8333,17.7,2
"87","G_theyeri",57.5,17.8167,4
"88","G_theyeri",57.7,17.6667,3
"89","G_theyeri",57.5833,17.75,2
"90","G_theyeri",57.4833,17.75,4
"91","G_theyeri",57.35,17.8167,2
"92","G_theyeri",58.3667,19.2333,2
"93","G_theyeri",58.5167,19.2333,4
"94","G_theyeri",58.35,19.2833,1
"95","G_theyeri",58.4833,19.5167,1
"96","G_theyeri",58.2333,19.2667,2
"97","G_theyeri",58.6167,19.65,2
"98","G_theyeri",59.8,16.6167,1
"99","G_theyeri",-64.72,32.217,1
"100","G_theyeri",58.567,8.65,1
"101","G_theyeri",56.233,11.433,4
"102","G_theyeri",48.4,12.867,2
"103","G_theyeri",46.75,11.85,1
"104","G_theyeri",66.983,-2.433,1
"105","G_theyeri",76.55,7.117,1
"106","G_theyeri",74.217,7.583,1
"107","G_theyeri",73.25,8.117,8
"108","G_theyeri",132.78,4.65,1
"109","G_theyeri",24.583,-39.583,1
"110","G_theyeri",146.85,-15.92,3
"111","G_theyeri",148.05,-15.28,1
"112","G_theyeri",146.88,-13.52,3
"113","G_theyeri",145.85,-14.3,1
"114","G_theyeri",-25.5,0.067,1
"115","G_theyeri",-20.32,-27.6,1
"116","G_theyeri",5.733,2.267,1
"117","G_theyeri",-11.82,3.05,1
"118","G_theyeri",161.75,-6.267,1
"119","G_theyeri",6.05,-0.2,1
"120","G_theyeri",73.8,5.083,2
"121","G_theyeri",126.73,1.35,1
"122","G_theyeri",71.19,11.893,1
"123","G_theyeri",67.883,11.1,1
"124","G_theyeri",89.017,-6.417,1
"125","G_theyeri",57.955,10.403,4
"126","G_theyeri",57.61,11.803,1
