"","Taxa","Longitude","Latitude","Count"
"1","G_truncatulinoides_d",-38.783,28,16
"2","G_truncatulinoides_d",-41.75,50.9332,5
"3","G_truncatulinoides_d",-67.3333,35.7167,4
"4","G_truncatulinoides_d",-69.15,36.15,7
"5","G_truncatulinoides_d",-68.9333,35.7833,1
"6","G_truncatulinoides_d",-72.95,37.65,1
"7","G_truncatulinoides_d",-74.35,31.8333,2
"8","G_truncatulinoides_d",-75.35,31.65,5
"9","G_truncatulinoides_d",-76.8,29.7667,7
"10","G_truncatulinoides_d",-75.75,23.9333,17
"11","G_truncatulinoides_d",-75.9333,24.8,1
"12","G_truncatulinoides_d",-67.6667,30.7833,9
"13","G_truncatulinoides_d",-69.0833,35.7667,5
"14","G_truncatulinoides_d",-78.55,19.4,8
"15","G_truncatulinoides_d",-73.833,19.917,7
"16","G_truncatulinoides_d",-42.65,39.1332,11
"17","G_truncatulinoides_d",-36.7,39.267,6
"18","G_truncatulinoides_d",-27.367,33.333,13
"19","G_truncatulinoides_d",-19.2998,25.833,5
"20","G_truncatulinoides_d",-17.0667,5.2833,1
"21","G_truncatulinoides_d",-26.0333,-0.7667,1
"22","G_truncatulinoides_d",-27.0167,-1.5,10
"23","G_truncatulinoides_d",-57.3167,10.55,2
"24","G_truncatulinoides_d",-59.2,20.7332,10
"25","G_truncatulinoides_d",175.387,36.562,109
"26","G_truncatulinoides_d",178.637,36.433,46
"27","G_truncatulinoides_d",54.6333,15.2667,1
"28","G_truncatulinoides_d",-34.5667,-29.1333,56
"29","G_truncatulinoides_d",62.067,-18.35,3
"30","G_truncatulinoides_d",62.5,-14.033,2
"31","G_truncatulinoides_d",62.833,-12.267,1
"32","G_truncatulinoides_d",61.817,-26.933,1
"33","G_truncatulinoides_d",70.367,-25.417,23
"34","G_truncatulinoides_d",-115.7167,-26.3,12
"35","G_truncatulinoides_d",-143.6667,-28.5667,7
"36","G_truncatulinoides_d",-127.333,-44.217,2
"37","G_truncatulinoides_d",-102,-42,1
"38","G_truncatulinoides_d",-97.083,-42.9,1
"39","G_truncatulinoides_d",-79.5,-34.5,3
"40","G_truncatulinoides_d",-106.5,-28.4833,17
"41","G_truncatulinoides_d",-118.2333,-23.6167,6
"42","G_truncatulinoides_d",-115.2,-22.0833,3
"43","G_truncatulinoides_d",95.082,-45.022,3
"44","G_truncatulinoides_d",95.08,-47.128,1
"45","G_truncatulinoides_d",94.832,-49.378,1
"46","G_truncatulinoides_d",-47.4833,28.35,8
