"","Taxa","Longitude","Latitude","Count"
"1","G_truncatulinoides_s",-38.783,28,18
"2","G_truncatulinoides_s",-73.5167,38.1833,2
"3","G_truncatulinoides_s",-41.75,50.9332,8
"4","G_truncatulinoides_s",-67.3333,35.7167,13
"5","G_truncatulinoides_s",-68.9167,36.1333,11
"6","G_truncatulinoides_s",-69.15,36.15,26
"7","G_truncatulinoides_s",-68.9333,35.7833,22
"8","G_truncatulinoides_s",-69.4,36.2167,25
"9","G_truncatulinoides_s",-72.95,37.65,2
"10","G_truncatulinoides_s",-74.35,31.8333,57
"11","G_truncatulinoides_s",-75.35,31.65,28
"12","G_truncatulinoides_s",-76.8,29.7667,5
"13","G_truncatulinoides_s",-75.75,23.9333,6
"14","G_truncatulinoides_s",-75.9333,24.8,4
"15","G_truncatulinoides_s",-67.6667,30.7833,31
"16","G_truncatulinoides_s",-69.0833,35.7667,29
"17","G_truncatulinoides_s",-42.65,39.1332,27
"18","G_truncatulinoides_s",-36.7,39.267,23
"19","G_truncatulinoides_s",-27.367,33.333,18
"20","G_truncatulinoides_s",-19.2998,25.833,32
"21","G_truncatulinoides_s",-17.0667,5.2833,1
"22","G_truncatulinoides_s",-21.7833,0.6,1
"23","G_truncatulinoides_s",-59.2,20.7332,8
"24","G_truncatulinoides_s",175.387,36.562,5
"25","G_truncatulinoides_s",-34.5667,-29.1333,3
"26","G_truncatulinoides_s",62.067,-18.35,1
"27","G_truncatulinoides_s",62.833,-12.267,1
"28","G_truncatulinoides_s",61.817,-26.933,2
"29","G_truncatulinoides_s",70.367,-25.417,5
"30","G_truncatulinoides_s",-115.7167,-26.3,4
"31","G_truncatulinoides_s",-143.6667,-28.5667,24
"32","G_truncatulinoides_s",-127.333,-44.217,50
"33","G_truncatulinoides_s",-127.233,-44.35,42
"34","G_truncatulinoides_s",-119.833,-45.5,22
"35","G_truncatulinoides_s",-102,-42,45
"36","G_truncatulinoides_s",-97.083,-42.9,60
"37","G_truncatulinoides_s",-79.5,-34.5,7
"38","G_truncatulinoides_s",-106.5,-28.4833,15
"39","G_truncatulinoides_s",-118.2333,-23.6167,2
"40","G_truncatulinoides_s",-115.2,-22.0833,5
"41","G_truncatulinoides_s",-130.117,-58,4
"42","G_truncatulinoides_s",-159.983,-54.017,5
"43","G_truncatulinoides_s",95.082,-45.022,17
"44","G_truncatulinoides_s",95.08,-47.128,13
"45","G_truncatulinoides_s",95.037,-47.988,6
"46","G_truncatulinoides_s",94.832,-49.378,6
"47","G_truncatulinoides_s",-47.4833,28.35,12
"48","G_truncatulinoides_s",-46.357,28.573,15
"49","G_truncatulinoides_s",-43.222,29.813,17
"50","G_truncatulinoides_s",-39.682,31.178,23
"51","G_truncatulinoides_s",-37.85,31.653,15
"52","G_truncatulinoides_s",-34.093,32.417,26
"53","G_truncatulinoides_s",-34.073,32.457,31
"54","G_truncatulinoides_s",-30.378,34.653,14
"55","G_truncatulinoides_s",-29.9798,34.6198,18
"56","G_truncatulinoides_s",-28.78,34.82,14
"57","G_truncatulinoides_s",-28.358,34.805,16
"58","G_truncatulinoides_s",-26.195,34.813,23
"59","G_truncatulinoides_s",-24.3167,35,10
"60","G_truncatulinoides_s",-21.668,34.95,19
"61","G_truncatulinoides_s",-17.36,34.968,20
"62","G_truncatulinoides_s",-12.618,35.18,8
"63","G_truncatulinoides_s",-42.947,15.527,1
"64","G_truncatulinoides_s",-16.95,24.5,17
"65","G_truncatulinoides_s",-44.0667,5.3833,5
"66","G_truncatulinoides_s",59.683,-13.683,1
"67","G_truncatulinoides_s",70.967,-44.633,10
"68","G_truncatulinoides_s",73.6,-35.783,1
"69","G_truncatulinoides_s",78.433,-37.317,18
"70","G_truncatulinoides_s",98.867,-32,59
"71","G_truncatulinoides_s",114.383,-31.5,4
"72","G_truncatulinoides_s",67.883,-39.733,11
"73","G_truncatulinoides_s",100.333,-32.1,52
"74","G_truncatulinoides_s",113.933,-32.267,8
"75","G_truncatulinoides_s",87.85,-18.68,5
"76","G_truncatulinoides_s",62.667,-17.8,1
"77","G_truncatulinoides_s",73.883,-23.933,4
"78","G_truncatulinoides_s",71,-42,32
"79","G_truncatulinoides_s",-171.533,-60.2,3
"80","G_truncatulinoides_s",175.233,-46.35,12
"81","G_truncatulinoides_s",-154.75,-24.683,4
"82","G_truncatulinoides_s",-157.3833,21.55,1
"83","G_truncatulinoides_s",-75.58,14.267,2
"84","G_truncatulinoides_s",-74.88,14,1
"85","G_truncatulinoides_s",-16.53,-23.35,9
"86","G_truncatulinoides_s",-15.12,-24.07,7
"87","G_truncatulinoides_s",-13.27,-24.97,12
"88","G_truncatulinoides_s",-12.77,-25.15,11
"89","G_truncatulinoides_s",-10.62,-26.23,5
"90","G_truncatulinoides_s",-9.433,-26.58,5
"91","G_truncatulinoides_s",42.35,-42.88,15
"92","G_truncatulinoides_s",46.2,-43.78,2
"93","G_truncatulinoides_s",51.267,-43.63,2
"94","G_truncatulinoides_s",92.417,-44.77,15
"95","G_truncatulinoides_s",93.883,-44.03,13
"96","G_truncatulinoides_s",101.42,-41.1,29
"97","G_truncatulinoides_s",104.37,-39.38,23
"98","G_truncatulinoides_s",120.9,-36.75,8
"99","G_truncatulinoides_s",125.57,-46.53,29
"100","G_truncatulinoides_s",127.12,-49.33,7
"101","G_truncatulinoides_s",129.97,-51.08,10
"102","G_truncatulinoides_s",135.85,-51.5,2
"103","G_truncatulinoides_s",-111.9,-33.42,31
"104","G_truncatulinoides_s",105.2,-29.37,23
"105","G_truncatulinoides_s",-123.4,-27.43,12
"106","G_truncatulinoides_s",172.6,-28.75,1
"107","G_truncatulinoides_s",168.73,-33.23,9
"108","G_truncatulinoides_s",148.37,-45.75,25
"109","G_truncatulinoides_s",143.78,-44.08,19
"110","G_truncatulinoides_s",123.1,-47.77,8
"111","G_truncatulinoides_s",121.12,-45.42,19
"112","G_truncatulinoides_s",114.13,-41.37,14
"113","G_truncatulinoides_s",111.38,-39.78,43
"114","G_truncatulinoides_s",113.37,-29.33,18
"115","G_truncatulinoides_s",114.55,-31.28,4
"116","G_truncatulinoides_s",-88.98,28,1
"117","G_truncatulinoides_s",-91.37,25.283,1
"118","G_truncatulinoides_s",-14.9,44.2,2
"119","G_truncatulinoides_s",-94.35,26.317,1
"120","G_truncatulinoides_s",-90.73,25.683,1
"121","G_truncatulinoides_s",-91.45,24.783,3
"122","G_truncatulinoides_s",-92.48,23.45,2
"123","G_truncatulinoides_s",-84.18,20.533,1
"124","G_truncatulinoides_s",158,33.083,4
"125","G_truncatulinoides_s",154.63,32.133,1
"126","G_truncatulinoides_s",-69.67,21.3,2
"127","G_truncatulinoides_s",-94.83,22.083,3
"128","G_truncatulinoides_s",-96.33,22.617,1
"129","G_truncatulinoides_s",-94.38,24.05,1
"130","G_truncatulinoides_s",-92.47,24.9,1
"131","G_truncatulinoides_s",-84.75,25.183,1
"132","G_truncatulinoides_s",-79.53,16.567,1
"133","G_truncatulinoides_s",57.35,-43.03,3
"134","G_truncatulinoides_s",54.217,-34.33,2
"135","G_truncatulinoides_s",57.633,-22.4,1
"136","G_truncatulinoides_s",67.583,-34.92,16
"137","G_truncatulinoides_s",69.55,-36.48,20
"138","G_truncatulinoides_s",71.533,-37.8,25
"139","G_truncatulinoides_s",79.867,-43.52,11
"140","G_truncatulinoides_s",82.25,-39.72,26
"141","G_truncatulinoides_s",83.483,-38.03,24
"142","G_truncatulinoides_s",86.65,-37.98,71
"143","G_truncatulinoides_s",90.217,-36.1,44
"144","G_truncatulinoides_s",91.933,-33.63,69
"145","G_truncatulinoides_s",94.417,-30.07,31
"146","G_truncatulinoides_s",95.967,-28.07,21
"147","G_truncatulinoides_s",110.55,-33.07,27
"148","G_truncatulinoides_s",112.98,-33.8,10
"149","G_truncatulinoides_s",114.12,-31.57,8
"150","G_truncatulinoides_s",110.02,-25.48,3
"151","G_truncatulinoides_s",149.92,20.1,4
"152","G_truncatulinoides_s",142.9,26.8,1
"153","G_truncatulinoides_s",-35.97,-17.27,2
"154","G_truncatulinoides_s",-32.6833,-20.15,2
"155","G_truncatulinoides_s",-75.32,30.75,22
"156","G_truncatulinoides_s",-30.07,-28.58,4
"157","G_truncatulinoides_s",-35.1,-34.72,22
"158","G_truncatulinoides_s",-35.53,-31.98,3
"159","G_truncatulinoides_s",-0.05,-46.75,11
"160","G_truncatulinoides_s",5.95,-43.48,17
"161","G_truncatulinoides_s",12.583,-39.27,2
"162","G_truncatulinoides_s",18.45,-35.78,14
"163","G_truncatulinoides_s",61.033,-46.52,14
"164","G_truncatulinoides_s",-95.53,23.4,1
"165","G_truncatulinoides_s",169.2,-26,1
"166","G_truncatulinoides_s",163.52,-24.88,1
"167","G_truncatulinoides_s",-93.67,22.9,2
"168","G_truncatulinoides_s",134.15,33,5
"169","G_truncatulinoides_s",133.28,29.767,2
"170","G_truncatulinoides_s",-86.13,20.45,1
"171","G_truncatulinoides_s",-177.6,-24.23,1
"172","G_truncatulinoides_s",-66.93,-56.83,15
"173","G_truncatulinoides_s",-54.13,-50.43,10
"174","G_truncatulinoides_s",-57.67,-43.47,8
"175","G_truncatulinoides_s",-24.8,-39.82,42
"176","G_truncatulinoides_s",-28.87,-37.87,23
"177","G_truncatulinoides_s",-17.8,-42.58,31
"178","G_truncatulinoides_s",-15.48,-39.68,21
"179","G_truncatulinoides_s",-13.15,-36.88,28
"180","G_truncatulinoides_s",-10.1,-37.27,29
"181","G_truncatulinoides_s",-6.717,-36.15,20
"182","G_truncatulinoides_s",-4.75,-34.95,16
"183","G_truncatulinoides_s",-1,-34.0831,17
"184","G_truncatulinoides_s",2.833,-32.88,8
"185","G_truncatulinoides_s",11.55,-30.48,7
"186","G_truncatulinoides_s",29.183,-33.22,6
"187","G_truncatulinoides_s",34.033,-30.3,2
"188","G_truncatulinoides_s",41.567,-10.35,1
"189","G_truncatulinoides_s",126.18,23.95,4
"190","G_truncatulinoides_s",170.02,38.1,1
"191","G_truncatulinoides_s",-91.55,27.15,1
"192","G_truncatulinoides_s",-90.93,4.748,1
"193","G_truncatulinoides_s",-71.67,15.617,1
"194","G_truncatulinoides_s",-76.96,10.032,1
"195","G_truncatulinoides_s",-79.83,13.178,1
"196","G_truncatulinoides_s",-170.1,19.087,9
"197","G_truncatulinoides_s",11.198,-22.33,1
"198","G_truncatulinoides_s",11.307,-25.49,1
"199","G_truncatulinoides_s",-3.587,-37.54,15
"200","G_truncatulinoides_s",7.625,-46.6,7
"201","G_truncatulinoides_s",103.67,-12.88,1
"202","G_truncatulinoides_s",-47.57,-49.6,12
"203","G_truncatulinoides_s",-49.03,-33.57,11
"204","G_truncatulinoides_s",-45.47,-29.22,1
"205","G_truncatulinoides_s",-15.57,-49.92,4
"206","G_truncatulinoides_s",-13.23,-46.1,5
"207","G_truncatulinoides_s",-20.86,-42.98,33
"208","G_truncatulinoides_s",6.297,-21.44,8
"209","G_truncatulinoides_s",13.148,-28.09,6
"210","G_truncatulinoides_s",13.55,-30.43,18
"211","G_truncatulinoides_s",14.698,-31.07,9
"212","G_truncatulinoides_s",36.01,-32.11,2
"213","G_truncatulinoides_s",37.653,-31.54,1
"214","G_truncatulinoides_s",43.932,-29.29,3
"215","G_truncatulinoides_s",44.815,-29.92,5
"216","G_truncatulinoides_s",45.787,-32.26,8
"217","G_truncatulinoides_s",47.605,-32.64,8
"218","G_truncatulinoides_s",54.103,-31.84,16
"219","G_truncatulinoides_s",57.425,-31.08,22
"220","G_truncatulinoides_s",58.678,-28.81,2
"221","G_truncatulinoides_s",61.338,-29.08,17
"222","G_truncatulinoides_s",69.48,-25.34,7
"223","G_truncatulinoides_s",70.55,-24.28,5
"224","G_truncatulinoides_s",69.683,-23.69,6
"225","G_truncatulinoides_s",68.683,-21.68,1
"226","G_truncatulinoides_s",68.475,-20.62,1
"227","G_truncatulinoides_s",159.248,32.34,2
"228","G_truncatulinoides_s",159.218,32.313,1
"229","G_truncatulinoides_s",-0.0667,63.4832,1
"230","G_truncatulinoides_s",-86.55,28.45,1
"231","G_truncatulinoides_s",-11.62,35.05,4
"232","G_truncatulinoides_s",-33.13,37.233,23
"233","G_truncatulinoides_s",-69.5,32.6,21
"234","G_truncatulinoides_s",-65.12,32.283,23
"235","G_truncatulinoides_s",-64.72,32.217,21
"236","G_truncatulinoides_s",-57.13,38.917,6
"237","G_truncatulinoides_s",-54.03,36.9,15
"238","G_truncatulinoides_s",-61.45,34.667,40
"239","G_truncatulinoides_s",-64.6,40.767,1
"240","G_truncatulinoides_s",-77.77,12.4,1
"241","G_truncatulinoides_s",-38.2,22.967,5
"242","G_truncatulinoides_s",-43.8,23.033,4
"243","G_truncatulinoides_s",-34.5,-28.7,6
"244","G_truncatulinoides_s",-53.07,24.283,5
"245","G_truncatulinoides_s",-57.98,-45.32,17
"246","G_truncatulinoides_s",-20.38,-40.9,39
"247","G_truncatulinoides_s",8.1,-36.5,72
"248","G_truncatulinoides_s",7.017,-22.98,8
"249","G_truncatulinoides_s",-36.02,11.2,1
"250","G_truncatulinoides_s",-40.52,15.483,1
"251","G_truncatulinoides_s",-42.15,-50.77,10
"252","G_truncatulinoides_s",13.5,-39.2,23
"253","G_truncatulinoides_s",15.917,-35.88,4
