"","Taxa","Longitude","Latitude","Count"
"1","G_tumida",-67.3333,35.7167,21
"2","G_tumida",-68.9167,36.1333,19
"3","G_tumida",-69.15,36.15,6
"4","G_tumida",-68.9333,35.7833,16
"5","G_tumida",-69.4,36.2167,8
"6","G_tumida",-72.95,37.65,4
"7","G_tumida",-74.35,31.8333,20
"8","G_tumida",-75.35,31.65,5
"9","G_tumida",-76.8,29.7667,1
"10","G_tumida",-69.0833,35.7667,6
"11","G_tumida",-78.55,19.4,2
"12","G_tumida",-73.833,19.917,3
"13","G_tumida",-42.65,39.1332,1
"14","G_tumida",-17.0667,5.2833,149
"15","G_tumida",-18.3,3.65,157
"16","G_tumida",-21.7833,0.6,1
"17","G_tumida",-26.0333,-0.7667,4
"18","G_tumida",-27.0167,-1.5,37
"19","G_tumida",-57.3167,10.55,3
"20","G_tumida",-59.2,20.7332,19
"21","G_tumida",178.637,36.433,3
"22","G_tumida",53.1667,10.25,16
"23","G_tumida",51.7333,8.9833,31
"24","G_tumida",51.6167,8.9,1
"25","G_tumida",60.2167,9.2167,65
"26","G_tumida",59.55,21,5
"27","G_tumida",61.017,20.833,6
"28","G_tumida",57.1833,17.4333,2
"29","G_tumida",54.7667,16.2333,6
"30","G_tumida",54.6333,15.2667,7
"31","G_tumida",57.35,14.9333,2
"32","G_tumida",-34.5667,-29.1333,3
"33","G_tumida",71.558,13.583,2
"34","G_tumida",74.1833,9.9,3
"35","G_tumida",73.4,7.0333,6
"36","G_tumida",127.85,-9.1,22
"37","G_tumida",133.8333,-4.8833,11
"38","G_tumida",131.9833,-4.6667,10
"39","G_tumida",130.6167,-2.6333,12
"40","G_tumida",112.6833,-11.8833,41
"41","G_tumida",46.9833,-13.3,1
"42","G_tumida",41.6167,-12.9833,1
"43","G_tumida",41.4,-13.1833,2
"44","G_tumida",41.55,-16.0667,1
"45","G_tumida",41.8333,-11.5167,5
"46","G_tumida",119.05,7.916,3
"47","G_tumida",118.55,8.5,1
"48","G_tumida",87.783,11.383,3
"49","G_tumida",-11.12,-8.28,8
"50","G_tumida",80.867,14.267,2
"51","G_tumida",87.317,15.3,30
"52","G_tumida",91.233,15.217,1
"53","G_tumida",91.533,19,9
"54","G_tumida",89.317,20.333,1
"55","G_tumida",86.9,13.483,12
"56","G_tumida",89.033,6.917,36
"57","G_tumida",88.583,4.183,34
"58","G_tumida",57.3667,17.7,1
"59","G_tumida",57.3667,13.8667,13
"60","G_tumida",60.6667,16.6167,8
"61","G_tumida",58.3333,19.15,1
"62","G_tumida",58.9833,19.7,1
"63","G_tumida",59.6,21,7
"64","G_tumida",59.7333,21.75,5
"65","G_tumida",60.1833,20.75,3
"66","G_tumida",60.6167,20,8
"67","G_tumida",60.75,19.55,6
"68","G_tumida",61.6833,19.9333,17
"69","G_tumida",60.8333,21.7167,2
"70","G_tumida",60.15,22.6833,5
"71","G_tumida",59.75,22.6833,4
"72","G_tumida",59.6167,22.6167,16
"73","G_tumida",59.7167,22.6333,1
"74","G_tumida",63.15,22.1833,5
"75","G_tumida",58.7833,24.0667,1
"76","G_tumida",62.067,-18.35,1
"77","G_tumida",62.5,-14.033,1
"78","G_tumida",62.833,-12.267,2
"79","G_tumida",55.5,-8.933,3
"80","G_tumida",61.817,-26.933,7
"81","G_tumida",69.017,-8.317,7
"82","G_tumida",71.217,-2.45,8
"83","G_tumida",70.233,-2.333,22
"84","G_tumida",69.25,-2.2,7
"85","G_tumida",71.2167,-2.45,8
"86","G_tumida",91.05,2.917,2
"87","G_tumida",91.683,2.983,22
"88","G_tumida",97.883,-0.567,3
"89","G_tumida",-130.617,3.333,90
"90","G_tumida",-112.1,-14.7333,2
"91","G_tumida",-109.7167,-11.7,8
"92","G_tumida",-110.68,-9.88,14
"93","G_tumida",-133.38,-9.98,39
"94","G_tumida",-116.217,1.45,43
"95","G_tumida",-115.767,4.133,64
"96","G_tumida",-148.4833,-16.7833,1
"97","G_tumida",-113.3,-4.033,45
"98","G_tumida",156.058,4.85,9
"99","G_tumida",156.23,2.785,2
"100","G_tumida",156.998,-2.225,2
"101","G_tumida",161.318,-3.605,1
"102","G_tumida",160.8,-1.747,6
"103","G_tumida",159.235,-1.625,1
"104","G_tumida",158.693,-0.017,5
"105","G_tumida",160.415,-0.022,1
"106","G_tumida",160.998,-0.003,5
"107","G_tumida",161.427,-0.005,17
"108","G_tumida",161.975,-0.007,14
"109","G_tumida",162.702,-0.027,20
"110","G_tumida",160.993,0.875,18
"111","G_tumida",161.605,1.1,16
"112","G_tumida",162.393,1.362,33
"113","G_tumida",163.707,2.362,26
"114","G_tumida",-47.4833,28.35,1
"115","G_tumida",-51.5833,16.7167,1
"116","G_tumida",-46.127,16.653,2
"117","G_tumida",-42.947,15.527,5
"118","G_tumida",-34.173,10.993,174
"119","G_tumida",-42.9833,4.8667,10
"120","G_tumida",-42.7333,5.15,47
"121","G_tumida",-44.9667,5.9833,1
"122","G_tumida",-44.9333,5.8667,4
"123","G_tumida",-44.7667,5.6667,1
"124","G_tumida",-44.7167,5.7,2
"125","G_tumida",-44.7333,5.7,10
"126","G_tumida",-44.6333,5.7833,2
"127","G_tumida",-44.5833,5.8333,4
"128","G_tumida",-44.5833,5.8333,7
"129","G_tumida",-44.5,5.8833,3
"130","G_tumida",-44.4667,5.9667,10
"131","G_tumida",-44.3833,6.0167,10
"132","G_tumida",-44.3,6.5,3
"133","G_tumida",-44.3,6.1167,4
"134","G_tumida",-44.2167,6.2167,5
"135","G_tumida",-44.0833,6.3167,13
"136","G_tumida",-44.0833,6.2167,8
"137","G_tumida",-44.0833,6.1167,15
"138","G_tumida",-44.0833,6.0333,6
"139","G_tumida",-44.0833,6,8
"140","G_tumida",-44.05,5.7167,5
"141","G_tumida",-44.0833,5.6,11
"142","G_tumida",-44.0833,5.5667,3
"143","G_tumida",-44.0667,5.4667,7
"144","G_tumida",-44.05,5.4333,4
"145","G_tumida",-43.75,4.7333,8
"146","G_tumida",-43.65,4.7167,8
"147","G_tumida",-43.4833,4.7833,7
"148","G_tumida",-43.45,4.7667,6
"149","G_tumida",-43.205,4.865,11
"150","G_tumida",-43.1333,4.9,11
"151","G_tumida",-43.05,4.9167,6
"152","G_tumida",-42.9167,4.95,5
"153","G_tumida",-42.892,4.948,14
"154","G_tumida",-42.7833,5,17
"155","G_tumida",-42.7333,5.0333,10
"156","G_tumida",-43.038,4.792,9
"157","G_tumida",-43.0667,4.75,4
"158","G_tumida",-43.05,4.75,10
"159","G_tumida",-43.3167,4.85,6
"160","G_tumida",-43.15,4.7,1
"161","G_tumida",-43.382,4.563,9
"162","G_tumida",-43.697,4.363,20
"163","G_tumida",-43.6667,4.3667,9
"164","G_tumida",-43.4833,4.35,11
"165","G_tumida",-43.408,4.342,11
"166","G_tumida",-43.4333,4.3333,9
"167","G_tumida",-43.4333,4.35,10
"168","G_tumida",-43.487,4.337,18
"169","G_tumida",-43.4833,4.7,7
"170","G_tumida",-43.307,4.76,16
"171","G_tumida",-43.15,4.85,8
"172","G_tumida",-43.0333,4.8833,12
"173","G_tumida",63.717,-5.567,34
"174","G_tumida",59.25,-5.433,9
"175","G_tumida",59.683,-13.683,2
"176","G_tumida",114.383,-31.5,4
"177","G_tumida",73.117,9.05,1
"178","G_tumida",65.9667,5.7167,22
"179","G_tumida",100.333,-32.1,1
"180","G_tumida",113.933,-32.267,4
"181","G_tumida",148.7,-14.5,1
"182","G_tumida",154.733,-15.717,9
"183","G_tumida",155,-16.05,19
"184","G_tumida",155.933,-14.783,4
"185","G_tumida",156.85,-13.283,1
"186","G_tumida",157.217,-12.533,1
"187","G_tumida",158.05,-11.317,2
"188","G_tumida",163.217,-6.667,4
"189","G_tumida",165.417,-5.7,3
"190","G_tumida",168.033,-4.517,4
"191","G_tumida",170.033,-3.383,11
"192","G_tumida",71.5133,16.99,1
"193","G_tumida",50.5183,14.4333,9
"194","G_tumida",95.03,10.13,1
"195","G_tumida",91.01,18.22,2
"196","G_tumida",90.29,17.24,6
"197","G_tumida",92.04,12.24,2
"198","G_tumida",76.43,7.3,1
"199","G_tumida",73.59,12.19,8
"200","G_tumida",71.53,13.59,4
"201","G_tumida",117.9267,12.65,11
"202","G_tumida",117.9167,12.3167,1
"203","G_tumida",118.065,12.1517,18
"204","G_tumida",118.4833,11,6
"205","G_tumida",118.71,11.5767,4
"206","G_tumida",118.6317,11.6283,2
"207","G_tumida",118.5083,11.7233,3
"208","G_tumida",118.3317,11.8867,3
"209","G_tumida",118.29,10.6,7
"210","G_tumida",116.4167,7.7,2
"211","G_tumida",116.2333,7.85,5
"212","G_tumida",116.1167,7.8833,5
"213","G_tumida",116.1667,7.8167,2
"214","G_tumida",118.3833,8.05,1
"215","G_tumida",118.7167,8.2167,2
"216","G_tumida",118.95,8.35,2
"217","G_tumida",118.9667,6.8,1
"218","G_tumida",119.3667,7,3
"219","G_tumida",120.3333,7.5333,1
"220","G_tumida",119.05,6.9,4
"221","G_tumida",-139.9667,4.5833,84
"222","G_tumida",-174.3167,17.8667,1
"223","G_tumida",87.85,-18.68,7
"224","G_tumida",62.667,-17.8,2
"225","G_tumida",73.883,-23.933,3
"226","G_tumida",-150.583,-13.883,1
"227","G_tumida",-149.4,-4.433,54
