"","Taxa","Longitude","Latitude","Count"
"1","N_dutertrei",-73.5167,38.1833,49
"2","N_dutertrei",-41.75,50.9332,31
"3","N_dutertrei",-67.3333,35.7167,32
"4","N_dutertrei",-68.9167,36.1333,42
"5","N_dutertrei",-69.15,36.15,34
"6","N_dutertrei",-68.9333,35.7833,35
"7","N_dutertrei",-69.4,36.2167,31
"8","N_dutertrei",-72.95,37.65,110
"9","N_dutertrei",-74.35,31.8333,37
"10","N_dutertrei",-75.35,31.65,13
"11","N_dutertrei",-76.8,29.7667,8
"12","N_dutertrei",-75.75,23.9333,2
"13","N_dutertrei",-75.9333,24.8,2
"14","N_dutertrei",-67.6667,30.7833,5
"15","N_dutertrei",-69.0833,35.7667,45
"16","N_dutertrei",-78.55,19.4,15
"17","N_dutertrei",-73.833,19.917,9
"18","N_dutertrei",-42.65,39.1332,70
"19","N_dutertrei",-36.7,39.267,10
"20","N_dutertrei",-27.367,33.333,2
"21","N_dutertrei",-19.2998,25.833,7
"22","N_dutertrei",-17.0667,5.2833,23
"23","N_dutertrei",-18.3,3.65,59
"24","N_dutertrei",-21.7833,0.6,8
"25","N_dutertrei",-26.0333,-0.7667,8
"26","N_dutertrei",-27.0167,-1.5,26
"27","N_dutertrei",-57.3167,10.55,33
"28","N_dutertrei",-59.2,20.7332,23
"29","N_dutertrei",175.387,36.562,102
"30","N_dutertrei",178.637,36.433,64
"31","N_dutertrei",51.9,12,31
"32","N_dutertrei",53.1667,10.25,92
"33","N_dutertrei",51.7333,8.9833,33
"34","N_dutertrei",51.6167,8.9,14
"35","N_dutertrei",60.2167,9.2167,58
"36","N_dutertrei",69.433,20.15,3
"37","N_dutertrei",67.933,20.125,5
"38","N_dutertrei",59.55,21,12
"39","N_dutertrei",61.017,20.833,45
"40","N_dutertrei",57.1833,17.4333,24
"41","N_dutertrei",54.7667,16.2333,19
"42","N_dutertrei",54.6333,15.2667,21
"43","N_dutertrei",57.35,14.9333,29
"44","N_dutertrei",-34.5667,-29.1333,1
"45","N_dutertrei",71.558,13.583,30
"46","N_dutertrei",74.1833,9.9,42
"47","N_dutertrei",73.4,7.0333,55
"48","N_dutertrei",127.85,-9.1,35
"49","N_dutertrei",133.8333,-4.8833,38
"50","N_dutertrei",131.9833,-4.6667,11
"51","N_dutertrei",130.6167,-2.6333,51
"52","N_dutertrei",112.6833,-11.8833,23
"53","N_dutertrei",46.9833,-13.3,26
"54","N_dutertrei",41.6167,-12.9833,43
"55","N_dutertrei",41.4,-13.1833,22
"56","N_dutertrei",41.55,-16.0667,22
"57","N_dutertrei",41.8333,-11.5167,33
"58","N_dutertrei",-121.8833,19,44
"59","N_dutertrei",119.05,7.916,49
"60","N_dutertrei",118.55,8.5,36
"61","N_dutertrei",87.783,11.383,57
"62","N_dutertrei",-11.12,-8.28,11
"63","N_dutertrei",80.867,14.267,74
"64","N_dutertrei",87.317,15.3,177
"65","N_dutertrei",91.233,15.217,86
"66","N_dutertrei",91.533,19,84
"67","N_dutertrei",89.317,20.333,98
"68","N_dutertrei",86.9,13.483,72
"69","N_dutertrei",89.033,6.917,266
"70","N_dutertrei",88.583,4.183,93
"71","N_dutertrei",57.3667,17.7,17
"72","N_dutertrei",57.3833,17.5667,14
"73","N_dutertrei",57.3667,13.8667,46
"74","N_dutertrei",60.6667,16.6167,23
"75","N_dutertrei",58.3333,19.15,26
"76","N_dutertrei",58.9833,19.7,19
"77","N_dutertrei",59.6,21,49
"78","N_dutertrei",59.7333,21.75,6
"79","N_dutertrei",60.1833,20.75,21
"80","N_dutertrei",60.6167,20,20
"81","N_dutertrei",60.75,19.55,47
"82","N_dutertrei",61.6833,19.9333,42
"83","N_dutertrei",60.8333,21.7167,12
"84","N_dutertrei",60.15,22.6833,12
"85","N_dutertrei",59.75,22.6833,8
"86","N_dutertrei",59.6167,22.6167,19
"87","N_dutertrei",59.7167,22.6333,5
"88","N_dutertrei",63.15,22.1833,36
"89","N_dutertrei",58.7833,24.0667,5
"90","N_dutertrei",62.067,-18.35,7
"91","N_dutertrei",62.5,-14.033,11
"92","N_dutertrei",62.833,-12.267,35
"93","N_dutertrei",55.5,-8.933,34
"94","N_dutertrei",61.817,-26.933,2
"95","N_dutertrei",69.017,-8.317,62
"96","N_dutertrei",71.217,-2.45,44
"97","N_dutertrei",70.233,-2.333,54
"98","N_dutertrei",69.25,-2.2,22
"99","N_dutertrei",71.2167,-2.45,56
"100","N_dutertrei",88.85,2.97,28
"101","N_dutertrei",91.05,2.917,28
