"","Taxa","Longitude","Latitude","Count"
"1","N_pachyderma_d",-38.783,28,2
"2","N_pachyderma_d",-73.5167,38.1833,122
"3","N_pachyderma_d",-41.75,50.9332,199
"4","N_pachyderma_d",-67.3333,35.7167,13
"5","N_pachyderma_d",-68.9167,36.1333,23
"6","N_pachyderma_d",-69.15,36.15,20
"7","N_pachyderma_d",-68.9333,35.7833,24
"8","N_pachyderma_d",-69.4,36.2167,14
"9","N_pachyderma_d",-72.95,37.65,96
"10","N_pachyderma_d",-74.35,31.8333,1
"11","N_pachyderma_d",-75.9333,24.8,1
"12","N_pachyderma_d",-67.6667,30.7833,1
"13","N_pachyderma_d",-69.0833,35.7667,11
"14","N_pachyderma_d",-78.55,19.4,3
"15","N_pachyderma_d",-42.65,39.1332,46
"16","N_pachyderma_d",-36.7,39.267,18
"17","N_pachyderma_d",-27.367,33.333,15
"18","N_pachyderma_d",-19.2998,25.833,31
"19","N_pachyderma_d",-21.7833,0.6,1
"20","N_pachyderma_d",-26.0333,-0.7667,1
"21","N_pachyderma_d",-27.0167,-1.5,12
"22","N_pachyderma_d",175.387,36.562,275
"23","N_pachyderma_d",178.637,36.433,218
"24","N_pachyderma_d",51.9,12,2
"25","N_pachyderma_d",53.1667,10.25,13
"26","N_pachyderma_d",51.7333,8.9833,7
"27","N_pachyderma_d",60.2167,9.2167,1
"28","N_pachyderma_d",54.7667,16.2333,1
"29","N_pachyderma_d",-34.5667,-29.1333,6
"30","N_pachyderma_d",133.8333,-4.8833,13
"31","N_pachyderma_d",131.9833,-4.6667,3
"32","N_pachyderma_d",112.6833,-11.8833,8
"33","N_pachyderma_d",46.9833,-13.3,1
"34","N_pachyderma_d",41.55,-16.0667,1
"35","N_pachyderma_d",119.05,7.916,4
"36","N_pachyderma_d",-11.12,-8.28,3
"37","N_pachyderma_d",87.317,15.3,1
"38","N_pachyderma_d",91.533,19,1
"39","N_pachyderma_d",86.9,13.483,1
"40","N_pachyderma_d",89.033,6.917,1
"41","N_pachyderma_d",57.3667,17.7,2
"42","N_pachyderma_d",57.3833,17.5667,1
"43","N_pachyderma_d",57.3667,13.8667,5
"44","N_pachyderma_d",58.3333,19.15,5
"45","N_pachyderma_d",59.7333,21.75,1
"46","N_pachyderma_d",59.75,22.6833,1
