"","Taxa","Longitude","Latitude","Count"
"1","N_pachyderma_s",-73.5167,38.1833,15
"2","N_pachyderma_s",-41.75,50.9332,94
"3","N_pachyderma_s",-67.3333,35.7167,2
"4","N_pachyderma_s",-69.15,36.15,1
"5","N_pachyderma_s",-68.9333,35.7833,1
"6","N_pachyderma_s",-72.95,37.65,6
"7","N_pachyderma_s",-67.6667,30.7833,2
"8","N_pachyderma_s",-69.0833,35.7667,1
"9","N_pachyderma_s",-78.55,19.4,3
"10","N_pachyderma_s",-42.65,39.1332,1
"11","N_pachyderma_s",-36.7,39.267,3
"12","N_pachyderma_s",-27.367,33.333,1
"13","N_pachyderma_s",-19.2998,25.833,1
"14","N_pachyderma_s",-17.0667,5.2833,1
"15","N_pachyderma_s",-18.3,3.65,1
"16","N_pachyderma_s",-59.2,20.7332,1
"17","N_pachyderma_s",175.387,36.562,17
"18","N_pachyderma_s",178.637,36.433,26
"19","N_pachyderma_s",54.7667,16.2333,1
"20","N_pachyderma_s",87.317,15.3,1
"21","N_pachyderma_s",59.7333,21.75,1
"22","N_pachyderma_s",-130.617,3.333,2
"23","N_pachyderma_s",-127.333,-44.217,19
"24","N_pachyderma_s",-127.233,-44.35,10
"25","N_pachyderma_s",-119.833,-45.5,79
"26","N_pachyderma_s",-102,-42,10
"27","N_pachyderma_s",-97.083,-42.9,1
"28","N_pachyderma_s",-89.75,-59.65,338
"29","N_pachyderma_s",-130.117,-58,254
"30","N_pachyderma_s",-159.983,-54.017,71
"31","N_pachyderma_s",-63.0667,-58.8667,314
"32","N_pachyderma_s",-136.9667,-59.9667,331
"33","N_pachyderma_s",95.082,-45.022,43
"34","N_pachyderma_s",95.08,-47.128,66
"35","N_pachyderma_s",95.037,-47.988,70
"36","N_pachyderma_s",94.832,-49.378,71
"37","N_pachyderma_s",160.8,-1.747,1
"38","N_pachyderma_s",158.693,-0.017,1
"39","N_pachyderma_s",160.993,0.875,1
"40","N_pachyderma_s",-21.668,34.95,1
"41","N_pachyderma_s",-17.36,34.968,2
"42","N_pachyderma_s",-16.95,24.5,2
"43","N_pachyderma_s",-44.9333,5.8667,1
"44","N_pachyderma_s",-44.0833,6,1
"45","N_pachyderma_s",-42.892,4.948,1
"46","N_pachyderma_s",-43.487,4.337,1
"47","N_pachyderma_s",70.967,-44.633,60
"48","N_pachyderma_s",73.6,-35.783,1
"49","N_pachyderma_s",78.433,-37.317,6
"50","N_pachyderma_s",67.883,-39.733,1
"51","N_pachyderma_s",100.333,-32.1,29
"52","N_pachyderma_s",117.9167,12.3167,1
"53","N_pachyderma_s",118.065,12.1517,1
"54","N_pachyderma_s",71,-42,5
"55","N_pachyderma_s",178.483,-63.067,394
"56","N_pachyderma_s",-166.967,-63.283,327
"57","N_pachyderma_s",-171.533,-60.2,277
"58","N_pachyderma_s",175.233,-46.35,17
"59","N_pachyderma_s",-147.8333,50.85,172
"60","N_pachyderma_s",-144.65,51.5167,271
"61","N_pachyderma_s",167.567,-20.583,2
"62","N_pachyderma_s",-74.88,14,2
"63","N_pachyderma_s",42.35,-42.88,39
"64","N_pachyderma_s",46.2,-43.78,93
"65","N_pachyderma_s",51.267,-43.63,157
"66","N_pachyderma_s",65.467,-55.33,325
"67","N_pachyderma_s",92.417,-44.77,57
"68","N_pachyderma_s",93.883,-44.03,162
"69","N_pachyderma_s",101.42,-41.1,75
"70","N_pachyderma_s",104.37,-39.38,4
"71","N_pachyderma_s",120.9,-36.75,2
"72","N_pachyderma_s",125.57,-46.53,32
"73","N_pachyderma_s",127.12,-49.33,143
"74","N_pachyderma_s",129.97,-51.08,37
"75","N_pachyderma_s",135.85,-51.5,43
"76","N_pachyderma_s",-123.4,-27.43,1
"77","N_pachyderma_s",168.73,-33.23,2
"78","N_pachyderma_s",148.37,-45.75,4
