"","Taxa","Longitude","Latitude","Count"
"1","O_universa",-38.783,28,1
"2","O_universa",-67.3333,35.7167,1
"3","O_universa",-68.9167,36.1333,2
"4","O_universa",-69.15,36.15,7
"5","O_universa",-68.9333,35.7833,1
"6","O_universa",-69.4,36.2167,4
"7","O_universa",-72.95,37.65,4
"8","O_universa",-75.35,31.65,9
"9","O_universa",-76.8,29.7667,2
"10","O_universa",-75.75,23.9333,9
"11","O_universa",-75.9333,24.8,4
"12","O_universa",-67.6667,30.7833,5
"13","O_universa",-69.0833,35.7667,12
"14","O_universa",-78.55,19.4,8
"15","O_universa",-73.833,19.917,16
"16","O_universa",-42.65,39.1332,2
"17","O_universa",-36.7,39.267,2
"18","O_universa",-27.367,33.333,4
"19","O_universa",-19.2998,25.833,8
"20","O_universa",-17.0667,5.2833,2
"21","O_universa",-18.3,3.65,1
"22","O_universa",-21.7833,0.6,4
"23","O_universa",-26.0333,-0.7667,5
"24","O_universa",-27.0167,-1.5,1
"25","O_universa",-57.3167,10.55,10
"26","O_universa",-59.2,20.7332,1
"27","O_universa",178.637,36.433,2
"28","O_universa",53.1667,10.25,1
"29","O_universa",51.7333,8.9833,1
"30","O_universa",51.6167,8.9,1
"31","O_universa",60.2167,9.2167,1
"32","O_universa",69.433,20.15,1
"33","O_universa",61.017,20.833,3
"34","O_universa",57.1833,17.4333,1
"35","O_universa",54.6333,15.2667,1
"36","O_universa",57.35,14.9333,1
"37","O_universa",-34.5667,-29.1333,8
"38","O_universa",74.1833,9.9,1
"39","O_universa",73.4,7.0333,3
"40","O_universa",127.85,-9.1,2
"41","O_universa",131.9833,-4.6667,2
"42","O_universa",112.6833,-11.8833,1
"43","O_universa",46.9833,-13.3,4
"44","O_universa",41.6167,-12.9833,8
"45","O_universa",41.4,-13.1833,7
"46","O_universa",41.55,-16.0667,1
"47","O_universa",41.8333,-11.5167,9
"48","O_universa",119.05,7.916,4
"49","O_universa",118.55,8.5,4
"50","O_universa",87.783,11.383,3
"51","O_universa",-11.12,-8.28,8
"52","O_universa",80.867,14.267,5
"53","O_universa",87.317,15.3,2
"54","O_universa",91.233,15.217,4
"55","O_universa",91.533,19,2
"56","O_universa",89.317,20.333,2
"57","O_universa",86.9,13.483,6
"58","O_universa",57.3667,17.7,1
"59","O_universa",59.6,21,1
"60","O_universa",59.7333,21.75,1
"61","O_universa",60.1833,20.75,2
"62","O_universa",60.75,19.55,1
"63","O_universa",63.15,22.1833,7
"64","O_universa",62.067,-18.35,1
"65","O_universa",62.5,-14.033,2
"66","O_universa",62.833,-12.267,4
"67","O_universa",55.5,-8.933,2
"68","O_universa",70.367,-25.417,2
"69","O_universa",69.017,-8.317,2
"70","O_universa",69.25,-2.2,1
"71","O_universa",71.2167,-2.45,2
"72","O_universa",91.05,2.917,1
"73","O_universa",91.683,2.983,2
"74","O_universa",97.883,-0.567,1
"75","O_universa",-115.7167,-26.3,5
"76","O_universa",-112.1,-14.7333,1
"77","O_universa",-110.68,-9.88,3
"78","O_universa",-133.38,-9.98,2
"79","O_universa",-148.4833,-16.7833,1
"80","O_universa",-143.6667,-28.5667,3
"81","O_universa",-127.333,-44.217,5
"82","O_universa",-102,-42,10
"83","O_universa",-97.083,-42.9,9
"84","O_universa",-79.5,-34.5,4
"85","O_universa",-106.5,-28.4833,5
"86","O_universa",-118.2333,-23.6167,5
"87","O_universa",-115.2,-22.0833,1
"88","O_universa",156.058,4.85,1
"89","O_universa",156.23,2.785,1
"90","O_universa",161.318,-3.605,1
"91","O_universa",160.993,0.875,1
"92","O_universa",161.605,1.1,1
"93","O_universa",-47.4833,28.35,4
"94","O_universa",-46.357,28.573,5
"95","O_universa",-43.222,29.813,1
"96","O_universa",-39.682,31.178,24
"97","O_universa",-34.093,32.417,2
"98","O_universa",-34.073,32.457,5
"99","O_universa",-30.378,34.653,2
"100","O_universa",-29.9798,34.6198,2
"101","O_universa",-28.78,34.82,1
"102","O_universa",-28.358,34.805,2
"103","O_universa",-26.195,34.813,1
"104","O_universa",-21.668,34.95,2
"105","O_universa",-17.36,34.968,1
"106","O_universa",-12.618,35.18,7
"107","O_universa",-51.5833,16.7167,3
"108","O_universa",-46.127,16.653,3
"109","O_universa",-42.947,15.527,7
"110","O_universa",-16.95,24.5,2
"111","O_universa",-42.9833,4.8667,2
"112","O_universa",-42.7333,5.15,2
"113","O_universa",-44.9667,5.9833,5
"114","O_universa",-44.9333,5.8667,2
"115","O_universa",-44.7667,5.6667,4
"116","O_universa",-44.7167,5.7,1
"117","O_universa",-44.6333,5.7833,4
"118","O_universa",-44.5833,5.8333,2
"119","O_universa",-44.5833,5.8333,8
"120","O_universa",-44.5,5.8833,1
"121","O_universa",-44.4667,5.9667,5
"122","O_universa",-44.3833,6.0167,4
"123","O_universa",-44.3,6.5,1
"124","O_universa",-44.3,6.1167,3
"125","O_universa",-44.2167,6.2167,8
"126","O_universa",-44.0833,6.3167,2
"127","O_universa",-44.0833,6.1167,5
"128","O_universa",-44.0833,6.0333,2
"129","O_universa",-44.0833,6,2
"130","O_universa",-44.05,5.7167,1
"131","O_universa",-44.0833,5.6,3
"132","O_universa",-44.0833,5.5667,1
"133","O_universa",-44.0667,5.4667,4
"134","O_universa",-44.0667,5.3833,1
"135","O_universa",-43.75,4.7333,7
"136","O_universa",-43.65,4.7167,3
"137","O_universa",-43.4833,4.7833,6
"138","O_universa",-43.45,4.7667,6
"139","O_universa",-43.205,4.865,5
"140","O_universa",-43.1333,4.9,3
"141","O_universa",-43.05,4.9167,1
"142","O_universa",-42.9167,4.95,3
"143","O_universa",-42.892,4.948,6
"144","O_universa",-42.7833,5,4
"145","O_universa",-42.7333,5.0333,5
"146","O_universa",-43.038,4.792,3
"147","O_universa",-43.0667,4.75,3
"148","O_universa",-43.05,4.75,4
"149","O_universa",-43.3167,4.85,3
"150","O_universa",-43.15,4.7,1
"151","O_universa",-43.382,4.563,4
"152","O_universa",-43.697,4.363,4
"153","O_universa",-43.6667,4.3667,7
"154","O_universa",-43.408,4.342,11
"155","O_universa",-43.4333,4.3333,6
"156","O_universa",-43.4333,4.35,7
"157","O_universa",-43.487,4.337,5
"158","O_universa",-43.4833,4.7,8
"159","O_universa",-43.307,4.76,4
"160","O_universa",-43.15,4.85,3
"161","O_universa",-43.0333,4.8833,1
"162","O_universa",72.783,-5.383,1
"163","O_universa",59.25,-5.433,1
"164","O_universa",58.517,-10.35,7
"165","O_universa",59.683,-13.683,3
"166","O_universa",73.6,-35.783,5
"167","O_universa",78.433,-37.317,3
"168","O_universa",98.867,-32,6
"169","O_universa",73.117,9.05,2
"170","O_universa",100.333,-32.1,7
"171","O_universa",113.933,-32.267,1
"172","O_universa",148.7,-14.5,2
"173","O_universa",154.733,-15.717,7
"174","O_universa",155,-16.05,3
"175","O_universa",155.933,-14.783,3
"176","O_universa",156.85,-13.283,1
"177","O_universa",157.217,-12.533,1
"178","O_universa",158.05,-11.317,3
"179","O_universa",163.217,-6.667,1
"180","O_universa",170.033,-3.383,1
"181","O_universa",71.5133,16.99,4
"182","O_universa",50.5183,14.4333,3
"183","O_universa",95.09,8.43,2
