"","Taxa","Longitude","Latitude","Count"
"1","P_obliquiloculata",-67.3333,35.7167,22
"2","P_obliquiloculata",-68.9167,36.1333,19
"3","P_obliquiloculata",-69.15,36.15,15
"4","P_obliquiloculata",-68.9333,35.7833,7
"5","P_obliquiloculata",-69.4,36.2167,19
"6","P_obliquiloculata",-72.95,37.65,10
"7","P_obliquiloculata",-74.35,31.8333,17
"8","P_obliquiloculata",-75.35,31.65,6
"9","P_obliquiloculata",-76.8,29.7667,6
"10","P_obliquiloculata",-75.75,23.9333,1
"11","P_obliquiloculata",-67.6667,30.7833,1
"12","P_obliquiloculata",-69.0833,35.7667,33
"13","P_obliquiloculata",-78.55,19.4,1
"14","P_obliquiloculata",-42.65,39.1332,11
"15","P_obliquiloculata",-19.2998,25.833,6
"16","P_obliquiloculata",-17.0667,5.2833,25
"17","P_obliquiloculata",-18.3,3.65,51
"18","P_obliquiloculata",-21.7833,0.6,6
"19","P_obliquiloculata",-26.0333,-0.7667,21
"20","P_obliquiloculata",-27.0167,-1.5,44
"21","P_obliquiloculata",-57.3167,10.55,4
"22","P_obliquiloculata",-59.2,20.7332,1
"23","P_obliquiloculata",51.9,12,4
"24","P_obliquiloculata",53.1667,10.25,20
"25","P_obliquiloculata",51.7333,8.9833,29
"26","P_obliquiloculata",60.2167,9.2167,71
"27","P_obliquiloculata",69.433,20.15,7
"28","P_obliquiloculata",67.933,20.125,10
"29","P_obliquiloculata",59.55,21,1
"30","P_obliquiloculata",61.017,20.833,15
"31","P_obliquiloculata",57.1833,17.4333,3
"32","P_obliquiloculata",54.7667,16.2333,3
"33","P_obliquiloculata",54.6333,15.2667,8
"34","P_obliquiloculata",57.35,14.9333,10
"35","P_obliquiloculata",71.558,13.583,18
"36","P_obliquiloculata",74.1833,9.9,3
"37","P_obliquiloculata",73.4,7.0333,17
"38","P_obliquiloculata",127.85,-9.1,24
"39","P_obliquiloculata",133.8333,-4.8833,55
"40","P_obliquiloculata",131.9833,-4.6667,21
"41","P_obliquiloculata",130.6167,-2.6333,95
"42","P_obliquiloculata",112.6833,-11.8833,24
"43","P_obliquiloculata",46.9833,-13.3,12
"44","P_obliquiloculata",41.6167,-12.9833,26
"45","P_obliquiloculata",41.4,-13.1833,18
"46","P_obliquiloculata",41.55,-16.0667,14
"47","P_obliquiloculata",41.8333,-11.5167,37
"48","P_obliquiloculata",-121.8833,19,2
"49","P_obliquiloculata",119.05,7.916,18
"50","P_obliquiloculata",118.55,8.5,23
"51","P_obliquiloculata",87.783,11.383,13
"52","P_obliquiloculata",-11.12,-8.28,10
"53","P_obliquiloculata",80.867,14.267,5
"54","P_obliquiloculata",87.317,15.3,18
"55","P_obliquiloculata",91.233,15.217,6
"56","P_obliquiloculata",91.533,19,4
"57","P_obliquiloculata",89.317,20.333,45
"58","P_obliquiloculata",86.9,13.483,20
"59","P_obliquiloculata",89.033,6.917,85
"60","P_obliquiloculata",88.583,4.183,47
"61","P_obliquiloculata",57.3667,17.7,2
"62","P_obliquiloculata",57.3833,17.5667,4
"63","P_obliquiloculata",57.3667,13.8667,17
"64","P_obliquiloculata",60.6667,16.6167,5
"65","P_obliquiloculata",58.3333,19.15,2
"66","P_obliquiloculata",58.9833,19.7,6
"67","P_obliquiloculata",59.6,21,5
"68","P_obliquiloculata",59.7333,21.75,1
"69","P_obliquiloculata",60.1833,20.75,6
"70","P_obliquiloculata",60.6167,20,4
"71","P_obliquiloculata",60.75,19.55,11
"72","P_obliquiloculata",61.6833,19.9333,15
"73","P_obliquiloculata",60.8333,21.7167,4
"74","P_obliquiloculata",60.15,22.6833,5
