"","Taxa","Longitude","Latitude","Count"
"1","S_dehiscens",-67.3333,35.7167,1
"2","S_dehiscens",-68.9167,36.1333,1
"3","S_dehiscens",-69.15,36.15,1
"4","S_dehiscens",-74.35,31.8333,1
"5","S_dehiscens",-17.0667,5.2833,7
"6","S_dehiscens",-18.3,3.65,12
"7","S_dehiscens",-59.2,20.7332,3
"8","S_dehiscens",175.387,36.562,1
"9","S_dehiscens",178.637,36.433,1
"10","S_dehiscens",51.7333,8.9833,1
"11","S_dehiscens",51.6167,8.9,1
"12","S_dehiscens",60.2167,9.2167,4
"13","S_dehiscens",74.1833,9.9,2
"14","S_dehiscens",73.4,7.0333,2
"15","S_dehiscens",127.85,-9.1,4
"16","S_dehiscens",112.6833,-11.8833,9
"17","S_dehiscens",41.6167,-12.9833,1
"18","S_dehiscens",41.55,-16.0667,1
"19","S_dehiscens",41.8333,-11.5167,2
"20","S_dehiscens",87.783,11.383,1
"21","S_dehiscens",80.867,14.267,1
"22","S_dehiscens",87.317,15.3,9
"23","S_dehiscens",91.233,15.217,10
"24","S_dehiscens",89.317,20.333,1
"25","S_dehiscens",86.9,13.483,8
"26","S_dehiscens",89.033,6.917,19
"27","S_dehiscens",88.583,4.183,19
"28","S_dehiscens",57.3667,13.8667,1
"29","S_dehiscens",62.833,-12.267,2
"30","S_dehiscens",69.017,-8.317,1
"31","S_dehiscens",71.217,-2.45,1
"32","S_dehiscens",70.233,-2.333,2
"33","S_dehiscens",88.85,2.97,1
"34","S_dehiscens",91.05,2.917,1
"35","S_dehiscens",91.683,2.983,6
"36","S_dehiscens",-130.617,3.333,1
"37","S_dehiscens",-109.7167,-11.7,1
"38","S_dehiscens",-110.68,-9.88,2
"39","S_dehiscens",-133.38,-9.98,50
"40","S_dehiscens",-115.767,4.133,5
"41","S_dehiscens",-148.4833,-16.7833,1
"42","S_dehiscens",-106.5,-28.4833,3
"43","S_dehiscens",156.058,4.85,5
"44","S_dehiscens",156.23,2.785,2
"45","S_dehiscens",161.318,-3.605,3
"46","S_dehiscens",160.8,-1.747,2
"47","S_dehiscens",159.235,-1.625,1
"48","S_dehiscens",160.998,-0.003,1
"49","S_dehiscens",161.427,-0.005,4
"50","S_dehiscens",161.975,-0.007,5
"51","S_dehiscens",162.702,-0.027,12
"52","S_dehiscens",160.993,0.875,7
"53","S_dehiscens",161.605,1.1,6
"54","S_dehiscens",162.393,1.362,15
"55","S_dehiscens",163.707,2.362,15
"56","S_dehiscens",-34.173,10.993,14
"57","S_dehiscens",-42.7333,5.15,3
"58","S_dehiscens",-44.9667,5.9833,1
"59","S_dehiscens",-44.7333,5.7,2
"60","S_dehiscens",-44.5833,5.8333,2
"61","S_dehiscens",-44.2167,6.2167,1
"62","S_dehiscens",-44.0833,6.3167,2
"63","S_dehiscens",-43.45,4.7667,1
"64","S_dehiscens",-42.9167,4.95,1
"65","S_dehiscens",-42.892,4.948,1
"66","S_dehiscens",-42.7333,5.0333,2
"67","S_dehiscens",-43.038,4.792,1
"68","S_dehiscens",-43.05,4.75,1
"69","S_dehiscens",-43.382,4.563,1
"70","S_dehiscens",-43.4833,4.7,1
"71","S_dehiscens",-43.0333,4.8833,1
"72","S_dehiscens",63.717,-5.567,1
"73","S_dehiscens",59.683,-13.683,1
"74","S_dehiscens",73.117,9.05,1
"75","S_dehiscens",154.733,-15.717,5
"76","S_dehiscens",155,-16.05,6
"77","S_dehiscens",156.85,-13.283,1
"78","S_dehiscens",157.217,-12.533,2
