"","Taxa","Longitude","Latitude","Count"
"1","T_humilis",-38.783,28,1
"2","T_humilis",-67.3333,35.7167,1
"3","T_humilis",-68.9167,36.1333,1
"4","T_humilis",-68.9333,35.7833,1
"5","T_humilis",-74.35,31.8333,1
"6","T_humilis",-67.6667,30.7833,2
"7","T_humilis",-69.0833,35.7667,3
"8","T_humilis",-36.7,39.267,2
"9","T_humilis",-27.367,33.333,3
"10","T_humilis",41.8333,-11.5167,2
"11","T_humilis",61.817,-26.933,6
"12","T_humilis",71.2167,-2.45,1
"13","T_humilis",159.235,-1.625,1
"14","T_humilis",-39.682,31.178,2
"15","T_humilis",-34.093,32.417,2
"16","T_humilis",-34.073,32.457,8
"17","T_humilis",-30.378,34.653,6
"18","T_humilis",-29.9798,34.6198,1
"19","T_humilis",-28.78,34.82,3
"20","T_humilis",-28.358,34.805,2
"21","T_humilis",-26.195,34.813,6
"22","T_humilis",-24.3167,35,11
"23","T_humilis",-21.668,34.95,6
"24","T_humilis",-12.618,35.18,2
"25","T_humilis",-16.95,24.5,2
"26","T_humilis",175.3,-11.133,2
"27","T_humilis",93.883,-44.03,1
"28","T_humilis",111.38,-39.78,1
"29","T_humilis",156.3,-1.133,1
"30","T_humilis",-69.67,21.3,2
"31","T_humilis",86.65,-37.98,2
"32","T_humilis",-139.7,-1.983,3
"33","T_humilis",-140,-14.82,3
"34","T_humilis",-110.8,-8.8,2
"35","T_humilis",-75.32,30.75,1
"36","T_humilis",168.38,-3.733,2
"37","T_humilis",158.77,3.747,3
"38","T_humilis",159.45,1.755,2
"39","T_humilis",161,2.155,1
"40","T_humilis",163.81,1.643,1
"41","T_humilis",165.58,0.19,1
"42","T_humilis",-118.05,3.95,1
"43","T_humilis",-97.8,-13.533,1
"44","T_humilis",-128.4833,-14.0333,1
"45","T_humilis",-11.62,35.05,1
"46","T_humilis",-33.13,37.233,1
"47","T_humilis",-69.5,32.6,2
"48","T_humilis",-65.12,32.283,1
"49","T_humilis",-64.72,32.217,1
"50","T_humilis",-75.92,30.517,1
"51","T_humilis",137.65,-48.08,1
"52","T_humilis",-51.87,30,1
"53","T_humilis",-65.05,28.483,1
"54","T_humilis",-34.133,27.967,2
"55","T_humilis",-51.12,13.733,1
"56","T_humilis",-67.55,38.75,1
"57","T_humilis",-41.4,29.017,1
"58","T_humilis",-96.2,-14.1,1
"59","T_humilis",-121.2,-16.93,2
"60","T_humilis",-124.4,-16.65,2
"61","T_humilis",-43.65,23.367,1
"62","T_humilis",-31.45,20.7,1
"63","T_humilis",-40.67,17.483,2
"64","T_humilis",-16.92,46,1
"65","T_humilis",158.8,0.433,1
"66","T_humilis",156.7,2.35,2
"67","T_humilis",157.37,-0.833,6
"68","T_humilis",157.45,-1.683,4
"69","T_humilis",154.95,-2.417,1
"70","T_humilis",-67.98,30.45,4
"71","T_humilis",-17.07,42.7,5
"72","T_humilis",-16.87,34.2,2
"73","T_humilis",-19.62,29.483,2
"74","T_humilis",-26.58,25.933,1
"75","T_humilis",1.983,1,1
"76","T_humilis",-43.9,35.583,3
"77","T_humilis",-179.4,0.95,2
"78","T_humilis",168.68,-10.67,1
"79","T_humilis",167.77,-8.4,1
"80","T_humilis",166.75,-5.5,2
"81","T_humilis",158.97,-7.133,1
"82","T_humilis",160.48,1.017,3
"83","T_humilis",-20.07,22.467,5
"84","T_humilis",-16.35,29.65,2
"85","T_humilis",-26,40.55,4
"86","T_humilis",-25.5,49.133,1
"87","T_humilis",-17.33,25.15,1
"88","T_humilis",-17.2,24.883,1
"89","T_humilis",-17.67,23.183,3
"90","T_humilis",-19.1,24.117,2
"91","T_humilis",-20.88,25.717,3
"92","T_humilis",-19.52,25.717,5
"93","T_humilis",-16.83,25.567,7
"94","T_humilis",-17.55,25.883,4
"95","T_humilis",-19.05,25.917,1
"96","T_humilis",-15.15,26.6,4
"97","T_humilis",-19.13,26.917,2
